Time (s),Temperature (K),HRR (W/g)
71.772,408,0.1177
72.232,408.5,0.0976
72.708,409,0.0911
73.191,409.5,0.0703
73.667,410,0.0470
74.128,410.5,0.0450
74.583,411,0.0825
75.056,411.5,0.0204
75.560,412,0.0151
76.020,412.5,0.0278
76.509,413,0.0329
76.983,413.5,0.0243
77.444,414,0.0182
77.923,414.5,0.0085
78.414,415,-0.0265
78.882,415.5,-0.0175
79.360,416,-0.0064
79.839,416.5,-0.0261
80.307,417,-0.0465
80.789,417.5,-0.0670
81.285,418,-0.0803
81.769,418.5,-0.0697
82.221,419,-0.0783
82.683,419.5,-0.1010
83.185,420,-0.0850
83.667,420.5,-0.0663
84.147,421,-0.0684
84.619,421.5,-0.0592
85.128,422,-0.0687
85.609,422.5,-0.0858
86.097,423,-0.0965
86.581,423.5,-0.0710
87.053,424,-0.0486
87.545,424.5,-0.0049
88.004,425,0.0134
88.515,425.5,-0.0457
89.014,426,0.0208
89.461,426.5,-0.0280
89.950,427,0.0162
90.445,427.5,0.0663
90.927,428,0.0544
91.431,428.5,0.0640
91.910,429,0.0361
92.423,429.5,0.0330
92.888,430,0.0135
93.374,430.5,0.0192
93.859,431,0.0388
94.359,431.5,0.0313
94.849,432,0.0561
95.331,432.5,0.0811
95.803,433,0.1029
96.283,433.5,0.1286
96.766,434,0.1321
97.272,434.5,0.0985
97.769,435,0.0760
98.243,435.5,0.1253
98.722,436,0.1764
99.197,436.5,0.1682
99.673,437,0.1596
100.169,437.5,0.1650
100.642,438,0.1754
101.142,438.5,0.1889
101.657,439,0.1999
102.138,439.5,0.2184
102.607,440,0.2523
103.116,440.5,0.2842
103.610,441,0.3059
104.086,441.5,0.3075
104.574,442,0.2986
105.075,442.5,0.3332
105.564,443,0.3683
106.040,443.5,0.3782
106.558,444,0.3724
107.017,444.5,0.3763
107.530,445,0.4204
108.000,445.5,0.3791
108.498,446,0.3920
108.975,446.5,0.3648
109.493,447,0.4408
109.974,447.5,0.4283
110.478,448,0.4555
110.957,448.5,0.4711
111.420,449,0.4617
111.932,449.5,0.5165
112.437,450,0.5529
112.912,450.5,0.5879
113.406,451,0.6013
113.914,451.5,0.6068
114.408,452,0.6119
114.886,452.5,0.6360
115.379,453,0.6683
115.880,453.5,0.7073
116.377,454,0.7221
116.856,454.5,0.7665
117.335,455,0.7619
117.845,455.5,0.7830
118.324,456,0.8582
118.786,456.5,0.8856
119.283,457,0.9292
119.792,457.5,0.9618
120.257,458,0.9847
120.755,458.5,1.0554
121.277,459,1.0948
121.765,459.5,1.1114
122.250,460,1.1560
122.741,460.5,1.1908
123.233,461,1.2170
123.736,461.5,1.2376
124.233,462,1.2599
124.710,462.5,1.3045
125.195,463,1.3489
125.687,463.5,1.3884
126.185,464,1.4288
126.672,464.5,1.5012
127.164,465,1.6029
127.655,465.5,1.6679
128.142,466,1.7196
128.660,466.5,1.7195
129.136,467,1.7456
129.632,467.5,1.8097
130.116,468,1.8796
130.606,468.5,1.9048
131.110,469,1.9598
131.598,469.5,2.0447
132.076,470,2.1092
132.573,470.5,2.1770
133.071,471,2.2423
133.549,471.5,2.2937
134.035,472,2.3774
134.557,472.5,2.4239
135.025,473,2.4220
135.521,473.5,2.5156
136.014,474,2.6298
136.500,474.5,2.6601
136.984,475,2.7773
137.497,475.5,2.8686
137.966,476,2.9437
138.456,476.5,3.0206
138.980,477,3.0873
139.453,477.5,3.1868
139.974,478,3.2825
140.460,478.5,3.3696
140.966,479,3.4447
141.435,479.5,3.5064
141.933,480,3.5971
142.429,480.5,3.6793
142.920,481,3.7343
143.429,481.5,3.8262
143.918,482,3.9260
144.427,482.5,3.9910
144.905,483,4.0451
145.407,483.5,4.1865
145.866,484,4.2750
146.380,484.5,4.3656
146.882,485,4.4671
147.373,485.5,4.5329
147.876,486,4.6580
148.383,486.5,4.8098
148.863,487,4.8720
149.344,487.5,4.9807
149.861,488,5.0855
150.348,488.5,5.2125
150.825,489,5.3347
151.337,489.5,5.4792
151.841,490,5.5972
152.323,490.5,5.7307
152.829,491,5.8654
153.324,491.5,5.9984
153.825,492,6.0931
154.348,492.5,6.2428
154.833,493,6.3360
155.311,493.5,6.4426
155.815,494,6.5578
156.296,494.5,6.6567
156.791,495,6.7732
157.324,495.5,6.8878
157.808,496,7.0102
158.277,496.5,7.1198
158.766,497,7.2436
159.271,497.5,7.3597
159.780,498,7.4750
160.279,498.5,7.6037
