Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,303,4.882,-0.0015
18.423,303.5,4.7972,0.0167
30.421,304,4.7636,0.0418
35.741,304.5,4.7648,0.0656
40.008,305,4.7656,0.0873
43.714,305.5,4.7658,0.1073
47.067,306,4.7661,0.1256
50.175,306.5,4.7674,0.1423
53.103,307,4.7685,0.1576
55.898,307.5,4.7682,0.1718
58.593,308,4.7681,0.1849
61.211,308.5,4.7679,0.1968
63.769,309,4.7683,0.2076
66.282,309.5,4.7681,0.2177
68.76,310,4.7681,0.2269
71.211,310.5,4.7677,0.235
73.646,311,4.7676,0.2425
76.068,311.5,4.7675,0.2494
78.482,312,4.7681,0.2553
80.896,312.5,4.7683,0.2602
83.311,313,4.7691,0.2646
85.73,313.5,4.768,0.2685
88.158,314,4.7669,0.2714
90.597,314.5,4.7673,0.2738
93.048,315,4.7682,0.2758
95.514,315.5,4.7691,0.2772
97.995,316,4.7692,0.2783
100.49,316.5,4.7692,0.2789
103.01,317,4.7689,0.2792
105.55,317.5,4.7689,0.2796
108.1,318,4.7688,0.2795
110.68,318.5,4.7689,0.279
113.27,319,4.7692,0.2788
115.87,319.5,4.7691,0.2782
118.5,320,4.769,0.2776
121.13,320.5,4.7698,0.2771
123.78,321,4.7693,0.2765
126.44,321.5,4.7688,0.2762
129.12,322,4.769,0.2756
131.8,322.5,4.7695,0.2753
134.5,323,4.7686,0.2749
137.2,323.5,4.7674,0.2749
139.9,324,4.7674,0.2748
142.61,324.5,4.7674,0.2749
145.32,325,4.7675,0.275
148.04,325.5,4.7672,0.2749
150.76,326,4.7674,0.2753
153.48,326.5,4.7676,0.2758
156.21,327,4.7677,0.2764
158.93,327.5,4.7677,0.2769
161.65,328,4.7677,0.2778
164.38,328.5,4.7677,0.2785
167.11,329,4.7667,0.2792
169.83,329.5,4.7672,0.2801
172.55,330,4.7676,0.2809
175.28,330.5,4.7667,0.2818
178,331,4.7668,0.2827
180.73,331.5,4.7675,0.2835
183.45,332,4.7677,0.2844
186.18,332.5,4.7677,0.2854
188.91,333,4.7687,0.286
191.64,333.5,4.7681,0.2869
194.38,334,4.7667,0.2878
197.12,334.5,4.7673,0.2886
199.86,335,4.7677,0.2896
202.61,335.5,4.7677,0.2902
205.35,336,4.7677,0.2909
208.11,336.5,4.7677,0.2916
210.86,337,4.7686,0.292
213.62,337.5,4.768,0.2927
216.39,338,4.7677,0.2935
219.17,338.5,4.7677,0.2943
221.95,339,4.7676,0.2949
224.73,339.5,4.7676,0.2952
227.53,340,4.7677,0.296
230.33,340.5,4.7667,0.2966
233.13,341,4.7663,0.2972
235.94,341.5,4.7663,0.2978
238.76,342,4.7663,0.2982
241.58,342.5,4.7661,0.299
244.41,343,4.7653,0.2995
247.25,343.5,4.765,0.2999
250.09,344,4.7659,0.3006
252.94,344.5,4.7654,0.3011
255.79,345,4.765,0.3017
258.65,345.5,4.765,0.3024
261.51,346,4.766,0.3029
264.38,346.5,4.7663,0.3037
267.26,347,4.7644,0.3041
270.14,347.5,4.7636,0.3048
273.03,348,4.7637,0.3054
275.92,348.5,4.7637,0.3058
278.82,349,4.7627,0.3064
281.72,349.5,4.7633,0.3071
284.62,350,4.7627,0.3076
287.53,350.5,4.7623,0.3081
290.44,351,4.7623,0.3087
293.36,351.5,4.7623,0.3093
296.28,352,4.7628,0.3098
299.21,352.5,4.7627,0.3102
302.14,353,4.7619,0.3108
305.07,353.5,4.7617,0.3113
308,354,4.7616,0.3116
310.94,354.5,4.7609,0.3121
313.88,355,4.7606,0.3123
316.82,355.5,4.7606,0.3127
319.77,356,4.7604,0.313
322.72,356.5,4.7604,0.3132
325.67,357,4.7608,0.3133
328.63,357.5,4.7619,0.3134
331.58,358,4.7623,0.3136
334.54,358.5,4.7614,0.3135
337.51,359,4.761,0.3133
340.47,359.5,4.76,0.3133
343.43,360,4.7596,0.3132
346.4,360.5,4.7596,0.313
349.36,361,4.7587,0.3127
352.34,361.5,4.7583,0.3124
355.31,362,4.759,0.312
358.28,362.5,4.7587,0.3116
361.25,363,4.7582,0.3112
364.23,363.5,4.7573,0.3106
367.2,364,4.7569,0.3102
370.18,364.5,4.758,0.3096
373.16,365,4.7583,0.309
376.15,365.5,4.7583,0.3085
379.13,366,4.7582,0.3079
382.11,366.5,4.7573,0.3071
385.1,367,4.7575,0.3062
388.08,367.5,4.7581,0.3053
391.07,368,4.7583,0.3047
394.05,368.5,4.7573,0.3041
397.03,369,4.757,0.3032
400.02,369.5,4.757,0.3024
403,370,4.757,0.3015
405.99,370.5,4.757,0.3007
408.98,371,4.757,0.2997
411.97,371.5,4.7569,0.2988
414.96,372,4.756,0.2978
417.95,372.5,4.7566,0.2971
420.94,373,4.757,0.2962
423.93,373.5,4.7565,0.2951
426.92,374,4.7558,0.2942
429.91,374.5,4.7566,0.293
432.9,375,4.7574,0.2922
435.9,375.5,4.7581,0.2913
438.89,376,4.7574,0.2905
441.88,376.5,4.757,0.2894
444.88,377,4.756,0.2883
447.87,377.5,4.7566,0.2874
450.87,378,4.756,0.2866
453.87,378.5,4.7556,0.2857
456.86,379,4.7557,0.2849
459.86,379.5,4.7547,0.2839
462.85,380,4.7552,0.2832
465.85,380.5,4.7556,0.2826
468.85,381,4.7556,0.2819
471.84,381.5,4.7556,0.2813
474.84,382,4.7556,0.2804
477.84,382.5,4.7556,0.2798
480.84,383,4.7556,0.2791
483.84,383.5,4.7566,0.2785
486.84,384,4.756,0.2781
489.83,384.5,4.7556,0.2777
492.83,385,4.7558,0.2773
495.83,385.5,4.7551,0.2768
498.83,386,4.7549,0.2764
501.84,386.5,4.755,0.2761
504.84,387,4.7559,0.276
507.84,387.5,4.7557,0.2754
510.84,388,4.7551,0.2752
513.83,388.5,4.7554,0.2749
516.83,389,4.7548,0.2747
519.83,389.5,4.7543,0.2745
522.83,390,4.7553,0.2744
525.83,390.5,4.7547,0.2742
528.83,391,4.7543,0.2742
531.83,391.5,4.7543,0.2738
534.83,392,4.7552,0.2735
537.83,392.5,4.7547,0.2734
540.84,393,4.7543,0.2733
543.84,393.5,4.7548,0.2734
546.85,394,4.755,0.2733
549.85,394.5,4.7555,0.2732
552.86,395,4.7547,0.2731
555.86,395.5,4.7543,0.2732
558.87,396,4.7543,0.273
561.88,396.5,4.7543,0.2728
564.88,397,4.7543,0.2731
567.89,397.5,4.7543,0.2731
570.9,398,4.7548,0.2731
573.9,398.5,4.7545,0.2731
576.91,399,4.7543,0.2733
579.91,399.5,4.7552,0.2734
582.92,400,4.7556,0.2735
585.92,400.5,4.7549,0.2735
588.92,401,4.7553,0.2738
591.93,401.5,4.7556,0.2739
594.93,402,4.7547,0.274
597.94,402.5,4.7543,0.2744
600.94,403,4.7533,0.2747
603.95,403.5,4.753,0.2748
606.95,404,4.7529,0.2749
609.95,404.5,4.7549,0.275
612.96,405,4.7551,0.2752
615.96,405.5,4.7545,0.2755
618.96,406,4.754,0.2759
621.97,406.5,4.7532,0.2763
624.97,407,4.7537,0.2761
627.97,407.5,4.7542,0.2766
630.98,408,4.7535,0.277
633.98,408.5,4.754,0.2773
636.98,409,4.7543,0.2776
639.99,409.5,4.7543,0.278
642.99,410,4.7543,0.2786
645.99,410.5,4.7543,0.2788
648.99,411,4.7533,0.2793
651.99,411.5,4.7529,0.2796
654.99,412,4.753,0.28
657.99,412.5,4.7537,0.2804
660.99,413,4.7535,0.2809
663.99,413.5,4.7533,0.2815
666.99,414,4.7533,0.2818
670,414.5,4.7533,0.2825
673,415,4.7533,0.2829
676,415.5,4.7521,0.2834
679,416,4.7526,0.2839
682,416.5,4.753,0.2843
685,417,4.7529,0.2849
688,417.5,4.752,0.2857
691,418,4.7506,0.2863
693.99,418.5,4.7503,0.2867
696.99,419,4.7503,0.2875
699.99,419.5,4.7503,0.2881
702.98,420,4.7503,0.2888
705.98,420.5,4.7503,0.2893
708.97,421,4.7519,0.2901
711.96,421.5,4.7526,0.2911
714.96,422,4.7519,0.2918
717.96,422.5,4.7514,0.2925
720.95,423,4.7513,0.2932
723.95,423.5,4.7513,0.294
726.94,424,4.7522,0.2949
729.93,424.5,4.7526,0.2957
732.93,425,4.7526,0.2967
735.92,425.5,4.7526,0.2974
738.91,426,4.7526,0.2982
741.91,426.5,4.7526,0.2993
744.9,427,4.7536,0.3
747.9,427.5,4.753,0.301
750.89,428,4.7526,0.3021
753.89,428.5,4.7516,0.3033
756.88,429,4.7508,0.3043
759.88,429.5,4.7501,0.3055
762.87,430,4.7509,0.3066
765.86,430.5,4.7513,0.3078
768.86,431,4.7516,0.3092
771.85,431.5,4.7524,0.3103
774.85,432,4.7526,0.3115
777.84,432.5,4.7516,0.3129
780.84,433,4.7513,0.3142
783.83,433.5,4.7513,0.3157
786.83,434,4.7512,0.3169
789.82,434.5,4.7503,0.3181
792.82,435,4.7499,0.3192
795.81,435.5,4.7509,0.3204
798.81,436,4.7513,0.3215
801.8,436.5,4.7511,0.3221
804.8,437,4.7503,0.3231
807.8,437.5,4.7499,0.3241
810.79,438,4.7499,0.3248
813.79,438.5,4.7499,0.3257
816.79,439,4.7496,0.3264
