time (s),Temperature (K),Mass (mg)
0,325,4.947
3.3,325.5,4.947
6.4,326,4.947
9.2,326.5,4.947
11.9,327,4.947
14.5,327.5,4.946
17,328,4.946
19.4,328.5,4.946
21.7,329,4.946
24,329.5,4.946
26.2,330,4.946
28.3,330.5,4.946
30.4,331,4.946
32.4,331.5,4.947
34.4,332,4.947
36.4,332.5,4.947
38.4,333,4.947
40.3,333.5,4.947
42.2,334,4.946
44,334.5,4.946
45.9,335,4.946
47.7,335.5,4.946
49.5,336,4.946
51.3,336.5,4.946
53.1,337,4.946
54.8,337.5,4.946
56.6,338,4.946
58.3,338.5,4.946
60,339,4.946
61.8,339.5,4.946
63.5,340,4.946
65.1,340.5,4.946
66.8,341,4.946
68.5,341.5,4.946
70.2,342,4.946
71.8,342.5,4.946
73.5,343,4.946
75.1,343.5,4.945
76.8,344,4.945
78.4,344.5,4.946
80.1,345,4.946
81.7,345.5,4.945
83.3,346,4.945
84.9,346.5,4.946
86.6,347,4.945
88.2,347.5,4.946
89.8,348,4.946
91.4,348.5,4.946
93,349,4.946
94.6,349.5,4.946
96.2,350,4.946
97.8,350.5,4.946
99.4,351,4.946
101,351.5,4.946
102.6,352,4.946
104.2,352.5,4.946
105.8,353,4.946
107.4,353.5,4.946
109,354,4.945
110.5,354.5,4.945
112.1,355,4.945
113.7,355.5,4.945
115.3,356,4.945
116.8,356.5,4.945
118.4,357,4.946
120,357.5,4.946
121.6,358,4.946
123.1,358.5,4.946
124.7,359,4.945
126.2,359.5,4.945
127.8,360,4.945
129.3,360.5,4.945
130.9,361,4.945
132.5,361.5,4.945
134,362,4.944
135.6,362.5,4.944
137.1,363,4.944
138.6,363.5,4.944
140.2,364,4.944
141.7,364.5,4.943
143.3,365,4.943
144.8,365.5,4.943
146.3,366,4.943
147.9,366.5,4.943
149.4,367,4.943
151,367.5,4.943
152.5,368,4.943
154,368.5,4.943
155.5,369,4.943
157.1,369.5,4.943
158.6,370,4.943
160.1,370.5,4.943
161.6,371,4.943
163.2,371.5,4.942
164.7,372,4.942
166.2,372.5,4.942
167.7,373,4.942
169.2,373.5,4.942
170.7,374,4.942
172.3,374.5,4.942
173.8,375,4.942
175.3,375.5,4.942
176.8,376,4.942
178.3,376.5,4.942
179.8,377,4.942
181.3,377.5,4.942
