Time (s),Mass (g),HRR (kW/m2)
0.0,85.97,0.9
1.0,85.93,0.9
2.0,85.91,0.0
3.0,85.91,6.7
4.0,85.9,0.0
5.0,85.89,0.0
6.0,85.88,0.0
7.0,85.87,2.0
8.0,85.84,0.0
9.0,85.84,0.0
10.0,85.83,0.0
11.0,85.83,0.0
12.0,85.82,0.0
13.0,85.81,0.0
14.0,85.8,1.7
15.0,85.8,0.0
16.0,85.79,0.0
17.0,85.76,0.0
18.0,85.76,0.0
19.0,85.74,0.0
20.0,85.73,0.0
21.0,85.72,0.0
22.0,85.7,0.0
23.0,85.69,0.0
24.0,85.69,1.0
25.0,85.66,1.1
26.0,85.65,1.1
27.0,85.64,0.0
28.0,85.59,0.0
29.0,85.44,0.0
30.0,85.35,8.5
31.0,85.21,18.7
32.0,85.11,34.3
33.0,85.05,30.2
34.0,84.91,51.5
35.0,84.75,73.1
36.0,84.69,97.8
37.0,84.54,93.8
38.0,84.35,122.7
39.0,84.28,138.8
40.0,84.2,155.0
41.0,84.08,154.7
42.0,84.02,163.0
43.0,83.9,167.8
44.0,83.82,165.3
45.0,83.78,165.6
46.0,83.74,165.2
47.0,83.6,158.0
48.0,83.53,147.9
49.0,83.42,148.4
50.0,83.37,145.9
51.0,83.33,136.4
52.0,83.25,127.9
53.0,83.17,128.9
54.0,83.14,120.2
55.0,83.04,115.8
56.0,82.99,113.1
57.0,82.95,114.1
58.0,82.87,109.2
59.0,82.8,103.7
60.0,82.75,100.0
61.0,82.68,100.0
62.0,82.58,95.0
63.0,82.56,92.8
64.0,82.51,91.6
65.0,82.47,92.1
66.0,82.42,89.0
67.0,82.34,88.3
68.0,82.28,86.5
69.0,82.26,87.0
70.0,82.2,84.5
71.0,82.13,82.5
72.0,82.1,81.4
73.0,82.03,81.7
74.0,81.95,78.2
75.0,81.92,78.7
76.0,81.87,78.1
77.0,81.78,78.1
78.0,81.75,77.0
79.0,81.7,72.9
80.0,81.65,73.6
81.0,81.61,75.1
82.0,81.55,78.4
83.0,81.47,72.9
84.0,81.45,72.8
85.0,81.4,72.8
86.0,81.35,72.9
87.0,81.3,70.4
