Time (s),Temperature (K),Mass (mg)
0.0,304.991,0.97
3.0,304.983,0.969
9.0,304.964,0.968
16.0,304.91,0.967
25.0,304.9,0.966
33.0,304.853,0.965
41.0,304.822,0.964
50.0,304.789,0.963
61.0,304.756,0.962
74.0,304.727,0.961
87.0,304.706,0.96
104.0,304.669,0.959
122.0,304.638,0.958
141.0,304.614,0.957
165.0,304.574,0.956
193.0,304.531,0.955
225.0,304.524,0.954
267.0,304.492,0.953
327.0,304.476,0.952
399.0,304.437,0.951
533.0,304.407,0.95
761.0,304.409,0.949
814.0,304.412,0.95
816.0,304.401,0.949
849.0,304.401,0.95
856.0,304.402,0.949
1204.118,305.0,0.947
1206.474,305.5,0.947
1208.182,306.0,0.946
1209.579,306.5,0.947
1210.908,307.0,0.948
1212.15,307.5,0.949
1213.387,308.0,0.95
1214.585,308.5,0.951
1215.74,309.0,0.951
1216.864,309.5,0.951
1217.973,310.0,0.952
1219.076,310.5,0.952
1220.188,311.0,0.952
1221.276,311.5,0.951
1222.376,312.0,0.951
1223.464,312.5,0.951
1224.549,313.0,0.951
1225.625,313.5,0.951
1226.701,314.0,0.95
1227.746,314.5,0.95
1228.827,315.0,0.95
1229.875,315.5,0.95
1230.98,316.0,0.95
1232.035,316.5,0.95
1233.069,317.0,0.95
1234.114,317.5,0.949
1235.187,318.0,0.949
1236.228,318.5,0.949
1237.289,319.0,0.949
1238.348,319.5,0.949
1239.386,320.0,0.949
1240.434,320.5,0.949
1241.483,321.0,0.949
1242.526,321.5,0.949
1243.56,322.0,0.949
1244.616,322.5,0.949
1245.637,323.0,0.949
1246.667,323.5,0.948
1247.712,324.0,0.948
1248.759,324.5,0.948
1249.797,325.0,0.948
1250.822,325.5,0.948
1251.828,326.0,0.948
1252.9,326.5,0.948
1253.956,327.0,0.948
1254.978,327.5,0.948
1256.03,328.0,0.948
1257.016,328.5,0.948
1258.043,329.0,0.948
1259.06,329.5,0.948
1260.121,330.0,0.948
1261.145,330.5,0.947
1262.169,331.0,0.947
1263.213,331.5,0.947
1264.257,332.0,0.947
1265.288,332.5,0.947
1266.301,333.0,0.947
1267.31,333.5,0.947
1268.349,334.0,0.947
1269.364,334.5,0.947
1270.381,335.0,0.946
1271.4,335.5,0.946
1272.439,336.0,0.946
1273.464,336.5,0.946
1274.472,337.0,0.946
1275.484,337.5,0.946
1276.506,338.0,0.946
1277.526,338.5,0.945
1278.553,339.0,0.945
1279.579,339.5,0.945
1280.588,340.0,0.945
1281.6,340.5,0.945
1282.634,341.0,0.945
1283.662,341.5,0.945
1284.671,342.0,0.945
1285.689,342.5,0.945
1286.697,343.0,0.944
1287.715,343.5,0.944
1288.743,344.0,0.944
1289.773,344.5,0.944
1290.774,345.0,0.944
1291.814,345.5,0.944
1292.806,346.0,0.944
1293.81,346.5,0.944
1294.83,347.0,0.944
1295.855,347.5,0.943
1296.87,348.0,0.943
1297.918,348.5,0.943
1298.899,349.0,0.943
1299.911,349.5,0.943
1300.91,350.0,0.943
1301.94,350.5,0.943
1302.952,351.0,0.943
1303.952,351.5,0.942
1304.979,352.0,0.942
1305.986,352.5,0.942
1307.018,353.0,0.942
1308.014,353.5,0.942
1309.024,354.0,0.942
1310.024,354.5,0.942
1311.029,355.0,0.942
1312.057,355.5,0.942
1313.079,356.0,0.941
1314.073,356.5,0.941
1315.084,357.0,0.941
1316.089,357.5,0.941
1317.1,358.0,0.941
1318.104,358.5,0.941
1319.104,359.0,0.941
1320.103,359.5,0.941
1321.114,360.0,0.941
1322.144,360.5,0.941
1323.134,361.0,0.941
1324.145,361.5,0.94
1325.157,362.0,0.94
1326.165,362.5,0.94
1327.145,363.0,0.94
1328.164,363.5,0.94
1329.181,364.0,0.94
1330.179,364.5,0.94
1331.193,365.0,0.94
1332.197,365.5,0.94
1333.196,366.0,0.94
1334.203,366.5,0.94
1335.2,367.0,0.94
1336.208,367.5,0.94
1337.231,368.0,0.94
1338.223,368.5,0.94
1339.21,369.0,0.939
1340.225,369.5,0.939
1341.226,370.0,0.939
1342.224,370.5,0.939
1343.235,371.0,0.939
1344.23,371.5,0.939
1345.222,372.0,0.939
1346.23,372.5,0.939
1347.247,373.0,0.939
1348.235,373.5,0.939
1349.242,374.0,0.939
1350.233,374.5,0.939
1351.247,375.0,0.939
1352.244,375.5,0.939
1353.242,376.0,0.939
1354.234,376.5,0.939
1355.208,377.0,0.939
1356.218,377.5,0.939
1357.237,378.0,0.939
1358.241,378.5,0.939
1359.226,379.0,0.939
1360.233,379.5,0.939
1361.229,380.0,0.939
1362.224,380.5,0.939
1363.196,381.0,0.939
1364.206,381.5,0.939
1365.201,382.0,0.939
1366.194,382.5,0.939
1367.208,383.0,0.939
1368.2,383.5,0.939
1369.188,384.0,0.939
1370.182,384.5,0.939
1371.193,385.0,0.939
1372.191,385.5,0.939
1373.167,386.0,0.939
1374.154,386.5,0.939
1375.17,387.0,0.939
1376.137,387.5,0.939
1377.129,388.0,0.939
1378.108,388.5,0.939
1379.113,389.0,0.939
1380.123,389.5,0.939
1381.112,390.0,0.939
1382.107,390.5,0.939
1383.099,391.0,0.939
1384.103,391.5,0.939
1385.08,392.0,0.939
1386.072,392.5,0.939
1387.04,393.0,0.939
1388.05,393.5,0.939
1389.021,394.0,0.939
1390.048,394.5,0.939
1391.012,395.0,0.939
1392.024,395.5,0.939
1393.02,396.0,0.939
1394.0,396.5,0.939
1395.004,397.0,0.939
1395.964,397.5,0.939
1396.951,398.0,0.939
1397.95,398.5,0.939
1398.948,399.0,0.939
1399.933,399.5,0.939
1400.923,400.0,0.939
1401.9,400.5,0.939
1402.893,401.0,0.939
1403.881,401.5,0.939
1404.856,402.0,0.939
1405.849,402.5,0.939
1406.845,403.0,0.939
1407.807,403.5,0.939
1408.8,404.0,0.939
1409.783,404.5,0.939
1410.764,405.0,0.939
1411.782,405.5,0.939
1412.759,406.0,0.939
1413.737,406.5,0.939
1414.72,407.0,0.939
1415.709,407.5,0.939
1416.691,408.0,0.939
1417.679,408.5,0.939
1418.672,409.0,0.939
1419.658,409.5,0.939
1420.635,410.0,0.939
1421.621,410.5,0.939
1422.591,411.0,0.939
1423.564,411.5,0.939
1424.552,412.0,0.939
1425.531,412.5,0.939
1426.521,413.0,0.939
1427.521,413.5,0.939
1428.513,414.0,0.939
1429.497,414.5,0.939
1430.472,415.0,0.939
1431.448,415.5,0.939
1432.435,416.0,0.939
1433.414,416.5,0.939
1434.386,417.0,0.939
1435.374,417.5,0.939
1436.354,418.0,0.939
1437.348,418.5,0.939
1438.336,419.0,0.938
1439.319,419.5,0.938
1440.287,420.0,0.938
1441.275,420.5,0.938
1442.258,421.0,0.938
1443.229,421.5,0.938
1444.228,422.0,0.938
1445.207,422.5,0.938
1446.171,423.0,0.938
1447.165,423.5,0.938
1448.146,424.0,0.938
1449.124,424.5,0.938
1450.12,425.0,0.938
1451.099,425.5,0.938
1452.066,426.0,0.938
1453.04,426.5,0.938
1454.031,427.0,0.938
1455.004,427.5,0.938
1455.96,428.0,0.938
1456.972,428.5,0.938
1457.938,429.0,0.938
1458.923,429.5,0.938
1459.906,430.0,0.938
1460.871,430.5,0.938
1461.854,431.0,0.938
1462.827,431.5,0.938
1463.82,432.0,0.938
1464.799,432.5,0.938
1465.772,433.0,0.938
1466.751,433.5,0.938
1467.723,434.0,0.938
1468.713,434.5,0.938
1469.682,435.0,0.938
1470.663,435.5,0.938
1471.643,436.0,0.938
1472.619,436.5,0.938
1473.598,437.0,0.938
1474.585,437.5,0.938
1475.556,438.0,0.938
1476.519,438.5,0.938
1477.494,439.0,0.938
1478.482,439.5,0.938
1479.473,440.0,0.938
1480.446,440.5,0.937
1481.412,441.0,0.937
1482.386,441.5,0.937
1483.367,442.0,0.937
1484.348,442.5,0.937
