Time (s),Mass (g)
0,110.9
1,110.87
2,110.9
3,110.9
4,110.9
5,110.9
6,110.9
7,110.89
8,110.87
9,110.85
10,110.84
11,110.82
12,110.82
13,110.8
14,110.79
15,110.78
16,110.78
17,110.75
18,110.75
19,110.73
20,110.71
21,110.7
22,110.7
23,110.7
24,110.69
25,110.66
26,110.65
27,110.64
28,110.63
29,110.62
30,110.61
31,110.6
32,110.6
33,110.59
34,110.56
35,110.56
36,110.55
37,110.54
38,110.53
39,110.53
40,110.52
41,110.51
42,110.51
43,110.49
44,110.46
45,110.46
46,110.44
47,110.44
48,110.43
49,110.39
50,110.39
51,110.38
52,110.38
53,110.38
54,110.38
55,110.37
56,110.36
57,110.33
58,110.33
59,110.31
60,110.31
61,110.3
62,110.29
63,110.29
64,110.28
65,110.24
66,110.23
67,110.22
68,110.22
69,110.21
70,110.21
71,110.21
72,110.2
73,110.19
74,110.16
75,110.14
76,110.14
77,110.14
78,110.13
79,110.13
80,110.12
81,110.12
82,110.11
83,110.07
84,110.05
85,110.05
86,110.05
87,110.03
88,110.03
89,110.02
90,110.02
91,109.98
92,109.96
93,109.96
94,109.96
95,109.95
96,109.94
97,109.93
98,109.92
99,109.88
100,109.88
101,109.86
102,109.86
103,109.86
104,109.86
105,109.82
106,109.82
107,109.81
108,109.79
109,109.78
110,109.76
111,109.76
112,109.76
113,109.74
114,109.72
115,109.68
116,109.68
117,109.68
118,109.68
119,109.67
120,109.66
121,109.65
122,109.64
123,109.61
124,109.59
125,109.57
126,109.56
127,109.56
128,109.54
129,109.54
130,109.51
131,109.5
132,109.5
133,109.48
134,109.46
135,109.45
136,109.44
137,109.41
138,109.41
139,109.39
140,109.38
141,109.37
142,109.36
143,109.34
144,109.29
145,109.29
146,109.3
147,109.27
148,109.26
149,109.25
150,109.23
151,109.22
152,109.19
153,109.18
154,109.17
155,109.16
156,109.14
157,109.11
158,109.11
159,109.11
160,109.08
161,109.07
162,109.06
163,109.03
164,109.0
165,108.99
166,108.99
167,108.95
168,108.95
169,108.94
170,108.93
171,108.92
172,108.91
173,108.88
174,108.87
175,108.84
176,108.83
177,108.82
178,108.81
179,108.79
180,108.75
181,108.74
182,108.74
183,108.71
184,108.71
185,108.69
186,108.66
187,108.66
188,108.63
189,108.59
190,108.59
191,108.57
192,108.54
193,108.54
194,108.53
195,108.51
196,108.51
197,108.47
198,108.45
