Time (s),Temperature (K),Mass (mg)
0.0,304.94,4.00946
10.0,304.87,4.00565
20.0,304.83,4.00162
30.0,304.8,3.99775
40.0,304.77,3.99419
50.0,304.75,3.99071
60.0,304.71,3.98734
70.0,304.68,3.98417
80.0,304.68,3.98107
90.0,304.66,3.97815
100.0,304.64,3.9754
110.0,304.62,3.97268
120.0,304.6,3.97014
130.0,304.58,3.96768
140.0,304.57,3.96544
150.0,304.56,3.96321
160.0,304.53,3.96103
170.0,304.52,3.95888
180.0,304.52,3.95701
190.0,304.51,3.95506
200.0,304.48,3.95308
210.0,304.5,3.95128
220.0,304.47,3.94955
230.0,304.48,3.9478
240.0,304.46,3.94605
250.0,304.46,3.9446
260.0,304.45,3.94306
270.0,304.47,3.94149
280.0,304.44,3.9401
290.0,304.46,3.93867
300.0,304.44,3.93728
310.0,304.44,3.93589
320.0,304.43,3.9346
330.0,304.43,3.9333
340.0,304.43,3.93213
350.0,304.42,3.93098
360.0,304.42,3.92975
370.0,304.41,3.92871
380.0,304.42,3.92777
390.0,304.41,3.92686
400.0,304.4,3.92588
410.0,304.41,3.92487
420.0,304.4,3.92381
430.0,304.41,3.92285
440.0,304.42,3.92196
450.0,304.42,3.92109
460.0,304.41,3.92023
470.0,304.42,3.9194
480.0,304.41,3.91851
490.0,304.41,3.9177
500.0,304.41,3.91703
510.0,304.41,3.91628
520.0,304.41,3.91563
530.0,304.43,3.91487
540.0,304.4,3.91423
550.0,304.43,3.91352
560.0,304.41,3.91291
570.0,304.4,3.91229
580.0,304.41,3.91171
590.0,304.42,3.91104
600.0,304.43,3.91047
610.0,304.4,3.90996
620.0,304.42,3.9093
630.0,304.4,3.90865
640.0,304.41,3.9081
650.0,304.42,3.90765
660.0,304.41,3.90718
670.0,304.41,3.90666
680.0,304.39,3.90619
690.0,304.4,3.90571
700.0,304.4,3.90519
710.0,304.4,3.90472
720.0,304.4,3.90427
730.0,304.4,3.90386
740.0,304.4,3.90333
750.0,304.39,3.90294
760.0,304.4,3.90246
770.0,304.41,3.90217
780.0,304.4,3.9018
790.0,304.41,3.90144
800.0,304.41,3.90097
810.0,304.41,3.9005
820.0,304.41,3.9001
830.0,304.42,3.89983
840.0,304.42,3.89948
850.0,304.42,3.89911
860.0,304.43,3.89878
870.0,304.42,3.89849
880.0,304.42,3.89808
890.0,304.41,3.8977
900.0,304.41,3.89727
910.0,304.42,3.89707
920.0,304.41,3.89665
930.0,304.42,3.8964
940.0,304.43,3.89611
950.0,304.42,3.89566
960.0,304.42,3.89538
970.0,304.43,3.89489
980.0,304.42,3.89457
990.0,304.43,3.89437
1000.0,304.43,3.89422
1010.0,304.42,3.89394
1020.0,304.42,3.89353
1030.0,304.43,3.89334
1040.0,304.42,3.8932
1050.0,304.43,3.89295
1060.0,304.43,3.89278
1070.0,304.42,3.89253
1080.0,304.42,3.89237
1090.0,304.41,3.89213
1100.0,304.44,3.89191
1110.0,304.43,3.89172
1120.0,304.43,3.89142
1130.0,304.42,3.89109
1140.0,304.42,3.89087
1150.0,304.41,3.89085
1160.0,304.43,3.89061
1170.0,304.41,3.89041
1180.0,304.41,3.89024
1190.0,304.41,3.88995
1200.0,304.44,3.88947
1205.958,306.0,3.88736
1209.255,308.0,3.88676
1212.286,310.0,3.88815
1214.949,312.0,3.8895
1217.419,314.0,3.8906
1219.877,316.0,3.89074
1222.275,318.0,3.89063
1224.657,320.0,3.8903
1227.071,322.0,3.88968
1229.469,324.0,3.8888
1231.847,326.0,3.88786
1234.232,328.0,3.88692
1236.623,330.0,3.88599
1238.995,332.0,3.88507
1241.396,334.0,3.88413
1243.804,336.0,3.88312
1246.185,338.0,3.88202
1248.58,340.0,3.8808
1250.985,342.0,3.87949
1253.386,344.0,3.87803
1255.79,346.0,3.87644
1258.168,348.0,3.87473
1260.571,350.0,3.87282
1262.979,352.0,3.87084
1265.394,354.0,3.86871
1267.792,356.0,3.86655
1270.195,358.0,3.86434
1272.608,360.0,3.86204
1275.019,362.0,3.85975
1277.408,364.0,3.85746
1279.816,366.0,3.85521
1282.22,368.0,3.853
1284.62,370.0,3.85086
1287.02,372.0,3.84875
1289.41,374.0,3.84679
1291.806,376.0,3.84495
1294.178,378.0,3.84328
1296.592,380.0,3.84176
1298.97,382.0,3.84038
1301.361,384.0,3.83918
1303.755,386.0,3.83806
1306.125,388.0,3.83704
1308.505,390.0,3.83613
1310.884,392.0,3.83535
1313.269,394.0,3.83477
1315.646,396.0,3.83427
1318.021,398.0,3.83387
1320.418,400.0,3.83354
1322.795,402.0,3.83323
1325.168,404.0,3.833
1327.54,406.0,3.83279
1329.92,408.0,3.83261
1332.301,410.0,3.83244
1334.669,412.0,3.83229
1337.039,414.0,3.83216
1339.413,416.0,3.83202
1341.773,418.0,3.83188
1344.158,420.0,3.83175
1346.514,422.0,3.83158
1348.882,424.0,3.8314
1351.245,426.0,3.8312
1353.613,428.0,3.83102
1355.97,430.0,3.83084
1358.333,432.0,3.83065
1360.697,434.0,3.83042
1363.046,436.0,3.83016
1365.407,438.0,3.82985
1367.754,440.0,3.82951
1370.11,442.0,3.82913
1372.471,444.0,3.82871
1374.813,446.0,3.82828
1377.175,448.0,3.82783
1379.523,450.0,3.82738
1381.869,452.0,3.8269
1384.216,454.0,3.82635
1386.555,456.0,3.82573
1388.887,458.0,3.82502
1391.234,460.0,3.82425
1393.571,462.0,3.8234
1395.91,464.0,3.82246
1398.236,466.0,3.82147
1400.587,468.0,3.82036
1402.923,470.0,3.8192
1405.257,472.0,3.81789
1407.598,474.0,3.81647
1409.923,476.0,3.81491
1412.258,478.0,3.81318
1414.59,480.0,3.81134
1416.928,482.0,3.80929
1419.258,484.0,3.80714
1421.597,486.0,3.80476
1423.92,488.0,3.8022
1426.257,490.0,3.79943
1428.58,492.0,3.79638
1430.911,494.0,3.7932
1433.239,496.0,3.78975
1435.567,498.0,3.78618
1437.896,500.0,3.78243
1440.221,502.0,3.77849
1442.548,504.0,3.77442
1444.868,506.0,3.77014
1447.208,508.0,3.76576
1449.53,510.0,3.76125
1451.874,512.0,3.75664
1454.185,514.0,3.75202
1456.513,516.0,3.74725
1458.843,518.0,3.7424
1461.18,520.0,3.73736
1463.498,522.0,3.73225
1465.822,524.0,3.72696
1468.148,526.0,3.7215
1470.481,528.0,3.71587
1472.812,530.0,3.70998
1475.132,532.0,3.70394
1477.458,534.0,3.69752
1479.787,536.0,3.69083
1482.123,538.0,3.68382
1484.44,540.0,3.67645
1486.773,542.0,3.66879
1489.112,544.0,3.66056
1491.436,546.0,3.65205
1493.772,548.0,3.64302
1496.108,550.0,3.63357
1498.438,552.0,3.62386
1500.774,554.0,3.61365
1503.106,556.0,3.6032
1505.443,558.0,3.59214
1507.785,560.0,3.58068
1510.132,562.0,3.56878
1512.454,564.0,3.55645
1514.792,566.0,3.5437
1517.141,568.0,3.53016
1519.48,570.0,3.51631
1521.812,572.0,3.50189
1524.165,574.0,3.48676
1526.5,576.0,3.4713
1528.852,578.0,3.45497
1531.192,580.0,3.4383
1533.542,582.0,3.42075
1535.891,584.0,3.40265
1538.241,586.0,3.38399
