Time (s),Temperature (K),Mass (mg)
0.0,299.258999,5.065187
1.0,299.258999,5.06525
2.0,299.258999,5.06525
3.0,299.258999,5.065219
4.0,299.258,5.065187
5.0,299.258,5.065156
6.0,299.258,5.065125
7.0,299.258,5.065094
8.0,299.256001,5.065094
9.0,299.256001,5.065063
10.0,299.258,5.065094
11.0,299.261,5.065187
12.0,299.261,5.065312
13.0,299.261,5.065406
14.0,299.260001,5.065437
15.0,299.258999,5.065469
16.0,299.263001,5.065563
17.0,299.265999,5.065719
18.0,299.268999,5.065844
19.0,299.268999,5.065875
20.0,299.265,5.065906
21.0,299.260001,5.065938
22.0,299.258,5.066
23.0,299.258,5.066031
24.0,299.258,5.066094
25.0,299.258,5.066219
26.0,299.260001,5.066375
27.0,299.265999,5.0665
28.0,299.270001,5.066625
29.0,299.268999,5.066688
30.0,299.261,5.06675
31.0,299.255,5.066781
32.0,299.255,5.066813
33.0,299.257,5.066844
34.0,299.258,5.066813
35.0,299.258,5.06675
36.0,299.258,5.066719
37.0,299.258,5.06675
38.0,299.258,5.06675
39.0,299.258,5.06675
40.0,299.257,5.066688
41.0,299.258999,5.066656
42.0,299.258999,5.066625
43.0,299.258999,5.066656
44.0,299.260001,5.066719
45.0,299.262,5.066844
46.0,299.265,5.066937
47.0,299.265,5.066969
48.0,299.265,5.066969
49.0,299.265,5.066937
50.0,299.262,5.066906
51.0,299.260001,5.066906
52.0,299.263001,5.066937
53.0,299.268999,5.067
54.0,299.275999,5.067094
55.0,299.282,5.067094
56.0,299.286999,5.067
57.0,299.286999,5.066906
58.0,299.286999,5.066875
59.0,299.289,5.066969
60.0,299.293999,5.067031
61.0,299.3,5.067094
62.0,299.300999,5.067062
63.0,299.303999,5.067094
64.0,299.309,5.067094
65.0,299.315001,5.067156
66.0,299.322001,5.067187
67.0,299.324999,5.067187
68.0,299.333001,5.067156
69.0,299.340001,5.067125
70.0,299.348999,5.067094
71.0,299.359999,5.067062
72.0,299.369,5.067062
73.0,299.379,5.067062
74.0,299.388001,5.067031
75.0,299.397999,5.067031
76.0,299.407999,5.067031
77.0,299.417,5.067
78.0,299.423001,5.066969
79.0,299.428999,5.066937
80.0,299.439,5.067
81.0,299.451001,5.067031
82.0,299.459999,5.067094
83.0,299.470999,5.067031
84.0,299.480999,5.066969
85.0,299.496001,5.066937
86.0,299.512,5.066875
87.0,299.525999,5.066875
88.0,299.542,5.066875
89.0,299.556,5.066875
90.0,299.571,5.066969
91.0,299.581999,5.067031
92.0,299.595,5.067125
93.0,299.605999,5.067187
94.0,299.621001,5.06725
95.0,299.639,5.06725
96.0,299.659001,5.067219
97.0,299.678999,5.067187
98.0,299.697001,5.067156
99.0,299.713999,5.067125
100.0,299.732001,5.067156
101.0,299.748,5.067187
102.0,299.768999,5.067219
103.0,299.792,5.06725
104.0,299.813,5.067219
105.0,299.831999,5.067125
106.0,299.850001,5.067031
107.0,299.871001,5.067
108.0,299.896,5.067094
109.0,299.921999,5.067156
110.0,299.948,5.067156
111.0,299.972001,5.067094
112.0,299.996001,5.067031
113.0,300.018,5.067
114.0,300.045,5.067031
115.0,300.071,5.067031
116.0,300.094,5.067031
117.0,300.119999,5.066969
118.0,300.147,5.067
119.0,300.182,5.066969
120.0,300.215001,5.067
121.0,300.249001,5.066969
122.0,300.278,5.066937
123.0,300.308001,5.066844
124.0,300.341,5.066781
125.0,300.374001,5.06675
126.0,300.409001,5.06675
127.0,300.442,5.066719
128.0,300.473999,5.066719
129.0,300.507,5.066719
130.0,300.543999,5.066781
131.0,300.584,5.066813
132.0,300.625,5.066844
133.0,300.664,5.066844
134.0,300.701001,5.066813
135.0,300.741,5.06675
136.0,300.778,5.066719
137.0,300.817999,5.066719
138.0,300.855999,5.066688
139.0,300.899001,5.066625
140.0,300.942,5.066563
141.0,300.989001,5.066563
142.0,301.034001,5.066594
143.0,301.077,5.066625
144.0,301.121001,5.066594
145.0,301.164999,5.066594
146.0,301.209999,5.066563
147.0,301.255,5.066563
148.0,301.293,5.066531
149.0,301.340001,5.0665
150.0,301.389,5.066469
151.0,301.441,5.066438
152.0,301.487999,5.066406
153.0,301.539,5.066375
154.0,301.588,5.066281
155.0,301.639,5.066187
156.0,301.689,5.066125
157.0,301.743,5.066094
158.0,301.800999,5.066156
159.0,301.857001,5.066187
160.0,301.911,5.066219
161.0,301.965001,5.066187
162.0,302.021,5.066156
163.0,302.079001,5.066156
164.0,302.133999,5.066156
165.0,302.187001,5.066125
166.0,302.24,5.066094
167.0,302.299,5.066094
168.0,302.359999,5.066125
169.0,302.417,5.066156
170.0,302.475001,5.066125
171.0,302.534001,5.066062
172.0,302.595999,5.066
173.0,302.657999,5.065906
174.0,302.719,5.065875
175.0,302.779999,5.065781
176.0,302.843001,5.065719
177.0,302.909001,5.065656
178.0,302.973,5.065563
179.0,303.038,5.0655
180.0,303.104,5.065531
181.0,303.17,5.065531
182.0,303.234999,5.0655
183.0,303.300999,5.065469
184.0,303.368,5.065406
185.0,303.439,5.065375
186.0,303.511,5.065312
187.0,303.581999,5.065219
188.0,303.659001,5.065156
189.0,303.730999,5.065156
190.0,303.803,5.065125
191.0,303.874001,5.065031
192.0,303.945,5.064875
193.0,304.018,5.064719
194.0,304.091999,5.064656
195.0,304.168999,5.064688
196.0,304.244,5.064688
197.0,304.317,5.064625
198.0,304.390999,5.0645
199.0,304.470999,5.064406
200.0,304.558001,5.064344
201.0,304.638001,5.064344
202.0,304.722001,5.064375
203.0,304.8,5.064344
204.0,304.876,5.06425
205.0,304.949999,5.064094
206.0,305.028,5.064
207.0,305.112,5.063969
208.0,305.194998,5.063938
209.0,305.279002,5.063906
210.0,305.360999,5.063844
211.0,305.443999,5.063781
212.0,305.525999,5.063656
213.0,305.607001,5.063562
214.0,305.689001,5.0635
215.0,305.769999,5.063406
216.0,305.858,5.063313
217.0,305.948,5.06325
218.0,306.036002,5.063188
219.0,306.122,5.063094
220.0,306.205,5.063031
221.0,306.290999,5.062969
222.0,306.380999,5.062906
223.0,306.470999,5.062906
224.0,306.562998,5.062875
225.0,306.656001,5.062812
226.0,306.746001,5.062719
227.0,306.838999,5.062594
228.0,306.929999,5.062531
229.0,307.020998,5.062531
230.0,307.113001,5.062469
231.0,307.208998,5.062406
232.0,307.304999,5.062313
233.0,307.4,5.06225
234.0,307.494002,5.062188
235.0,307.588999,5.062125
236.0,307.686999,5.062062
237.0,307.782,5.061969
238.0,307.873999,5.061875
239.0,307.967001,5.061781
240.0,308.062998,5.061656
241.0,308.159998,5.061531
242.0,308.260001,5.061375
243.0,308.359999,5.061281
244.0,308.462,5.061187
245.0,308.561999,5.061062
246.0,308.659998,5.060937
247.0,308.759001,5.060812
248.0,308.858,5.060688
249.0,308.961001,5.060625
250.0,309.062998,5.060563
251.0,309.165999,5.060469
252.0,309.269999,5.060344
253.0,309.373,5.060219
254.0,309.475001,5.060094
255.0,309.575999,5.06
256.0,309.677,5.059937
257.0,309.779002,5.059875
258.0,309.884001,5.059781
259.0,309.991999,5.059656
260.0,310.095999,5.059469
261.0,310.199999,5.059281
262.0,310.302,5.059125
263.0,310.407999,5.058969
264.0,310.513998,5.058781
265.0,310.623999,5.058625
266.0,310.730002,5.058469
267.0,310.836001,5.058375
268.0,310.939001,5.058281
269.0,311.045,5.058187
270.0,311.156001,5.058063
271.0,311.270998,5.057906
272.0,311.38,5.057719
273.0,311.487002,5.0575
274.0,311.594,5.057344
275.0,311.703001,5.057219
276.0,311.816,5.057094
277.0,311.926001,5.056969
278.0,312.037001,5.056781
279.0,312.154002,5.056719
280.0,312.270998,5.056656
281.0,312.381998,5.056562
282.0,312.491999,5.056469
283.0,312.599001,5.056344
284.0,312.713,5.056219
285.0,312.826998,5.056125
286.0,312.937998,5.055937
287.0,313.048998,5.055719
288.0,313.164999,5.055469
289.0,313.279002,5.055188
290.0,313.393,5.055031
291.0,313.506998,5.054906
292.0,313.619002,5.054781
293.0,313.732001,5.054625
294.0,313.846999,5.054469
295.0,313.963,5.054344
296.0,314.08,5.054219
297.0,314.199,5.054125
298.0,314.317999,5.053969
299.0,314.436999,5.053844
300.0,314.553,5.053688
301.0,314.671,5.053531
302.0,314.789,5.053375
303.0,314.911002,5.05325
304.0,315.031001,5.053125
305.0,315.150999,5.052906
306.0,315.272002,5.052688
307.0,315.393,5.052531
308.0,315.512999,5.052406
309.0,315.633002,5.052219
310.0,315.753001,5.052
311.0,315.877001,5.051781
312.0,315.999998,5.051625
313.0,316.122,5.051437
314.0,316.245001,5.05125
315.0,316.366,5.051063
316.0,316.49,5.050906
317.0,316.609,5.05075
318.0,316.732001,5.050594
319.0,316.853999,5.050437
320.0,316.976,5.050219
321.0,317.099001,5.05
322.0,317.223002,5.049812
323.0,317.345,5.049562
324.0,317.466002,5.049281
