Time (s),Temperature (K),Mass (mg)
0.0,299.211001,5.030594
1.0,299.206,5.030562
2.0,299.199,5.030562
3.0,299.199,5.030531
4.0,299.202,5.030562
5.0,299.208001,5.030562
6.0,299.209999,5.030562
7.0,299.206,5.030531
8.0,299.201001,5.0305
9.0,299.198,5.030437
10.0,299.195,5.030344
11.0,299.194001,5.030219
12.0,299.192999,5.030156
13.0,299.192999,5.030063
14.0,299.192999,5.03
15.0,299.192,5.029906
16.0,299.191,5.029875
17.0,299.191,5.029875
18.0,299.195,5.029875
19.0,299.198,5.029844
20.0,299.198,5.029844
21.0,299.195,5.029844
22.0,299.191,5.029812
23.0,299.187001,5.029781
24.0,299.189,5.029719
25.0,299.191,5.02975
26.0,299.195,5.029719
27.0,299.197001,5.029687
28.0,299.198,5.029687
29.0,299.198,5.029687
30.0,299.199,5.02975
31.0,299.196,5.029812
32.0,299.192999,5.029906
33.0,299.192,5.029969
34.0,299.192999,5.029969
35.0,299.198,5.029937
36.0,299.204001,5.029875
37.0,299.204001,5.029844
38.0,299.204001,5.029844
39.0,299.205,5.029844
40.0,299.205,5.029781
41.0,299.205,5.02975
42.0,299.206,5.029719
43.0,299.211001,5.029719
44.0,299.211001,5.029687
45.0,299.216,5.02975
46.0,299.219,5.029812
47.0,299.220999,5.029844
48.0,299.222001,5.029812
49.0,299.220999,5.02975
50.0,299.22,5.029719
51.0,299.22,5.029719
52.0,299.22,5.029656
53.0,299.22,5.029594
54.0,299.222001,5.029531
55.0,299.226,5.0295
56.0,299.230999,5.0295
57.0,299.237999,5.0295
58.0,299.246001,5.029562
59.0,299.251,5.029625
60.0,299.257,5.029656
61.0,299.258999,5.029656
62.0,299.263001,5.029625
63.0,299.271,5.029531
64.0,299.279,5.029438
65.0,299.285,5.029406
66.0,299.288,5.029375
67.0,299.293,5.029469
68.0,299.299,5.029469
69.0,299.312001,5.029469
70.0,299.317,5.029438
71.0,299.327,5.029469
72.0,299.334,5.029531
73.0,299.344,5.029562
74.0,299.352999,5.0295
75.0,299.361,5.029438
76.0,299.366999,5.029406
77.0,299.378001,5.029406
78.0,299.39,5.029438
79.0,299.402001,5.029469
80.0,299.414,5.029469
81.0,299.427,5.0295
82.0,299.439,5.029562
83.0,299.452,5.029594
84.0,299.468001,5.029562
85.0,299.486,5.0295
86.0,299.503001,5.029438
87.0,299.515999,5.029344
88.0,299.534001,5.029313
89.0,299.546999,5.029313
90.0,299.559,5.029406
91.0,299.574,5.029469
92.0,299.594,5.029531
93.0,299.612,5.029562
94.0,299.629,5.029531
95.0,299.645001,5.029531
96.0,299.663,5.029562
97.0,299.683001,5.029625
98.0,299.702999,5.02975
99.0,299.722001,5.029812
100.0,299.74,5.029906
101.0,299.758999,5.029906
102.0,299.778,5.029906
103.0,299.799,5.029969
104.0,299.823,5.030063
105.0,299.848,5.030094
106.0,299.872,5.030094
107.0,299.897999,5.03
108.0,299.925999,5.029969
109.0,299.951001,5.029969
110.0,299.977999,5.030031
111.0,300.004,5.030125
112.0,300.031001,5.030219
113.0,300.055001,5.030281
114.0,300.081999,5.030344
115.0,300.111,5.030313
116.0,300.139,5.030219
117.0,300.173001,5.030063
118.0,300.208001,5.029937
119.0,300.239001,5.029844
120.0,300.268,5.029781
121.0,300.295,5.029781
122.0,300.327999,5.02975
123.0,300.364001,5.02975
124.0,300.400999,5.029719
125.0,300.439,5.02975
126.0,300.473,5.029781
127.0,300.508999,5.029812
128.0,300.545,5.029781
129.0,300.577999,5.029781
130.0,300.612999,5.029781
131.0,300.649001,5.029781
132.0,300.691,5.02975
133.0,300.727999,5.029781
134.0,300.768,5.029781
135.0,300.809,5.029844
136.0,300.852,5.029844
137.0,300.897,5.029844
138.0,300.939,5.029781
139.0,300.982001,5.02975
140.0,301.025,5.029687
141.0,301.067999,5.029687
142.0,301.112999,5.029687
143.0,301.16,5.029687
144.0,301.206,5.029719
145.0,301.254,5.029687
146.0,301.303,5.029656
147.0,301.350001,5.029625
148.0,301.393999,5.029594
149.0,301.442,5.029594
150.0,301.487,5.029656
151.0,301.536999,5.029719
152.0,301.587,5.029781
153.0,301.642001,5.029812
154.0,301.698,5.029844
155.0,301.753001,5.029875
156.0,301.803999,5.029937
157.0,301.858,5.029969
158.0,301.913,5.029969
159.0,301.97,5.029937
160.0,302.025,5.029875
161.0,302.084,5.029812
162.0,302.139,5.029781
163.0,302.195,5.02975
164.0,302.25,5.029781
165.0,302.306,5.029812
166.0,302.364001,5.029844
167.0,302.421999,5.029844
168.0,302.477999,5.029781
169.0,302.536,5.029687
170.0,302.597001,5.029594
171.0,302.664999,5.029594
172.0,302.733,5.029625
173.0,302.8,5.029687
174.0,302.865,5.029687
175.0,302.928999,5.029656
176.0,302.991999,5.029594
177.0,303.053,5.029531
178.0,303.116999,5.029469
179.0,303.189,5.029406
180.0,303.258999,5.029375
181.0,303.33,5.029375
182.0,303.4,5.029375
183.0,303.468001,5.029344
184.0,303.539,5.029281
185.0,303.612999,5.02925
186.0,303.687001,5.029219
187.0,303.757,5.029219
188.0,303.826001,5.029219
189.0,303.895001,5.029219
190.0,303.966,5.029281
191.0,304.036,5.029344
192.0,304.109,5.029438
193.0,304.185,5.029469
194.0,304.262,5.029438
195.0,304.338,5.029375
196.0,304.414,5.029281
197.0,304.489001,5.029219
198.0,304.567,5.029219
199.0,304.643,5.02925
200.0,304.718001,5.02925
201.0,304.795,5.029219
202.0,304.871001,5.029156
203.0,304.952999,5.029125
204.0,305.034001,5.029094
205.0,305.116999,5.029125
206.0,305.198,5.029094
207.0,305.282,5.029062
208.0,305.364001,5.029062
209.0,305.449,5.029094
210.0,305.532,5.029156
211.0,305.617999,5.029188
212.0,305.699,5.029188
213.0,305.782999,5.029219
214.0,305.867999,5.029188
215.0,305.953001,5.029156
216.0,306.036002,5.029094
217.0,306.120001,5.029031
218.0,306.203001,5.029031
219.0,306.294001,5.029062
220.0,306.381998,5.029125
221.0,306.471999,5.029094
222.0,306.558001,5.029062
223.0,306.644999,5.029031
224.0,306.734999,5.029031
225.0,306.825999,5.028937
226.0,306.916998,5.028906
227.0,307.005,5.028844
228.0,307.095,5.028844
229.0,307.185,5.028812
230.0,307.280001,5.028812
231.0,307.376002,5.028812
232.0,307.469,5.028812
233.0,307.564001,5.028844
234.0,307.657,5.028844
235.0,307.751002,5.028844
236.0,307.844,5.028781
237.0,307.936999,5.028719
238.0,308.031001,5.028656
239.0,308.128001,5.028625
240.0,308.225001,5.028563
241.0,308.321001,5.0285
242.0,308.418002,5.028469
243.0,308.512999,5.028406
244.0,308.610999,5.028438
245.0,308.707999,5.028438
246.0,308.809,5.028438
247.0,308.908999,5.028406
248.0,309.012,5.028406
249.0,309.112002,5.028375
250.0,309.212,5.028344
251.0,309.308001,5.028281
252.0,309.407,5.02825
253.0,309.508002,5.028187
254.0,309.609,5.028156
255.0,309.713999,5.028094
256.0,309.819998,5.028031
257.0,309.926001,5.028
258.0,310.031001,5.028
259.0,310.135001,5.027969
260.0,310.24,5.027937
261.0,310.342001,5.027969
262.0,310.444998,5.027969
263.0,310.546999,5.027969
264.0,310.650999,5.027875
265.0,310.756998,5.027844
266.0,310.865,5.027812
267.0,310.970999,5.027812
268.0,311.08,5.027812
269.0,311.185999,5.027812
270.0,311.295,5.027781
271.0,311.406001,5.02775
272.0,311.518999,5.027656
273.0,311.629,5.027594
274.0,311.738001,5.027531
275.0,311.844,5.0275
276.0,311.950999,5.027531
277.0,312.06,5.027531
278.0,312.169001,5.027563
279.0,312.279002,5.027563
280.0,312.391001,5.027563
281.0,312.505,5.027563
282.0,312.614001,5.027531
283.0,312.727999,5.027438
284.0,312.838,5.027375
285.0,312.949,5.027312
286.0,313.06,5.027281
287.0,313.171,5.027312
288.0,313.288,5.027344
289.0,313.406001,5.027281
290.0,313.522002,5.027219
291.0,313.637999,5.027094
292.0,313.749998,5.027031
293.0,313.865,5.027031
294.0,313.980002,5.027062
295.0,314.095,5.027062
296.0,314.214999,5.027062
297.0,314.332999,5.027281
298.0,314.449,5.027719
299.0,314.565001,5.028062
