Time (s),Temperature (K),Mass (mg)
0,299,5.0282
88,299.5,5.0312
126,300,5.0315
144,300.5,5.0312
158,301,5.0312
169,301.5,5.0312
178,302,5.031
187,302.5,5.0308
195,303,5.0308
203,303.5,5.0304
210,304,5.0302
216,304.5,5.03
223,305,5.0295
229,305.5,5.029
235,306,5.0288
240,306.5,5.0286
246,307,5.0283
251,307.5,5.0278
256,308,5.0275
261,308.5,5.027
266,309,5.0265
271,309.5,5.0259
276,310,5.0255
281,310.5,5.0252
285,311,5.0247
290,311.5,5.024
294,312,5.0236
299,312.5,5.0229
303,313,5.0223
307,313.5,5.022
312,314,5.0212
316,314.5,5.0206
320,315,5.0198
324,315.5,5.0194
328,316,5.0187
332,316.5,5.018
336,317,5.0173
340,317.5,5.0164
344,318,5.0154
348,318.5,5.0146
352,319,5.0138
356,319.5,5.0129
360,320,5.0119
364,320.5,5.011
368,321,5.0101
371,321.5,5.0094
375,322,5.0084
379,322.5,5.0074
383,323,5.0064
386,323.5,5.0057
390,324,5.0047
394,324.5,5.0034
397,325,5.0025
401,325.5,5.0014
405,326,5.0002
408,326.5,4.9994
412,327,4.9982
416,327.5,4.997
419,328,4.996
423,328.5,4.9947
426,329,4.9938
430,329.5,4.9925
433,330,4.9914
437,330.5,4.9902
440,331,4.9892
444,331.5,4.9878
448,332,4.9863
451,332.5,4.9852
455,333,4.9841
458,333.5,4.983
462,334,4.9814
465,334.5,4.9803
468,335,4.9793
472,335.5,4.9778
475,336,4.9766
479,336.5,4.9754
482,337,4.9742
486,337.5,4.9728
489,338,4.9716
492,338.5,4.9705
496,339,4.969
499,339.5,4.968
503,340,4.9665
506,340.5,4.9656
510,341,4.964
513,341.5,4.9629
516,342,4.9619
520,342.5,4.9607
523,343,4.9595
526,343.5,4.9585
530,344,4.9574
533,344.5,4.9564
536,345,4.9555
540,345.5,4.9542
543,346,4.9532
546,346.5,4.9523
550,347,4.9512
553,347.5,4.9502
556,348,4.9493
560,348.5,4.9481
563,349,4.9472
566,349.5,4.9462
570,350,4.945
573,350.5,4.9442
576,351,4.9433
580,351.5,4.9422
583,352,4.9417
586,352.5,4.9408
589,353,4.9399
593,353.5,4.939
596,354,4.9383
599,354.5,4.9375
602,355,4.9367
606,355.5,4.9356
609,356,4.935
612,356.5,4.9345
616,357,4.9337
619,357.5,4.9332
622,358,4.9327
626,358.5,4.9316
629,359,4.931
632,359.5,4.9305
635,360,4.93
639,360.5,4.9293
642,361,4.9288
645,361.5,4.9282
648,362,4.9278
652,362.5,4.9269
655,363,4.9264
658,363.5,4.926
661,364,4.9255
665,364.5,4.9248
668,365,4.9245
671,365.5,4.9243
674,366,4.924
678,366.5,4.9234
681,367,4.9233
684,367.5,4.9229
687,368,4.9227
691,368.5,4.9222
694,369,4.9219
697,369.5,4.9216
700,370,4.9213
704,370.5,4.9213
707,371,4.9209
710,371.5,4.9207
713,372,4.9203
717,372.5,4.9199
720,373,4.9196
723,373.5,4.9194
726,374,4.9193
730,374.5,4.9189
733,375,4.9187
736,375.5,4.9185
739,376,4.9183
743,376.5,4.9181
746,377,4.9179
749,377.5,4.9177
752,378,4.9176
756,378.5,4.9175
759,379,4.9174
762,379.5,4.9171
765,380,4.9169
769,380.5,4.9166
772,381,4.9165
775,381.5,4.9163
778,382,4.9161
782,382.5,4.9158
785,383,4.9158
788,383.5,4.9157
791,384,4.9156
795,384.5,4.9154
798,385,4.9154
801,385.5,4.9154
804,386,4.9152
808,386.5,4.9149
811,387,4.9147
814,387.5,4.9147
817,388,4.9145
821,388.5,4.9143
824,389,4.9142
827,389.5,4.9139
830,390,4.9139
833,390.5,4.9137
837,391,4.9136
840,391.5,4.9134
843,392,4.9134
847,392.5,4.9134
850,393,4.9132
853,393.5,4.9129
856,394,4.9126
860,394.5,4.9125
863,395,4.9125
866,395.5,4.9122
869,396,4.9121
873,396.5,4.912
876,397,4.9118
879,397.5,4.9117
882,398,4.9115
885,398.5,4.9112
889,399,4.911
892,399.5,4.9109
895,400,4.9108
898,400.5,4.9105
902,401,4.9104
905,401.5,4.9103
908,402,4.9102
911,402.5,4.9099
915,403,4.9098
918,403.5,4.9097
921,404,4.9097
924,404.5,4.9094
927,405,4.9093
931,405.5,4.9092
934,406,4.909
937,406.5,4.9088
940,407,4.9085
944,407.5,4.9085
947,408,4.9083
950,408.5,4.908
953,409,4.9078
956,409.5,4.9078
960,410,4.9073
963,410.5,4.9071
966,411,4.907
969,411.5,4.9071
973,412,4.9066
976,412.5,4.9064
979,413,4.9062
982,413.5,4.9061
985,414,4.9059
989,414.5,4.9056
992,415,4.9052
995,415.5,4.905
998,416,4.9048
1002,416.5,4.9046
1005,417,4.9044
1008,417.5,4.9044
1011,418,4.9039
1014,418.5,4.9035
1018,419,4.9032
1021,419.5,4.9031
1024,420,4.9029
1027,420.5,4.9026
1030,421,4.9022
1034,421.5,4.9018
1037,422,4.9017
1040,422.5,4.9013
1043,423,4.9012
1046,423.5,4.9008
1050,424,4.9005
1053,424.5,4.9003
1056,425,4.9001
1059,425.5,4.8999
1063,426,4.8995
1066,426.5,4.8992
1069,427,4.8989
1072,427.5,4.8987
1075,428,4.8985
1079,428.5,4.8979
1082,429,4.8976
1085,429.5,4.8972
1088,430,4.8969
1091,430.5,4.8968
1094,431,4.8964
1098,431.5,4.8961
1101,432,4.8956
1104,432.5,4.8953
1107,433,4.895
1110,433.5,4.8947
1114,434,4.8943
1117,434.5,4.894
1120,435,4.8935
1123,435.5,4.8932
1126,436,4.8928
1129,436.5,4.8926
1133,437,4.8921
1136,437.5,4.8919
1139,438,4.8916
1142,438.5,4.8912
1145,439,4.8908
1149,439.5,4.8901
1152,440,4.8896
1155,440.5,4.8892
1158,441,4.889
1161,441.5,4.8885
1164,442,4.8879
1168,442.5,4.8874
1171,443,4.8869
1174,443.5,4.8864
1177,444,4.8859
1180,444.5,4.8855
1184,445,4.8848
1187,445.5,4.8844
1190,446,4.884
1193,446.5,4.8833
1196,447,4.8827
1199,447.5,4.8823
1203,448,4.8815
1206,448.5,4.8812
1209,449,4.8806
1212,449.5,4.88
1215,450,4.8795
1218,450.5,4.8789
1222,451,4.8782
1225,451.5,4.8777
1228,452,4.8769
1231,452.5,4.8764
1234,453,4.8759
1237,453.5,4.8752
1241,454,4.8745
1244,454.5,4.8738
1247,455,4.873
1250,455.5,4.8724
1253,456,4.8717
1256,456.5,4.8709
1260,457,4.8699
1263,457.5,4.8692
1266,458,4.8683
1269,458.5,4.8676
1272,459,4.8669
1275,459.5,4.8663
1278,460,4.8656
1282,460.5,4.8646
1285,461,4.8637
1288,461.5,4.8628
1291,462,4.8621
1294,462.5,4.8612
1297,463,4.8603
1301,463.5,4.8591
1304,464,4.8582
1307,464.5,4.8574
1310,465,4.8566
1313,465.5,4.8557
1316,466,4.8548
1319,466.5,4.8538
1323,467,4.8526
1326,467.5,4.8517
1329,468,4.8508
1332,468.5,4.8497
1335,469,4.8486
1338,469.5,4.8476
1341,470,4.8467
1345,470.5,4.845
1348,471,4.844
1351,471.5,4.843
1354,472,4.8419
1357,472.5,4.8406
1360,473,4.8396
1363,473.5,4.8385
1367,474,4.837
1370,474.5,4.8359
1373,475,4.8347
1376,475.5,4.8333
1379,476,4.8322
1382,476.5,4.8312
1385,477,4.8298
1389,477.5,4.8282
1392,478,4.8269
1395,478.5,4.8257
1398,479,4.8243
1401,479.5,4.823
1404,480,4.8215
1407,480.5,4.8201
1410,481,4.8188
1414,481.5,4.8168
1417,482,4.8154
1420,482.5,4.814
1423,483,4.8125
1426,483.5,4.8111
1429,484,4.8097
1432,484.5,4.8081
1436,485,4.806
1439,485.5,4.8044
1442,486,4.8029
1445,486.5,4.8013
1448,487,4.8001
1451,487.5,4.7985
1454,488,4.7968
1457,488.5,4.795
1461,489,4.7931
1464,489.5,4.7912
1467,490,4.7893
1470,490.5,4.7878
1473,491,4.786
1476,491.5,4.7842
1479,492,4.7827
1482,492.5,4.7811
1486,493,4.7786
1489,493.5,4.7768
1492,494,4.775
1495,494.5,4.7731
1498,495,4.7711
1501,495.5,4.7692
1504,496,4.7673
1507,496.5,4.7653
1511,497,4.7626
1514,497.5,4.7608
1517,498,4.7587
1520,498.5,4.7565
1523,499,4.7546
1526,499.5,4.7523
1529,500,4.7502
1532,500.5,4.7483
1536,501,4.7455
1539,501.5,4.743
1542,502,4.7405
1545,502.5,4.7385
1548,503,4.7362
1551,503.5,4.7338
1554,504,4.7313
1557,504.5,4.729
1560,505,4.7267
1564,505.5,4.7235
1567,506,4.7211
1570,506.5,4.7185
1573,507,4.7158
1576,507.5,4.7133
1579,508,4.7107
1582,508.5,4.7078
1585,509,4.7053
1588,509.5,4.7024
1592,510,4.6986
1595,510.5,4.6959
1598,511,4.693
1601,511.5,4.6902
1604,512,4.6874
1607,512.5,4.6845
1610,513,4.6814
1613,513.5,4.6783
1616,514,4.675
1620,514.5,4.6709
1623,515,4.6677
1626,515.5,4.6644
1629,516,4.6611
1632,516.5,4.6578
1635,517,4.6545
1638,517.5,4.6509
1641,518,4.6475
1644,518.5,4.644
1648,519,4.6391
1651,519.5,4.6355
1654,520,4.6319
1657,520.5,4.6282
1660,521,4.6245
1663,521.5,4.6208
1666,522,4.6171
1669,522.5,4.6134
1672,523,4.6094
1676,523.5,4.6041
1679,524,4.6001
1682,524.5,4.5962
1685,525,4.5921
1688,525.5,4.5879
1691,526,4.584
1694,526.5,4.5798
1697,527,4.5757
1700,527.5,4.5716
1704,528,4.566
1707,528.5,4.5615
1710,529,4.5571
1713,529.5,4.5529
1716,530,4.5483
1719,530.5,4.5438
1722,531,4.5392
1725,531.5,4.5347
1729,532,4.5286
1732,532.5,4.5238
1735,533,4.5192
1738,533.5,4.5145
1741,534,4.5096
1744,534.5,4.5045
1747,535,4.4998
1750,535.5,4.495
1753,536,4.4901
1756,536.5,4.4852
1760,537,4.4785
1763,537.5,4.4735
1766,538,4.4683
1769,538.5,4.4631
1772,539,4.4577
1775,539.5,4.4524
1778,540,4.4471
1781,540.5,4.4418
1785,541,4.4344
1788,541.5,4.4289
1791,542,4.4235
1794,542.5,4.4181
1797,543,4.4124
1800,543.5,4.4068
1803,544,4.4009
1806,544.5,4.395
1809,545,4.3891
1812,545.5,4.3833
1816,546,4.3756
1819,546.5,4.3696
1822,547,4.3634
1825,547.5,4.3572
1828,548,4.3508
1831,548.5,4.3448
1834,549,4.3384
1837,549.5,4.3322
1840,550,4.3257
1844,550.5,4.3173
1847,551,4.3109
1850,551.5,4.3045
1853,552,4.298
1856,552.5,4.2914
1859,553,4.2848
1862,553.5,4.2782
1865,554,4.2716
1868,554.5,4.2647
1872,555,4.2556
1875,555.5,4.2488
1878,556,4.2418
1881,556.5,4.2349
1884,557,4.2278
1887,557.5,4.2206
1890,558,4.2135
1893,558.5,4.2065
1896,559,4.1992
1900,559.5,4.1897
1903,560,4.1822
1906,560.5,4.1748
1909,561,4.1673
1912,561.5,4.1599
1915,562,4.1524
1918,562.5,4.1449
1921,563,4.1373
1924,563.5,4.1296
1928,564,4.1192
1931,564.5,4.1116
1934,565,4.1039
1937,565.5,4.0962
1940,566,4.0881
1943,566.5,4.08
1946,567,4.072
1949,567.5,4.0639
1952,568,4.0557
1956,568.5,4.0446
1959,569,4.0363
1962,569.5,4.0281
1965,570,4.0198
1968,570.5,4.0109
1971,571,4.0025
1974,571.5,3.9938
1977,572,3.9852
1980,572.5,3.9764
1984,573,3.9648
1987,573.5,3.9559
1990,574,3.9471
1993,574.5,3.938
1996,575,3.9293
1999,575.5,3.9201
2002,576,3.9108
2005,576.5,3.9014
2008,577,3.8919
2012,577.5,3.8794
2015,578,3.8697
2018,578.5,3.86
2021,579,3.8502
2024,579.5,3.8404
2027,580,3.8304
2030,580.5,3.8204
2034,581,3.8072
2037,581.5,3.797
2040,582,3.7867
2043,582.5,3.7762
2046,583,3.7657
2049,583.5,3.7552
2052,584,3.7446
2055,584.5,3.7339
2058,585,3.7232
