Time (s),Temperature (K),Mass (mg)
0.0,299.8,14.89
2.2,300.3,14.9
4.5,300.8,14.9
6.7,301.3,14.9
8.9,301.8,14.9
11.1,302.3,14.9
13.4,302.8,14.9
15.6,303.3,14.91
17.8,303.8,14.91
20.0,304.3,14.92
22.2,304.8,14.92
24.4,305.3,14.92
26.6,305.8,14.93
28.8,306.3,14.93
31.0,306.8,14.93
33.2,307.3,14.94
35.4,307.8,14.95
37.6,308.3,14.95
39.8,308.8,14.95
42.0,309.3,14.96
44.2,309.8,14.97
46.3,310.3,14.97
48.5,310.8,14.98
50.7,311.3,14.99
52.9,311.8,14.99
55.0,312.3,14.99
57.2,312.8,15.0
59.3,313.3,15.01
61.5,313.8,15.02
63.7,314.3,15.02
65.8,314.8,15.03
68.0,315.3,15.04
70.1,315.8,15.04
72.3,316.3,15.05
74.4,316.8,15.06
76.5,317.3,15.07
78.7,317.8,15.07
80.8,318.3,15.08
83.0,318.8,15.09
85.1,319.3,15.09
87.2,319.8,15.1
89.3,320.3,15.11
91.5,320.8,15.12
93.6,321.3,15.13
95.7,321.8,15.14
97.8,322.3,15.15
99.9,322.8,15.15
102.0,323.3,15.16
104.1,323.8,15.17
106.3,324.3,15.17
108.4,324.8,15.18
110.5,325.3,15.19
112.6,325.8,15.2
114.7,326.3,15.21
116.7,326.8,15.22
118.8,327.3,15.23
120.9,327.8,15.23
123.0,328.3,15.24
125.1,328.8,15.25
127.2,329.3,15.25
129.3,329.8,15.26
131.3,330.3,15.28
133.4,330.8,15.28
135.5,331.3,15.29
137.6,331.8,15.3
139.6,332.3,15.31
141.7,332.8,15.31
143.8,333.3,15.32
145.8,333.8,15.33
147.9,334.3,15.33
149.9,334.8,15.34
152.0,335.3,15.35
154.1,335.8,15.36
156.1,336.3,15.37
158.2,336.8,15.38
160.2,337.3,15.38
162.3,337.8,15.39
164.3,338.3,15.4
166.3,338.8,15.4
168.4,339.3,15.41
170.4,339.8,15.42
172.5,340.3,15.42
174.5,340.8,15.43
176.5,341.3,15.44
178.5,341.8,15.44
180.6,342.3,15.44
182.6,342.8,15.45
184.6,343.3,15.46
186.6,343.8,15.46
188.7,344.3,15.47
190.7,344.8,15.47
192.7,345.3,15.47
194.7,345.8,15.48
196.7,346.3,15.48
198.7,346.8,15.48
200.7,347.3,15.49
202.7,347.8,15.5
204.7,348.3,15.5
206.8,348.8,15.5
208.8,349.3,15.51
210.7,349.8,15.51
212.7,350.3,15.51
214.7,350.8,15.52
216.7,351.3,15.52
218.7,351.8,15.52
220.7,352.3,15.52
222.7,352.8,15.52
224.7,353.3,15.53
226.7,353.8,15.53
228.7,354.3,15.53
230.6,354.8,15.53
232.6,355.3,15.53
234.6,355.8,15.53
236.6,356.3,15.54
238.5,356.8,15.54
240.5,357.3,15.54
242.5,357.8,15.54
244.4,358.3,15.54
246.4,358.8,15.54
248.4,359.3,15.54
250.3,359.8,15.54
252.3,360.3,15.54
254.3,360.8,15.54
256.2,361.3,15.54
258.2,361.8,15.54
260.1,362.3,15.54
262.1,362.8,15.54
264.0,363.3,15.54
266.0,363.8,15.54
267.9,364.3,15.54
269.9,364.8,15.53
271.8,365.3,15.53
273.7,365.8,15.53
275.7,366.3,15.53
277.6,366.8,15.53
279.6,367.3,15.53
281.5,367.8,15.53
283.4,368.3,15.53
285.4,368.8,15.53
287.3,369.3,15.52
289.2,369.8,15.52
291.2,370.3,15.52
293.1,370.8,15.52
295.0,371.3,15.52
296.9,371.8,15.52
298.9,372.3,15.51
300.8,372.8,15.51
302.7,373.3,15.51
304.6,373.8,15.51
306.5,374.3,15.51
308.4,374.8,15.51
310.4,375.3,15.51
312.3,375.8,15.5
314.2,376.3,15.5
316.1,376.8,15.5
318.0,377.3,15.5
319.9,377.8,15.5
321.8,378.3,15.5
323.7,378.8,15.49
325.6,379.3,15.49
327.5,379.8,15.49
329.4,380.3,15.49
331.3,380.8,15.49
333.2,381.3,15.49
335.1,381.8,15.49
337.0,382.3,15.49
338.9,382.8,15.48
340.7,383.3,15.48
342.6,383.8,15.48
344.5,384.3,15.48
346.4,384.8,15.48
348.3,385.3,15.47
350.2,385.8,15.47
352.1,386.3,15.47
353.9,386.8,15.47
355.8,387.3,15.47
357.7,387.8,15.47
359.6,388.3,15.46
361.4,388.8,15.46
363.3,389.3,15.46
365.2,389.8,15.46
367.1,390.3,15.46
368.9,390.8,15.45
370.8,391.3,15.45
372.7,391.8,15.45
374.5,392.3,15.45
376.4,392.8,15.45
378.2,393.3,15.45
380.1,393.8,15.44
382.0,394.3,15.44
383.8,394.8,15.44
385.7,395.3,15.44
387.5,395.8,15.44
389.4,396.3,15.44
391.2,396.8,15.44
393.1,397.3,15.43
394.9,397.8,15.43
396.8,398.3,15.43
398.6,398.8,15.43
400.5,399.3,15.43
402.3,399.8,15.43
404.2,400.3,15.42
406.0,400.8,15.42
407.9,401.3,15.42
409.7,401.8,15.42
411.5,402.3,15.42
413.4,402.8,15.41
415.2,403.3,15.41
417.0,403.8,15.41
418.9,404.3,15.41
420.7,404.8,15.41
422.5,405.3,15.41
424.4,405.8,15.41
426.2,406.3,15.4
428.0,406.8,15.4
429.9,407.3,15.4
431.7,407.8,15.4
433.5,408.3,15.39
435.3,408.8,15.39
437.2,409.3,15.39
439.0,409.8,15.39
440.8,410.3,15.39
442.6,410.8,15.39
444.4,411.3,15.39
446.3,411.8,15.38
448.1,412.3,15.38
449.9,412.8,15.38
451.7,413.3,15.38
453.5,413.8,15.38
455.3,414.3,15.38
457.1,414.8,15.38
458.9,415.3,15.38
460.7,415.8,15.37
462.6,416.3,15.37
464.4,416.8,15.37
466.2,417.3,15.37
468.0,417.8,15.37
469.8,418.3,15.36
471.6,418.8,15.36
473.4,419.3,15.36
475.2,419.8,15.36
477.0,420.3,15.35
478.8,420.8,15.35
480.6,421.3,15.35
482.4,421.8,15.35
484.2,422.3,15.35
485.9,422.8,15.35
487.7,423.3,15.34
489.5,423.8,15.34
491.3,424.3,15.34
493.1,424.8,15.34
494.9,425.3,15.33
496.7,425.8,15.33
498.5,426.3,15.33
500.3,426.8,15.33
502.0,427.3,15.33
503.8,427.8,15.32
505.6,428.3,15.32
507.4,428.8,15.32
509.2,429.3,15.32
510.9,429.8,15.32
512.7,430.3,15.31
514.5,430.8,15.31
516.3,431.3,15.31
518.0,431.8,15.31
519.8,432.3,15.31
521.6,432.8,15.3
523.4,433.3,15.3
525.1,433.8,15.3
526.9,434.3,15.3
528.7,434.8,15.3
530.4,435.3,15.29
532.2,435.8,15.29
534.0,436.3,15.29
535.7,436.8,15.29
537.5,437.3,15.29
539.3,437.8,15.28
541.0,438.3,15.28
542.8,438.8,15.28
544.5,439.3,15.28
546.3,439.8,15.28
548.1,440.3,15.28
549.8,440.8,15.28
551.6,441.3,15.27
553.3,441.8,15.27
555.1,442.3,15.27
556.8,442.8,15.27
558.6,443.3,15.27
560.3,443.8,15.26
562.1,444.3,15.26
563.8,444.8,15.26
565.6,445.3,15.26
567.3,445.8,15.26
569.1,446.3,15.25
570.8,446.8,15.25
572.6,447.3,15.25
574.3,447.8,15.25
576.1,448.3,15.25
577.8,448.8,15.24
579.6,449.3,15.24
581.3,449.8,15.24
