Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,110.9,4,299.922
1,110.86,3.3,299.888
2,110.89,3.6,304.634
3,110.76,3.9,296.402
4,110.66,3.4,293.963
5,110.56,3.9,298.265
6,110.44,9.1,303.672
7,110.36,19.1,297.96
8,110.23,32.1,300.246
9,110.12,50.6,299.645
10,109.96,73.9,285.887
11,109.82,97.4,289.49
12,109.66,123.3,295.631
13,109.52,138,300.757
14,109.38,161.7,291.453
15,109.25,183,298.547
16,109.11,197.7,302.036
17,108.93,213.1,298.359
18,108.76,219.8,298.985
19,108.63,236,297.253
20,108.46,239.6,301.441
21,108.37,245.8,304.967
22,108.199,248.3,295.653
23,107.989,252.2,297.36
24,107.859,256.2,296.27
25,107.679,257.8,304.392
26,107.519,262.6,305.162
27,107.439,267.9,297.565
28,107.239,269.2,301.422
29,107.119,266.5,297.817
30,106.989,267,302.598
31,106.909,262.1,299.698
32,106.759,259.1,298.93
33,106.659,260.7,300.989
34,106.539,258.5,300.114
35,106.379,263.1,299.501
36,106.219,268.1,299.564
37,106.059,264.1,300.073
38,105.959,259.6,300.344
39,105.809,256.6,300.319
40,105.689,257.3,300.067
41,105.579,251.7,303.87
42,105.429,251.4,299.659
43,105.319,251.6,300.21
44,105.219,252.7,302.574
45,105.059,250.1,298.179
46,104.969,251.6,301.847
47,104.839,254.6,299.472
48,104.699,249.9,298.868
49,104.599,246.1,301.538
50,104.529,240.3,300.782
51,104.389,237.2,302.196
52,104.269,238.8,302.296
53,104.159,231.5,303.849
54,104.089,233.7,303.54
55,103.969,229.9,301.551
56,103.869,234.7,300.611
57,103.749,229.5,304.207
58,103.629,234.5,300.762
59,103.529,229.7,301.217
60,103.399,230.2,300.327
61,103.259,228.6,303.612
62,103.149,224.6,300.71
63,103.019,224.1,298.478
64,102.928,223.1,302.633
65,102.798,219.1,300.032
66,102.728,217.7,299.452
67,102.578,216.6,301.735
68,102.468,217.4,299.393
69,102.368,221.2,301.075
70,102.318,216.8,302.612
71,102.158,215.5,303.144
72,102.018,214.5,305.014
73,101.908,209,302.729
74,101.838,209.6,301.114
75,101.758,210.2,304.85
76,101.638,206.5,301.7
77,101.548,209.1,301.17
78,101.408,205.8,303.61
79,101.298,204.5,304.516
80,101.218,206.3,302.539
81,101.088,206.5,303.091
82,100.978,202.6,305.553
83,100.888,201.2,303.037
84,100.818,206.1,302.92
85,100.718,205.6,302.421
86,100.618,199.5,302.681
87,100.478,200.5,303.916
88,100.428,200,302.104
89,100.328,195.7,301.215
90,100.228,194.3,302.091
91,100.118,197,303.365
92,100.038,195.9,302.941
93,99.958,196.4,304.88
94,99.818,198.1,304.109
95,99.718,195.4,302.872
96,99.598,192.1,302.392
97,99.488,191.1,304.801
98,99.398,190.2,302.436
99,99.318,189,304.011
100,99.208,190,301.944
101,99.108,190.8,304.289
102,99.018,191.9,303.767
103,98.918,190.5,304.521
104,98.808,191.2,303.287
105,98.698,189.2,304.675
106,98.608,189.7,304.863
107,98.538,187.6,302.035
108,98.398,189.1,303.884
109,98.288,189.6,303.856
110,98.198,184.7,303.881
111,98.128,189,304.554
112,97.998,185.6,305.254
113,97.898,187.9,306.209
114,97.818,181,304.386
115,97.717,180.1,306.622
116,97.627,182.7,304.433
117,97.487,183.2,305.062
118,97.417,185.4,304.973
119,97.347,181,304.137
120,97.227,179.3,307.5
121,97.117,179.5,305.971
122,97.037,178.9,306.584
123,96.927,178.7,304.715
124,96.807,178.8,306.06
125,96.737,179.4,308.072
126,96.627,178.7,306.058
127,96.537,179.1,306.892
128,96.447,177.3,304.572
129,96.357,177.4,306.862
130,96.217,176.7,306.22
131,96.127,174.7,306.32
132,96.027,176.2,306.457
133,95.947,179.3,305.562
134,95.827,176.7,304.607
135,95.737,178.9,307.318
136,95.667,177.5,306.883
137,95.567,180.9,306.717
138,95.447,180.3,306.315
139,95.367,177.7,305.694
140,95.237,178.2,307.295
141,95.137,172.8,308.095
142,95.067,174.6,308.038
143,94.947,173.9,307.482
144,94.867,173.1,309.1
145,94.797,174.6,308.366
146,94.647,177.7,307.66
147,94.547,176.1,305.174
148,94.447,175.7,307.578
149,94.347,178.4,308.624
150,94.227,176.5,308
151,94.147,176.1,307.244
152,94.087,171.2,308.774
153,93.997,174.1,308.41
154,93.907,174.4,308.079
155,93.827,174.8,308.113
156,93.737,175,308.751
157,93.627,175.5,309.786
158,93.557,172.3,308.428
159,93.437,173.5,308.749
160,93.367,171,306.926
161,93.257,171.6,308.931
162,93.187,172.3,309.782
163,93.057,173.3,308.693
164,93.017,171.6,312.202
165,92.887,170.6,309.335
166,92.807,167.9,308.643
167,92.717,167.6,310.212
168,92.617,166,308.128
169,92.527,166.8,308.544
170,92.457,165.5,309.364
171,92.346,166.9,310.097
172,92.256,166.7,310.982
173,92.136,167,311.471
174,92.076,167,311.045
175,91.966,165.9,309.592
176,91.886,163.6,310.022
177,91.786,165.2,313.645
178,91.676,160.7,309.754
179,91.586,165.4,309.825
180,91.536,163.9,312.806
181,91.446,163.3,312.487
182,91.326,161.2,311.059
183,91.246,162.3,313.217
184,91.176,161.3,311.642
185,91.086,161.9,312.02
186,90.956,162.8,310.358
187,90.876,161.3,312.99
188,90.796,163.6,312.414
189,90.736,159,310.457
190,90.586,163.9,312.394
191,90.526,163.9,313.121
192,90.436,164,313.239
193,90.376,161.4,312.16
194,90.256,159.8,313.969
195,90.156,163.6,316.175
196,89.986,160,312.024
197,89.946,162.5,314.287
198,89.876,159.6,315.315
199,89.786,163,311.806
200,89.686,161.6,312.514
201,89.606,161.3,313.911
202,89.516,159.3,312.187
203,89.406,159.3,314.017
204,89.326,156.8,315.649
205,89.216,161.1,315.441
206,89.166,159.8,314.659
207,89.126,160.2,316.161
208,89.016,159,315.437
209,88.906,159.2,314.833
210,88.796,157.8,313.977
211,88.736,157.2,315.738
212,88.656,158,314.813
213,88.596,158.9,317.711
214,88.486,160.1,314.11
215,88.406,157.3,315.242
216,88.316,156.3,317.002
217,88.186,154.9,316.601
218,88.126,156.7,315.966
219,88.036,154.8,315.479
220,87.966,156.6,314.068
221,87.856,153.6,316.248
222,87.806,155.5,319.837
223,87.746,154.4,316.551
224,87.656,152.7,313.617
225,87.556,151.6,316.021
226,87.436,151.4,315.722
227,87.396,151.1,317.063
228,87.316,152.5,317.115
229,87.206,152,318.883
230,87.155,152.1,318.697
231,87.045,152.2,319.381
232,86.945,150.7,316.212
233,86.885,153,319.198
234,86.735,152.2,316.325
235,86.685,152.2,318.235
236,86.585,154.6,318.597
237,86.485,151.4,319.791
238,86.435,151.3,318.106
239,86.315,149.9,318.88
240,86.255,148.9,318.383
241,86.225,151.5,319.012
242,86.135,150.1,320.345
243,86.045,150.9,320.528
244,86.005,150.2,320.165
245,85.925,151.9,323.999
246,85.855,146.5,319.034
247,85.785,146.4,320.676
248,85.685,148.2,321.195
249,85.595,149.8,320.027
250,85.495,147.6,320.831
251,85.425,149.4,321.584
252,85.305,150.1,321.514
253,85.265,147.4,322.364
254,85.185,149,320.127
255,85.065,146.4,321.42
256,84.985,146.6,324.409
257,84.925,145.2,323.088
258,84.815,148.5,322.63
259,84.735,146.5,322.363
260,84.645,146.8,322.382
261,84.535,145.3,322.92
262,84.495,147.3,321.767
263,84.375,142.6,324.906
264,84.305,145.2,324.928
265,84.225,145.1,322.154
266,84.115,144.3,322.255
267,84.005,146.3,324.865
268,83.995,145.4,323.272
269,83.905,145.7,321.341
270,83.775,145.8,325.701
271,83.725,144.7,323.613
272,83.605,143.8,324.385
273,83.525,143.1,325.556
274,83.445,141.9,325.064
275,83.375,146.2,326.502
276,83.285,145.9,326.144
277,83.215,146.6,324.855
278,83.125,145.7,324.923
279,83.055,146.3,324.289
280,83.005,143.5,326.27
281,82.955,145.8,326.507
282,82.855,144.1,325.138
283,82.735,146.4,325.753
284,82.635,145.6,328.121
285,82.625,145.4,326.61
286,82.485,146.1,326.486
287,82.385,143.2,327.105
288,82.345,144.6,328.805
289,82.295,145.9,325.677
290,82.225,143,327.925
291,82.155,145.5,325.843
292,82.075,147,327.211
293,81.985,145.9,326.678
294,81.895,146.2,330.765
295,81.784,145.9,329.611
296,81.734,143.7,326.839
297,81.624,142.7,329.526
298,81.554,144.2,331.142
299,81.494,143.8,327.576
300,81.444,146.7,329.92
301,81.354,147.6,327.465
302,81.254,146.9,330.13
303,81.204,144.9,331.233
304,81.084,143,331.643
305,81.024,142.1,329.71
306,80.944,143.7,331.818
307,80.844,140,330.219
308,80.764,144,333.205
309,80.724,143.9,331.111
310,80.614,145.1,333.081
311,80.524,144.4,332.416
312,80.474,141,329.784
313,80.394,143.7,333.454
314,80.324,141.3,331.713
315,80.234,144.7,333.58
316,80.174,138.6,332.876
317,80.104,142.1,333.725
318,79.994,138.9,333.177
319,79.944,139.5,334.29
320,79.814,139.5,335.011
321,79.754,139.4,332.645
322,79.684,139.7,334.571
323,79.584,141.7,334.739
324,79.514,144.2,333.836
325,79.424,139.5,333.682
326,79.364,139.7,335.087
327,79.314,141.8,334.122
328,79.154,140.4,336.145
329,79.134,139.9,334.686
330,79.074,142.1,333.765
331,79.004,141.5,336.291
332,78.894,139.8,335.738
333,78.784,138.1,334.002
334,78.734,140.1,336.772
335,78.664,139.6,335.694
336,78.604,140.3,336.722
337,78.524,141.1,337.858
338,78.414,139.4,338.032
339,78.354,142.8,337.822
340,78.274,141.8,338.691
341,78.194,144.3,337.282
342,78.084,141.6,338.833
343,78.024,140.3,336.833
344,77.954,139.5,339.336
345,77.944,141.3,338.661
346,77.834,140.3,340.565
347,77.774,141.1,339.257
348,77.714,140.8,338.153
349,77.554,139.3,342.069
350,77.504,138.6,340.106
351,77.454,139.4,341.116
352,77.344,141.7,338.769
353,77.254,139.3,341.33
354,77.174,139.4,340.391
355,77.134,137.1,342.639
356,77.054,139.1,342.144
357,76.994,139.6,341.085
358,76.894,139.3,340.716
359,76.794,139.6,342.874
360,76.734,140.3,341.032
361,76.704,141.4,341.009
362,76.583,141.3,344.697
363,76.503,141.5,342.821
364,76.393,143.8,343.617
365,76.333,137.2,346.132
366,76.233,140.2,344.492
367,76.173,139.7,344.419
368,76.143,143.2,343.464
369,76.073,140.5,346.032
370,75.993,141.3,345.682
371,75.883,142.7,345.576
372,75.813,141.2,348.016
373,75.723,143.5,346.156
374,75.603,141.4,348.32
375,75.543,140.5,347.499
376,75.463,141.5,346.443
377,75.363,143.3,348.133
378,75.303,140.5,347.35
379,75.213,142.5,347.425
380,75.113,142.4,348.788
381,75.063,141.2,347.186
382,74.983,143.5,349.63
383,74.893,141.8,349.626
384,74.793,140.4,346.841
385,74.793,140.7,349.933
386,74.693,144.8,351.379
387,74.593,141.9,349.835
388,74.543,141.2,349.618
389,74.473,141.3,349.317
390,74.393,140.6,351.67
391,74.293,143.5,352.963
392,74.233,138.8,352.753
