Time (s),Mass (g),TC back 1 (K)
0,11.175,297.6
1,11.173,297.6
2,11.170,297.5
3,11.168,297.6
4,11.165,297.7
5,11.162,297.6
6,11.159,297.7
7,11.156,297.7
8,11.152,297.4
9,11.149,297.4
10,11.145,297.4
11,11.141,297.4
12,11.137,297.4
13,11.133,297.4
14,11.128,297.5
15,11.124,297.5
16,11.119,297.4
17,11.114,297.5
18,11.108,297.7
19,11.103,297.7
20,11.097,297.8
21,11.091,297.8
22,11.085,297.9
23,11.079,298.0
24,11.072,298.1
25,11.065,298.3
26,11.058,298.6
27,11.050,298.7
28,11.043,299.0
29,11.035,299.3
30,11.026,299.7
31,11.018,300.0
32,11.009,300.5
33,11.000,300.9
34,10.991,301.2
35,10.981,301.6
36,10.971,302.1
37,10.961,302.6
38,10.950,303.1
39,10.939,303.7
40,10.928,304.2
41,10.917,304.9
42,10.905,305.5
43,10.893,305.9
44,10.881,306.6
45,10.869,307.3
46,10.857,308.0
47,10.844,308.7
48,10.832,309.6
49,10.819,310.4
50,10.806,311.2
51,10.793,311.9
52,10.779,312.7
53,10.766,313.5
54,10.753,314.3
55,10.739,315.2
56,10.726,316.0
57,10.712,316.9
58,10.699,317.7
59,10.685,318.6
60,10.671,319.4
61,10.658,320.3
62,10.644,321.2
63,10.631,322.2
64,10.617,323.1
65,10.604,324.0
66,10.590,324.9
67,10.577,325.7
68,10.564,326.8
69,10.551,327.8
70,10.538,328.7
71,10.525,329.7
72,10.513,330.7
73,10.500,331.6
74,10.488,332.5
75,10.476,333.4
76,10.464,334.5
77,10.452,335.5
78,10.440,336.5
79,10.429,337.5
80,10.417,338.5
81,10.406,339.3
82,10.395,340.3
83,10.384,341.4
84,10.373,342.4
85,10.362,343.2
86,10.351,344.2
87,10.340,345.1
88,10.330,346.1
89,10.319,347.1
90,10.309,348.0
91,10.298,348.9
92,10.288,349.9
93,10.278,350.9
94,10.268,351.9
95,10.257,352.8
96,10.247,353.7
97,10.237,354.7
98,10.227,355.7
99,10.217,356.6
100,10.208,357.5
101,10.198,358.3
102,10.188,359.2
103,10.178,360.2
104,10.168,361.0
105,10.158,361.9
106,10.149,362.8
107,10.139,363.7
108,10.129,364.6
109,10.119,365.5
110,10.109,366.4
111,10.099,367.3
112,10.089,368.2
113,10.080,368.9
114,10.070,369.8
115,10.060,370.6
116,10.050,371.5
117,10.040,372.4
118,10.030,373.3
119,10.021,374.2
120,10.011,375.0
121,10.001,375.8
122,9.991,376.6
123,9.981,377.5
124,9.972,378.3
125,9.962,379.1
126,9.952,379.9
127,9.943,380.7
128,9.933,381.6
129,9.923,382.3
130,9.914,383.0
131,9.904,383.8
132,9.895,384.5
133,9.885,385.4
134,9.876,386.2
135,9.867,386.9
136,9.857,387.8
137,9.848,388.6
138,9.839,389.4
139,9.830,390.3
140,9.820,391.2
141,9.811,391.8
142,9.802,392.5
143,9.793,393.2
144,9.784,393.9
145,9.776,394.6
146,9.767,395.4
147,9.758,396.1
148,9.749,396.7
149,9.741,397.5
150,9.732,398.2
151,9.724,398.8
152,9.715,399.5
153,9.707,400.1
154,9.698,400.8
155,9.690,401.6
156,9.682,402.1
157,9.673,402.8
158,9.665,403.4
159,9.657,404.1
160,9.648,404.7
161,9.640,405.3
162,9.632,405.9
163,9.624,406.5
164,9.616,407.1
165,9.608,407.9
166,9.600,408.5
167,9.592,409.0
168,9.583,409.6
169,9.575,410.2
170,9.567,410.7
171,9.559,411.4
172,9.551,411.9
173,9.543,412.4
174,9.535,413.0
175,9.527,413.6
176,9.519,414.1
177,9.511,414.6
178,9.503,415.2
179,9.494,415.7
180,9.486,416.3
181,9.478,416.9
182,9.470,417.3
183,9.462,417.9
184,9.453,418.4
185,9.445,418.9
186,9.437,419.3
187,9.429,419.9
188,9.420,420.5
189,9.412,421.0
190,9.404,421.5
191,9.395,421.8
192,9.387,422.3
193,9.379,422.8
194,9.370,423.3
195,9.362,423.8
196,9.354,424.6
197,9.345,424.9
198,9.337,425.3
199,9.329,425.7
200,9.320,426.0
201,9.312,426.4
202,9.304,427.0
