Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0.0000,297.5000,1.8607,0.0055
21.0000,298.0000,1.8583,0.0074
34.4692,298.5000,1.8571,0.0078
45.2600,299.0000,1.8580,0.0108
54.3455,299.5000,1.8577,0.0124
62.4829,300.0000,1.8580,0.0135
69.8558,300.5000,1.8570,0.0150
76.6454,301.0000,1.8581,0.0171
83.0360,301.5000,1.8561,0.0185
89.0226,302.0000,1.8578,0.0205
94.7321,302.5000,1.8581,0.0222
100.1857,303.0000,1.8570,0.0238
105.4143,303.5000,1.8581,0.0258
110.4742,304.0000,1.8580,0.0279
115.3446,304.5000,1.8572,0.0295
120.1226,305.0000,1.8570,0.0319
124.7323,305.5000,1.8554,0.0338
129.2358,306.0000,1.8559,0.0356
133.6471,306.5000,1.8548,0.0368
137.9465,307.0000,1.8550,0.0397
142.1945,307.5000,1.8547,0.0419
146.3316,308.0000,1.8540,0.0438
150.4083,308.5000,1.8520,0.0459
154.4231,309.0000,1.8530,0.0484
158.3600,309.5000,1.8540,0.0503
162.2675,310.0000,1.8529,0.0520
166.0923,310.5000,1.8541,0.0548
169.8909,311.0000,1.8530,0.0574
173.6075,311.5000,1.8530,0.0595
177.3143,312.0000,1.8528,0.0618
180.9663,312.5000,1.8514,0.0635
184.6096,313.0000,1.8511,0.0661
188.1756,313.5000,1.8503,0.0690
191.7157,314.0000,1.8510,0.0714
195.2477,314.5000,1.8500,0.0730
198.7241,315.0000,1.8497,0.0751
202.1812,315.5000,1.8504,0.0765
205.6182,316.0000,1.8502,0.0797
209.0133,316.5000,1.8500,0.0823
212.3913,317.0000,1.8490,0.0850
215.7516,317.5000,1.8491,0.0870
219.1011,318.0000,1.8490,0.0888
222.4152,318.5000,1.8503,0.0912
225.7182,319.0000,1.8490,0.0932
228.9780,319.5000,1.8493,0.0953
232.2358,320.0000,1.8490,0.0972
235.4766,320.5000,1.8490,0.0987
238.7065,321.0000,1.8490,0.1011
241.9032,321.5000,1.8483,0.1026
245.0978,322.0000,1.8500,0.1040
248.2750,322.5000,1.8480,0.1064
251.4358,323.0000,1.8487,0.1074
254.6062,323.5000,1.8500,0.1087
257.7437,324.0000,1.8480,0.1097
260.8589,324.5000,1.8480,0.1106
264.0000,325.0000,1.8470,0.1121
267.0860,325.5000,1.8454,0.1128
270.1812,326.0000,1.8460,0.1136
273.2734,326.5000,1.8450,0.1144
276.3437,327.0000,1.8455,0.1152
279.4020,327.5000,1.8460,0.1154
282.4510,328.0000,1.8460,0.1151
285.5062,328.5000,1.8460,0.1155
288.5490,329.0000,1.8444,0.1150
291.5720,329.5000,1.8434,0.1148
294.5980,330.0000,1.8440,0.1145
297.5939,330.5000,1.8430,0.1144
300.6078,331.0000,1.8420,0.1137
303.6099,331.5000,1.8420,0.1134
306.6039,332.0000,1.8427,0.1117
309.5882,332.5000,1.8416,0.1109
312.5706,333.0000,1.8426,0.1097
315.5386,333.5000,1.8430,0.1083
318.5118,334.0000,1.8420,0.1068
321.4604,334.5000,1.8420,0.1052
324.4257,335.0000,1.8430,0.1035
327.3706,335.5000,1.8413,0.1020
330.3117,336.0000,1.8410,0.0995
333.2471,336.5000,1.8410,0.0978
336.1720,337.0000,1.8410,0.0953
339.1184,337.5000,1.8400,0.0929
342.0294,338.0000,1.8393,0.0899
344.9647,338.5000,1.8409,0.0886
347.8773,339.0000,1.8395,0.0857
350.7980,339.5000,1.8390,0.0820
353.6932,340.0000,1.8370,0.0794
356.6000,340.5000,1.8390,0.0763
359.4952,341.0000,1.8390,0.0739
362.3961,341.5000,1.8370,0.0704
