Time (s),Temperature (K),Mass (mg)
0.000,297.000,4.066
16.524,297.500,4.065
28.633,298.000,4.062
38.533,298.500,4.062
47.150,299.000,4.061
54.939,299.500,4.063
62.108,300.000,4.062
68.656,300.500,4.062
74.908,301.000,4.063
80.822,301.500,4.063
86.426,302.000,4.063
91.839,302.500,4.063
97.018,303.000,4.063
102.067,303.500,4.063
106.898,304.000,4.061
111.624,304.500,4.062
116.252,305.000,4.063
120.752,305.500,4.064
125.165,306.000,4.062
129.467,306.500,4.062
133.707,307.000,4.063
137.854,307.500,4.063
141.954,308.000,4.062
145.965,308.500,4.063
149.915,309.000,4.063
153.806,309.500,4.062
157.679,310.000,4.061
161.495,310.500,4.060
165.280,311.000,4.059
168.981,311.500,4.059
172.675,312.000,4.058
176.326,312.500,4.060
179.933,313.000,4.058
183.516,313.500,4.058
187.066,314.000,4.058
190.571,314.500,4.058
194.059,315.000,4.056
197.547,315.500,4.055
200.965,316.000,4.055
204.397,316.500,4.054
207.788,317.000,4.055
211.172,317.500,4.054
214.520,318.000,4.054
217.844,318.500,4.052
221.163,319.000,4.053
224.438,319.500,4.051
227.733,320.000,4.053
230.998,320.500,4.051
234.271,321.000,4.051
237.507,321.500,4.051
240.720,322.000,4.051
243.920,322.500,4.050
247.099,323.000,4.050
250.283,323.500,4.050
253.466,324.000,4.050
256.627,324.500,4.049
259.769,325.000,4.050
262.896,325.500,4.048
266.029,326.000,4.049
269.146,326.500,4.047
272.255,327.000,4.048
275.368,327.500,4.046
278.465,328.000,4.045
281.540,328.500,4.045
284.626,329.000,4.044
287.691,329.500,4.044
290.745,330.000,4.042
293.813,330.500,4.041
296.855,331.000,4.041
299.888,331.500,4.041
302.916,332.000,4.041
305.943,332.500,4.041
308.960,333.000,4.041
311.971,333.500,4.040
314.974,334.000,4.039
317.961,334.500,4.039
320.961,335.000,4.037
323.953,335.500,4.035
326.931,336.000,4.034
329.905,336.500,4.033
332.877,337.000,4.033
335.848,337.500,4.032
338.813,338.000,4.032
341.764,338.500,4.031
344.712,339.000,4.031
347.654,339.500,4.030
350.599,340.000,4.029
353.533,340.500,4.029
356.475,341.000,4.029
359.392,341.500,4.028
362.341,342.000,4.028
365.251,342.500,4.027
368.178,343.000,4.027
371.079,343.500,4.026
374.008,344.000,4.024
376.916,344.500,4.024
379.817,345.000,4.024
382.704,345.500,4.024
385.608,346.000,4.022
388.506,346.500,4.022
391.392,347.000,4.022
394.272,347.500,4.020
397.173,348.000,4.020
400.062,348.500,4.016
402.945,349.000,4.015
405.823,349.500,4.015
408.688,350.000,4.014
411.572,350.500,4.013
414.436,351.000,4.013
417.303,351.500,4.012
420.179,352.000,4.011
423.039,352.500,4.011
425.905,353.000,4.011
428.764,353.500,4.008
431.622,354.000,4.008
434.493,354.500,4.008
437.349,355.000,4.008
440.202,355.500,4.007
443.059,356.000,4.006
445.916,356.500,4.006
448.758,357.000,4.006
451.614,357.500,4.005
454.462,358.000,4.003
457.295,358.500,4.001
460.143,359.000,4.001
462.991,359.500,3.999
465.849,360.000,3.999
468.688,360.500,3.999
471.526,361.000,3.999
