Time (s),Temperature (K),Mass (mg)
0,313.14,4.7632
3,313.64,4.7628
6,314.14,4.7628
9,314.64,4.7625
12,315.14,4.7623
15,315.64,4.7623
18,316.14,4.7624
21,316.64,4.7624
24,317.14,4.7625
27,317.64,4.7626
30,318.14,4.7625
33,318.64,4.7624
36,319.14,4.7623
39,319.64,4.7623
42,320.14,4.7622
45,320.64,4.7625
48,321.14,4.7623
51,321.64,4.7624
54,322.14,4.7621
57,322.64,4.7621
60,323.14,4.7618
63,323.64,4.7616
66,324.14,4.7615
69,324.64,4.7613
72,325.14,4.7611
75,325.64,4.761
78,326.14,4.761
81,326.64,4.761
84,327.14,4.7609
87,327.64,4.7609
90,328.14,4.761
93,328.64,4.7611
96,329.14,4.7611
99,329.64,4.7611
102,330.14,4.7609
105,330.64,4.7608
108,331.14,4.7606
111,331.64,4.7605
114,332.14,4.7604
117,332.64,4.7601
120,333.14,4.7599
123,333.64,4.7598
126,334.14,4.7598
129,334.64,4.7597
132,335.14,4.7597
135,335.64,4.7596
138,336.14,4.7594
141,336.64,4.7592
144,337.14,4.7591
147,337.64,4.7591
150,338.14,4.7589
153,338.64,4.7589
156,339.14,4.7589
159,339.64,4.759
162,340.14,4.759
165,340.64,4.7588
168,341.14,4.7588
171,341.64,4.7586
174,342.14,4.7586
177,342.64,4.7586
180,343.14,4.7584
183,343.64,4.7583
186,344.14,4.7582
189,344.64,4.7582
192,345.14,4.758
195,345.64,4.7579
198,346.14,4.7577
201,346.64,4.7577
204,347.14,4.7574
207,347.64,4.7573
210,348.14,4.7572
213,348.64,4.7573
216,349.14,4.7572
219,349.64,4.7572
222,350.14,4.7571
225,350.64,4.757
228,351.14,4.7569
231,351.64,4.7566
234,352.14,4.7566
237,352.64,4.7565
240,353.14,4.7563
243,353.64,4.7563
246,354.14,4.7562
249,354.64,4.756
252,355.14,4.7557
255,355.64,4.7557
258,356.14,4.7556
261,356.64,4.7556
264,357.14,4.7555
267,357.64,4.7555
270,358.14,4.7552
273,358.64,4.7551
276,359.14,4.755
279,359.64,4.7549
282,360.14,4.7547
285,360.64,4.7546
288,361.14,4.7546
291,361.64,4.7545
294,362.14,4.7545
297,362.64,4.7542
300,363.14,4.7541
303,363.64,4.754
306,364.14,4.754
309,364.64,4.7533
312,365.14,4.7528
315,365.64,4.7526
318,366.14,4.7526
321,366.64,4.7526
324,367.14,4.7526
327,367.64,4.7526
330,368.14,4.7526
333,368.64,4.7525
336,369.14,4.7525
339,369.64,4.7524
342,370.14,4.7526
345,370.64,4.7527
348,371.14,4.7529
351,371.64,4.753
354,372.14,4.7529
357,372.64,4.7526
360,373.14,4.7525
363,373.64,4.7522
366,374.14,4.7522
369,374.64,4.7521
372,375.14,4.7519
375,375.64,4.7517
378,376.14,4.7516
381,376.64,4.7516
384,377.14,4.7516
387,377.64,4.7515
390,378.14,4.7516
393,378.64,4.7518
396,379.14,4.7518
399,379.64,4.7518
402,380.14,4.7516
405,380.64,4.7516
408,381.14,4.7516
411,381.64,4.7513
414,382.14,4.7515
417,382.64,4.7515
420,383.14,4.7515
423,383.64,4.7515
426,384.14,4.7515
429,384.64,4.7514
432,385.14,4.7513
435,385.64,4.7512
438,386.14,4.7511
441,386.64,4.751
444,387.14,4.7508
447,387.64,4.7507
450,388.14,4.7507
453,388.64,4.7507
456,389.14,4.7505
459,389.64,4.7503
462,390.14,4.7503
465,390.64,4.7502
468,391.14,4.7501
471,391.64,4.75
474,392.14,4.7498
477,392.64,4.7497
480,393.14,4.7496
483,393.64,4.7495
486,394.14,4.7493
489,394.64,4.749
492,395.14,4.749
495,395.64,4.749
498,396.14,4.7489
501,396.64,4.749
504,397.14,4.749
507,397.64,4.7489
510,398.14,4.7489
513,398.64,4.7488
516,399.14,4.7487
519,399.64,4.7487
522,400.14,4.7488
525,400.64,4.7489
528,401.14,4.7487
531,401.64,4.7486
534,402.14,4.7484
537,402.64,4.7482
540,403.14,4.7481
543,403.64,4.7479
546,404.14,4.7474
549,404.64,4.7474
552,405.14,4.7472
555,405.64,4.747
558,406.14,4.747
561,406.64,4.7469
564,407.14,4.7468
567,407.64,4.7467
570,408.14,4.7469
573,408.64,4.7466
576,409.14,4.7465
579,409.64,4.7464
582,410.14,4.7461
585,410.64,4.7458
588,411.14,4.7455
591,411.64,4.7453
594,412.14,4.7448
597,412.64,4.7444
600,413.14,4.7444
603,413.64,4.7445
606,414.14,4.7444
609,414.64,4.7442
612,415.14,4.744
615,415.64,4.7439
618,416.14,4.7434
621,416.64,4.7432
624,417.14,4.7432
627,417.64,4.7432
630,418.14,4.7431
633,418.64,4.7427
636,419.14,4.7425
639,419.64,4.7421
642,420.14,4.7419
645,420.64,4.7415
648,421.14,4.7411
651,421.64,4.7408
654,422.14,4.7404
657,422.64,4.7401
660,423.14,4.7395
663,423.64,4.7393
666,424.14,4.7389
669,424.64,4.7386
672,425.14,4.7384
675,425.64,4.738
678,426.14,4.7377
681,426.64,4.7375
684,427.14,4.7371
687,427.64,4.7366
690,428.14,4.7362
693,428.64,4.7357
696,429.14,4.7354
699,429.64,4.7351
702,430.14,4.7347
705,430.64,4.7345
708,431.14,4.734
711,431.64,4.7335
714,432.14,4.7331
717,432.64,4.7328
720,433.14,4.7322
723,433.64,4.732
726,434.14,4.7313
729,434.64,4.7309
732,435.14,4.7303
735,435.64,4.7298
738,436.14,4.7293
741,436.64,4.7289
744,437.14,4.7283
747,437.64,4.7279
