Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,91.4,4.870359744,300.05
1,90.5,4.747526819,300.03
2,90.7,3.066633791,300.03
3,90.3,3.212099362,300.03
4,89.7,3.918844473,300.02
5,89.9,3.542960855,300.02
6,89.7,3.139928826,300.01
7,89.9,2.073514167,300.01
8,89.6,-0.212304517,300.02
9,90.2,-6.69581724,300.02
10,90.6,-13.73876503,300.02
11,89.6,-14.03675339,300.05
12,89.4,6.781888878,300.04
13,90,51.77939404,300.04
14,90,117.3341291,300.07
15,89.9,167.1060956,300.06
16,89.3,210.9721587,300.06
17,88.9,243.793641,300.06
18,88,260.6493987,300.07
19,88.6,277.5914358,300.1
20,88.6,272.6205877,300.11
21,87.9,273.9821705,300.1
22,88,273.109262,300.1
23,88.1,262.0149442,300.11
24,87.8,243.6776037,300.11
25,87.8,230.833913,300.11
26,87.5,218.1933959,300.12
27,87.5,219.0037406,300.11
28,87.8,204.1996375,300.12
29,87.3,201.7811915,300.13
30,86.6,193.3786788,300.15
31,87.1,191.1511404,300.15
32,86.5,184.4921349,300.16
33,86.9,178.8517885,300.18
34,87,179.4096859,300.18
35,86.6,174.006758,300.2
36,86.4,166.9679554,300.21
37,86.2,166.6501154,300.24
38,86.2,166.2643673,300.26
39,85.9,161.6179807,300.31
40,85.9,165.8845111,300.32
41,86,163.6613938,300.32
42,85.3,164.5935976,300.33
43,85.6,160.9392703,300.33
44,85.6,162.9857495,300.33
45,85.2,160.1703908,300.34
46,85,155.8241807,300.35
47,85.2,150.8971892,300.38
48,85.2,149.5065953,300.42
49,85.2,147.37308,300.44
50,84.9,150.0405089,300.45
51,84.7,145.7068399,300.47
52,84.2,144.173672,300.47
53,84.7,143.2087017,300.49
54,84.6,141.7204497,300.5
55,84.4,139.6644108,300.51
56,83.6,139.7298477,300.5
57,83.9,138.0320238,300.49
58,83.8,135.9355909,300.52
59,83.9,135.6263936,300.53
60,83.4,137.0207857,300.54
61,83.9,138.0416826,300.56
62,83.1,137.2407271,300.58
63,83.6,135.7055458,300.59
64,83.6,133.5942323,300.62
65,83.4,131.8702926,300.64
66,83.5,133.0129223,300.66
67,82.9,133.4551638,300.67
68,83.3,134.6267817,300.7
69,83,130.9490186,300.73
70,83.1,131.1466605,300.74
71,83.5,128.7792007,300.77
72,82.8,126.0333335,300.8
73,82.7,126.1683286,300.82
74,82.7,124.9514394,300.85
75,82.1,122.4755223,300.86
76,82.6,122.4122823,300.89
77,82.9,122.9340069,300.91
78,82.1,124.4008378,300.94
79,81.8,122.6682346,300.97
80,82.5,122.2508249,301
81,82.3,121.8432444,301.04
82,81.7,120.8469673,301.06
83,81.2,125.9576202,301.08
84,82,122.0656333,301.12
85,81.2,125.679086,301.14
86,81.8,129.4109,301.18
87,82,126.5460315,301.21
88,81.6,127.1142949,301.24
89,81,125.5487214,301.28
90,81,124.2319966,301.29
91,81.3,124.3643552,301.32
92,82.1,123.6510237,301.34
93,81.2,123.0280559,301.38
94,80.8,117.9600918,301.38
95,80.9,118.6373812,301.43
96,80.8,116.3019175,301.47
97,80.7,121.6910789,301.52
98,80.6,119.0343723,301.53
99,80.9,118.6755869,301.56
100,80.7,118.8386684,301.6
101,80,114.7564598,301.64
102,80.4,116.8889113,301.67
103,80,115.7035479,301.68
104,80.1,116.2333376,301.72
105,80.4,116.5413937,301.8
106,80.2,114.2362733,301.85
107,79.3,116.5584497,301.89
108,80.1,114.9204706,301.93
109,80.1,113.6029814,301.95
110,79.9,114.9326192,302
111,79.8,113.8562104,302.04
112,79.5,116.4705282,302.09
113,79.2,115.5062102,302.12
114,79.4,114.7347583,302.15
115,79.5,114.6765476,302.2
116,79.2,111.5363289,302.24
117,79.2,110.3159687,302.31
118,79.3,107.3317916,302.33
119,78.7,115.9471046,302.38
120,78.5,110.5558372,302.4
121,79,113.8369319,302.44
122,78.6,111.6532524,302.53
123,78.9,110.7474644,302.57
124,79,108.0685526,302.63
125,78.8,109.6056992,302.7
126,78.5,110.6800184,302.76
127,78.6,109.4445706,302.82
128,78.1,107.2455405,302.88
129,77.6,105.5707671,302.94
130,77.6,108.3912625,303.01
131,78.4,108.9362929,303.08
132,78.3,110.6906739,303.13
133,77.7,109.3783207,303.17
134,78.2,108.2128921,303.23
135,78,108.905439,303.29
136,77.3,106.2015867,303.35
137,77.1,110.1134351,303.42
138,77.1,109.1220024,303.48
139,77.4,108.4947493,303.55
140,77.5,105.0631527,303.65
141,77.9,103.4952371,303.73
142,77.2,103.9483195,303.82
143,77.6,106.554452,303.9
144,77.2,106.3922799,303.98
145,76.8,104.9715155,304.05
146,77,107.4081438,304.11
147,77.3,108.2317821,304.21
148,77,105.5701867,304.28
149,77,103.8999072,304.35
150,76.9,104.4747649,304.41
151,76.4,107.1748193,304.49
