Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,111.4,1.48,292.3
1,111.3,-2.19,292.31
2,111.3,-1.61,292.29
3,111.3,-0.49,292.3
4,111.1,1.16,292.31
5,111.3,0.32,292.3
6,111.2,-0.03,292.31
7,111.2,-0.44,292.31
8,111.2,2.07,292.31
9,111.2,1.82,292.31
10,111.1,0.09,292.31
11,111.1,2.08,292.32
12,111.1,-2.16,292.32
13,111.1,-1.76,292.31
14,111.1,2.04,292.32
15,111.1,2.26,292.31
16,111.1,-1.68,292.32
17,111.1,2.72,292.32
18,111.1,2.89,292.32
19,111.1,-1.71,292.33
20,111.1,2.5,292.34
21,111.1,2.82,292.33
22,111.1,4.07,292.33
23,111.1,1.42,292.34
24,111.1,3.16,292.35
25,111.1,-1.09,292.35
26,111,-0.91,292.34
27,111,0.31,292.36
28,111.1,2.38,292.35
29,111.1,3.26,292.37
30,111.1,3.98,292.37
31,111,-0.22,292.37
32,111,3.29,292.37
33,110.9,2.26,292.38
34,111,-0.19,292.38
35,111,3.91,292.38
36,110.9,2.77,292.38
37,111,4.05,292.39
38,111,1.79,292.4
39,110.8,2.66,292.4
40,110.8,4.25,292.4
41,111,-0.48,292.41
42,111,0.46,292.41
43,111,2.88,292.41
44,111,3.37,292.41
45,110.9,0.78,292.43
46,110.8,1.77,292.43
47,110.8,2.5,292.43
48,110.8,-0.98,292.44
49,110.9,-1.46,292.45
50,110.9,3.4,292.46
51,110.8,0.18,292.47
52,110.8,3.19,292.48
53,110.8,2.74,292.48
54,110.8,2.6,292.5
55,110.8,0.74,292.5
56,110.8,3.06,292.52
57,110.7,-0.57,292.52
58,110.7,-0.82,292.53
59,110.7,-1.43,292.53
60,110.7,-1.57,292.55
61,110.7,3.14,292.56
62,110.7,1.48,292.56
63,110.7,0.16,292.57
64,110.7,-0.69,292.58
65,110.7,3.33,292.59
66,110.7,3.69,292.6
67,110.7,2.91,292.61
68,110.7,-0.61,292.61
69,110.7,2.11,292.62
70,110.7,-0.94,292.63
71,110.7,2.66,292.64
72,110.7,1.36,292.64
73,110.7,4.35,292.65
74,110.7,-0.74,292.65
75,110.7,0.87,292.67
76,110.7,0.7,292.68
77,110.5,2.09,292.69
78,110.5,3.77,292.71
79,110.7,4.29,292.72
80,110.5,3.5,292.74
81,110.5,-0.82,292.74
82,110.5,1,292.76
83,110.5,-0.63,292.78
84,110.5,3.17,292.78
85,110.5,-0.61,292.79
86,110.4,0.39,292.79
87,110.4,-0.6,292.83
88,110.4,3.22,292.83
89,110.4,3.89,292.84
90,110.4,2.98,292.85
91,110.4,4.19,292.85
92,110.4,-0.25,292.87
93,110.4,0.94,292.89
94,110.4,2.06,292.9
95,110.4,3.94,292.93
96,110.4,5.09,292.93
97,110.4,0.72,292.95
98,110.4,0.16,292.95
99,110.4,0.95,292.97
100,110.4,5.52,292.98
101,110.4,2.19,293.01
102,110.4,2.61,293.01
103,110.4,4.69,293.02
104,110.4,5.13,293.03
105,110.4,0.59,293.06
106,110.4,0.56,293.06
107,110.4,2.12,293.09
108,110.4,2.69,293.11
109,110.4,1.11,293.12
110,110.4,5.01,293.13
111,110.4,1.49,293.15
112,110.4,0.43,293.16
113,110.2,5.58,293.16
114,110.4,4.06,293.18
115,110.2,1.62,293.2
116,110.2,0.91,293.23
117,110.2,4.96,293.24
118,110.2,4.76,293.26
119,110.2,0.76,293.27
120,110.2,5.58,293.29
121,110.2,2.79,293.31
122,110.2,4.31,293.34
123,110.2,5.23,293.35
124,110.2,2.65,293.37
125,110.1,4.52,293.38
126,110.2,4.6,293.41
127,110.2,4.39,293.43
128,110.1,3.93,293.44
129,110.1,2.42,293.47
130,110.1,0.63,293.47
131,110.1,0.92,293.5
132,110.1,2.31,293.52
133,110.1,4.09,293.54
134,110.1,1.62,293.56
135,110.1,4.35,293.58
136,110,1.59,293.62
137,110.1,1.16,293.64
138,110.1,4.04,293.66
139,110.1,5.29,293.68
140,110,4.28,293.7
141,110.1,5.48,293.72
142,110.1,2.79,293.76
143,109.9,4.22,293.77
