Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,109.9,-1.69,296.41
1,110.2,-6.4,296.4
2,110.3,-4.83,296.39
3,110.2,-2.09,296.39
4,110.1,-2.24,296.39
5,110,-2.09,296.38
6,110,-3.51,296.38
7,110,-2.92,296.37
8,110,-5.53,296.37
9,110,-5.11,296.38
10,110,-2.87,296.36
11,110,-2.61,296.35
12,109.9,-6.35,296.35
13,109.8,-2.91,296.34
14,109.7,-4.64,296.34
15,109.6,-7.49,296.35
16,109.6,-1.86,296.33
17,109.6,-1.79,296.32
18,109.7,-3.79,296.33
19,109.7,-4.46,296.32
20,109.7,-1.9,296.32
21,109.7,-1.9,296.31
22,109.6,-2.62,296.31
23,109.4,-1.39,296.31
24,109.3,-4.24,296.3
25,109.4,-1.16,296.29
26,109.4,-0.97,296.29
27,109.4,-5.08,296.28
28,109.5,-1.22,296.29
29,109.4,-3.32,296.25
30,109.5,-3.3,296.21
31,109.5,-4.96,296.17
32,109.6,-2.22,296.14
33,109.6,-0.4,296.11
34,109.5,-0.28,296.09
35,109.4,-1.21,296.05
36,109.4,-0.89,296.03
37,109.4,-1.68,296.02
38,109.4,-0.21,296
39,109.5,0.44,295.99
40,109.5,-0.77,295.98
41,109.4,-3.57,295.97
42,109.4,1.04,295.96
43,109.5,-2.91,295.95
44,109.4,-0.56,295.94
45,109.4,0.86,295.94
46,109.3,-3.28,295.93
47,109.3,-2.79,295.93
48,109.2,0.22,295.92
49,109.2,-0.51,295.91
50,109.2,0.88,295.9
51,109.3,0.71,295.9
52,109.2,-2.57,295.89
53,109.2,0.62,295.89
54,109.1,-3.37,295.87
55,109.1,-0.01,295.87
56,109.1,0.6,295.88
57,109.1,0.85,295.88
58,109.2,-3.79,295.88
59,109.2,0.72,295.87
60,109.2,0.49,295.87
61,109.2,1.15,295.88
62,109.2,-3.19,295.87
63,109.2,-2.6,295.88
64,109.2,0.67,295.86
65,109.3,-3.13,295.87
66,109.3,0.94,295.87
67,109.3,-3.63,295.87
68,109.1,0.58,295.87
69,109.1,0.74,295.87
70,109.1,0.58,295.88
71,109.1,-1.19,295.89
72,109.2,-0.25,295.89
73,109.2,-1.15,295.88
74,109.3,0.23,295.88
75,109.2,0.81,295.89
76,109.2,-4.05,295.89
77,109.1,0.23,295.89
78,109.1,0.76,295.9
79,109.1,0.72,295.89
80,109.1,-3.2,295.89
81,109.1,-1.77,295.89
82,109,-0.65,295.89
83,108.7,0.54,295.9
84,108.8,0.28,295.9
85,108.9,-0.96,295.88
86,109.2,-2.26,295.89
87,109.1,-4.52,295.89
88,109.1,-3.6,295.9
89,109.1,0.04,295.9
90,109,0.42,295.9
91,108.9,0.04,295.9
92,109,-3.51,295.91
93,109,-1.6,295.91
94,109,-1.91,295.91
95,109,0.03,295.92
96,109,-2.6,295.92
97,108.9,-4.51,295.93
98,108.8,-2.01,295.93
99,108.8,-4.92,295.93
100,108.8,-3.8,295.94
101,108.9,-3.15,295.94
102,108.9,0.17,295.95
103,108.9,-2.56,295.95
104,108.9,0.19,295.96
105,108.8,-3.34,295.97
106,108.8,-2.06,295.97
107,108.7,-2.42,295.98
108,108.7,0.01,295.98
109,108.8,-4.5,295.98
110,108.8,-0.18,295.99
111,108.8,0.22,295.99
112,108.8,-0.7,295.98
113,108.8,-0.37,295.99
114,108.8,-0.26,296
115,108.9,-0.05,296.02
116,108.9,0.33,296.02
117,108.8,-0.17,296.02
118,108.8,-0.46,296.03
119,108.8,-3.84,296.03
120,108.8,-0.3,296.03
121,108.9,-3.6,296.04
122,108.9,-3.35,296.04
123,108.8,-2.87,296.06
124,108.8,0.36,296.06
125,108.9,-0.43,296.08
126,109,-0.99,296.09
127,109,-3.5,296.11
128,108.9,-3.85,296.13
129,108.9,-1.58,296.13
130,108.9,-2.01,296.14
131,108.8,-3.04,296.14
132,108.8,0.79,296.16
133,108.7,0.75,296.16
134,108.7,-3.29,296.18
135,108.7,-2.36,296.2
136,108.9,-2.38,296.21
137,108.9,1.56,296.21
138,108.9,-0.04,296.24
139,108.7,-1.08,296.25
140,108.7,1.91,296.26
141,108.7,2.1,296.27
142,108.8,-2.21,296.28
143,108.7,0.44,296.29
144,108.8,-0.31,296.3
145,108.7,2.37,296.31
146,108.6,2.15,296.33
147,108.7,1.94,296.34
148,108.6,-2.1,296.36
149,108.5,-0.42,296.37
150,108.4,-0.53,296.39
151,108.2,0.39,296.41
152,108.1,2,296.43
153,108.2,-1.84,296.44
154,108.1,2.85,296.45
155,107.8,1.11,296.46
156,107.5,-1.38,296.48
157,107.7,2.61,296.49
158,107.6,3.15,296.51
159,107.4,2.14,296.53
160,107.3,-0.03,296.54
161,107,3.96,296.56
162,107,0.94,296.58
163,106.9,4.51,296.59
164,106.6,1.55,296.61
165,106.4,6.69,296.63
166,106.1,6.8,296.64
167,105.5,6.42,296.65
168,105.6,8.08,296.68
169,105.5,7.99,296.7
170,105.3,12.05,296.72
171,105.2,9.09,296.75
172,105.2,13.01,296.76
173,105.3,12.29,296.77
174,105.3,16.28,296.79
175,105.2,17.44,296.83
176,105,23.34,296.84
177,105,17.63,296.87
178,104.9,23.18,296.89
179,104.4,28.39,296.9
180,104.4,25.23,296.95
181,104.6,26.31,296.97
182,104.2,33.58,297
183,104.2,35.67,297.01
184,104.1,27.92,297.04
185,103.9,39.91,297.05
186,103.6,39.22,297.05
187,103.6,40.93,297.07
188,103.5,34.2,297.09
189,103.4,35.65,297.11
190,103.4,42.56,297.13
191,103.4,40.18,297.17
192,103.3,44.49,297.16
193,103.3,40.66,297.16
194,103.3,37.2,297.18
195,103.1,43.65,297.21
196,103.1,40.59,297.25
