Time (s),Temperature (K),Mass (mg)
0,325,5.477
4.3,325.5,5.471
8.6,326,5.465
12.6,326.5,5.462
16.6,327,5.457
20.4,327.5,5.452
24.1,328,5.448
27.5,328.5,5.444
30.9,329,5.440
34,329.5,5.435
37,330,5.430
39.9,330.5,5.426
42.7,331,5.422
45.3,331.5,5.418
47.9,332,5.414
50.4,332.5,5.411
52.8,333,5.407
55.2,333.5,5.405
57.5,334,5.401
59.8,334.5,5.398
62,335,5.396
64.1,335.5,5.393
66.3,336,5.390
68.4,336.5,5.388
70.5,337,5.386
72.5,337.5,5.383
74.6,338,5.381
76.6,338.5,5.379
78.5,339,5.377
80.4,339.5,5.375
82.4,340,5.374
84.3,340.5,5.372
86.2,341,5.370
88.1,341.5,5.368
90,342,5.366
91.8,342.5,5.364
93.7,343,5.362
95.6,343.5,5.360
97.4,344,5.358
99.2,344.5,5.356
101.1,345,5.354
102.9,345.5,5.352
104.7,346,5.351
106.6,346.5,5.350
108.4,347,5.349
110.2,347.5,5.347
112.1,348,5.346
113.9,348.5,5.344
115.7,349,5.343
117.6,349.5,5.342
119.4,350,5.341
121.3,350.5,5.340
123.2,351,5.338
125,351.5,5.337
126.9,352,5.335
128.8,352.5,5.334
130.7,353,5.333
132.5,353.5,5.332
134.5,354,5.330
136.4,354.5,5.329
138.3,355,5.328
140.3,355.5,5.327
142.2,356,5.326
144.2,356.5,5.325
146.2,357,5.324
148.2,357.5,5.323
150.2,358,5.323
152.3,358.5,5.322
154.4,359,5.321
156.4,359.5,5.320
158.5,360,5.320
160.7,360.5,5.319
162.8,361,5.318
165,361.5,5.318
167.2,362,5.318
169.4,362.5,5.318
171.7,363,5.318
174,363.5,5.318
176.2,364,5.317
178.6,364.5,5.317
180.9,365,5.317
183.3,365.5,5.316
185.7,366,5.315
188.2,366.5,5.315
190.7,367,5.314
193.2,367.5,5.314
195.8,368,5.314
198.3,368.5,5.313
201,369,5.313
203.7,369.5,5.312
206.3,370,5.312
209,370.5,5.313
211.8,371,5.313
214.6,371.5,5.312
217.4,372,5.312
220.4,372.5,5.312
223.2,373,5.311
226.1,373.5,5.311
229.2,374,5.310
232.2,374.5,5.310
235.2,375,5.310
238.1,375.5,5.309
241.3,376,5.310
244.3,376.5,5.309
247.4,377,5.309
250.5,377.5,5.309
253.7,378,5.308
256.8,378.5,5.308
260,379,5.308
263.2,379.5,5.308
266.3,380,5.308
269.5,380.5,5.308
272.8,381,5.308
276,381.5,5.308
279.2,382,5.308
282.4,382.5,5.308
285.6,383,5.308
288.8,383.5,5.308
291.9,384,5.307
295.1,384.5,5.307
298.3,385,5.308
301.6,385.5,5.307
304.7,386,5.308
307.9,386.5,5.308
311.1,387,5.307
314.2,387.5,5.307
317.4,388,5.306
320.6,388.5,5.304
323.6,389,5.304
326.8,389.5,5.305
329.9,390,5.306
333.1,390.5,5.306
336.1,391,5.305
339.3,391.5,5.305
342.3,392,5.305
345.4,392.5,5.305
348.5,393,5.305
351.5,393.5,5.305
354.6,394,5.305
357.6,394.5,5.305
360.7,395,5.305
363.8,395.5,5.305
366.9,396,5.305
369.9,396.5,5.304
372.8,397,5.303
375.9,397.5,5.303
378.9,398,5.303
381.9,398.5,5.303
384.9,399,5.302
387.9,399.5,5.302
390.9,400,5.302
393.9,400.5,5.302
397,401,5.301
399.9,401.5,5.301
403,402,5.301
405.9,402.5,5.301
408.9,403,5.301
411.8,403.5,5.301
414.9,404,5.301
417.8,404.5,5.301
420.8,405,5.301
423.8,405.5,5.301
426.8,406,5.301
429.7,406.5,5.300
432.7,407,5.299
435.6,407.5,5.299
438.7,408,5.299
441.6,408.5,5.299
444.6,409,5.299
447.6,409.5,5.298
450.6,410,5.298
453.5,410.5,5.297
456.5,411,5.297
459.6,411.5,5.296
462.5,412,5.296
465.5,412.5,5.295
468.4,413,5.295
471.4,413.5,5.295
474.4,414,5.295
477.4,414.5,5.295
480.4,415,5.294
483.4,415.5,5.294
486.4,416,5.294
489.4,416.5,5.293
492.3,417,5.293
495.3,417.5,5.293
498.3,418,5.293
501.3,418.5,5.293
504.3,419,5.293
507.3,419.5,5.293
510.3,420,5.292
513.3,420.5,5.292
516.2,421,5.292
519.3,421.5,5.291
522.2,422,5.291
525.2,422.5,5.290
528.2,423,5.290
531.2,423.5,5.290
534.2,424,5.290
537.2,424.5,5.289
540.2,425,5.289
543.2,425.5,5.289
546.1,426,5.288
549.2,426.5,5.288
552.2,427,5.287
555.1,427.5,5.287
558.1,428,5.286
561.1,428.5,5.286
564.1,429,5.286
567.1,429.5,5.285
570.1,430,5.285
573,430.5,5.285
576.1,431,5.285
579.1,431.5,5.285
582,432,5.285
585.1,432.5,5.285
588,433,5.283
591.1,433.5,5.281
594,434,5.280
597.1,434.5,5.278
600,435,5.278
603.1,435.5,5.278
606.1,436,5.277
609.1,436.5,5.276
612.1,437,5.276
615,437.5,5.275
618.1,438,5.274
621.1,438.5,5.273
624.1,439,5.273
627.1,439.5,5.273
630.1,440,5.273
633.1,440.5,5.273
636.1,441,5.272
639.1,441.5,5.271
642.1,442,5.270
645.1,442.5,5.268
648.2,443,5.267
651.1,443.5,5.266
654.1,444,5.265
657.1,444.5,5.264
660.2,445,5.263
