Time (s),m (g),T Back (K),T Top (K)
0,33.293988,293,293
1,33.293988,293,325.974
2,33.293976,293,350.436
3,33.293958,293,371.44
4,33.293934,293.002,390.213
5,33.293898,293.018,407.354
6,33.293862,293.069,423.219
7,33.293802,293.184,438.041
8,33.29373,293.398,451.988
9,33.293634,293.742,465.18
10,33.293502,294.244,477.711
11,33.293316,294.926,489.654
12,33.293058,295.805,501.069
13,33.292698,296.891,512.003
14,33.292182,298.191,522.496
15,33.29145,299.706,532.58
16,33.290418,301.434,542.283
17,33.288972,303.373,551.626
18,33.28698,305.517,560.628
19,33.284262,307.859,569.304
20,33.280608,310.392,577.664
21,33.275772,313.106,585.719
22,33.269484,315.994,593.474
23,33.261426,319.045,600.934
24,33.251274,322.26,608.102
25,33.238686,325.622,614.981
26,33.223338,329.119,621.575
27,33.204918,332.742,627.891
28,33.183168,336.483,633.934
29,33.157884,340.332,639.714
30,33.128916,344.282,645.242
31,33.096198,348.324,650.532
32,33.059724,352.45,655.6
33,33.019554,356.651,660.462
34,32.975784,360.921,665.135
35,32.928534,365.251,669.637
36,32.877936,369.633,673.981
37,32.824116,374.061,678.181
38,32.76717,378.527,682.247
39,32.707176,383.025,686.187
40,32.64417,387.547,690.008
41,32.578182,392.089,693.712
42,32.509194,396.643,697.305
43,32.437206,401.204,700.788
44,32.362194,405.767,704.166
45,32.284152,410.327,707.442
46,32.203074,414.879,710.619
47,32.118978,419.42,713.705
48,32.031894,423.944,716.705
49,31.94187,428.447,719.626
50,31.84896,432.927,722.475
51,31.753242,437.38,725.26
52,31.6548,441.801,727.99
53,31.553724,446.189,730.671
54,31.45011,450.539,733.311
55,31.344054,454.85,735.918
56,31.235652,459.117,738.498
57,31.125006,463.339,741.058
58,31.0122,467.513,743.602
59,30.89733,471.636,746.135
60,30.78048,475.706,748.663
61,30.661728,479.72,751.188
62,30.54114,483.676,753.713
63,30.418788,487.572,756.24
64,30.29472,491.406,758.77
65,30.169002,495.176,761.304
66,30.041664,498.879,763.842
67,29.912754,502.514,766.383
68,29.78229,506.078,768.928
69,29.650314,509.57,771.474
70,29.516832,512.989,774.019
71,29.381862,516.332,776.563
72,29.245422,519.597,779.102
73,29.107518,522.784,781.635
74,28.968162,525.891,784.159
75,28.827354,528.916,786.672
76,28.685106,531.86,789.172
77,28.54143,534.72,791.658
78,28.396338,537.497,794.126
79,28.249848,540.19,796.575
80,28.101984,542.799,799.004
81,27.95277,545.325,801.412
82,27.802236,547.767,803.796
83,27.65043,550.127,806.156
84,27.4974,552.407,808.492
85,27.343188,554.606,810.802
86,27.187866,556.728,813.085
87,27.031488,558.775,815.343
88,26.874132,560.748,817.574
89,26.71587,562.651,819.778
90,26.55678,564.485,821.955
91,26.39694,566.255,824.105
92,26.23644,567.964,826.229
93,26.075358,569.615,828.326
94,25.913784,571.21,830.397
95,25.751802,572.755,832.442
96,25.58949,574.252,834.461
97,25.426932,575.704,836.463
98,25.2642,577.116,838.439
99,25.101384,578.49,840.388
100,24.938544,579.829,842.312
101,24.775764,581.138,844.211
102,24.613098,582.42,846.085
103,24.450624,583.676,847.935
104,24.288384,584.911,849.761
105,24.126438,586.127,851.564
106,23.96484,587.326,853.344
107,23.803638,588.511,855.102
108,23.642868,589.683,856.838
109,23.482566,590.845,858.551
110,23.322774,591.999,860.244
111,23.163516,593.147,861.916
112,23.004828,594.289,863.567
113,22.846722,595.427,865.198
114,22.689228,596.563,866.809
115,22.532364,597.697,868.401
116,22.376148,598.831,869.973
117,22.22058,599.965,871.527
118,22.065684,601.1,873.062
119,21.911466,602.237,874.579
120,21.757926,603.375,876.078
121,21.605076,604.516,877.559
122,21.452916,605.66,879.023
123,21.301446,606.807,880.471
124,21.15066,607.956,881.902
125,21.00057,609.109,883.317
126,20.851158,610.264,884.715
127,20.70243,611.422,886.099
128,20.554374,612.582,887.466
129,20.40699,613.743,888.819
130,20.260266,614.906,890.157
