Time (s),MLR (g/m2/s),T Back (K),T Top (K)
0.00E+00,0.00E+00,2.93E+02,2.93E+02
1.00E+00,4.61E-12,2.93E+02,3.17E+02
2.00E+00,1.84E-11,2.93E+02,3.36E+02
3.05E+00,6.37E-11,2.93E+02,3.48E+02
4.05E+00,1.69E-10,2.93E+02,3.57E+02
5.05E+00,3.72E-10,2.93E+02,3.65E+02
6.05E+00,7.23E-10,2.93E+02,3.71E+02
7.05E+00,1.29E-09,2.93E+02,3.77E+02
8.05E+00,2.15E-09,2.94E+02,3.83E+02
9.05E+00,3.39E-09,2.94E+02,3.88E+02
1.00E+01,5.08E-09,2.94E+02,3.92E+02
1.10E+01,7.36E-09,2.95E+02,3.96E+02
1.20E+01,1.04E-08,2.95E+02,4.00E+02
1.30E+01,1.44E-08,2.96E+02,4.04E+02
1.40E+01,1.94E-08,2.97E+02,4.07E+02
1.50E+01,2.57E-08,2.98E+02,4.11E+02
1.60E+01,3.35E-08,2.99E+02,4.14E+02
1.70E+01,4.29E-08,3.00E+02,4.17E+02
1.80E+01,5.42E-08,3.01E+02,4.20E+02
1.90E+01,6.77E-08,3.03E+02,4.23E+02
2.00E+01,8.35E-08,3.04E+02,4.26E+02
2.10E+01,1.02E-07,3.05E+02,4.28E+02
2.20E+01,1.23E-07,3.07E+02,4.31E+02
2.30E+01,1.48E-07,3.08E+02,4.33E+02
2.40E+01,1.77E-07,3.10E+02,4.35E+02
2.50E+01,2.09E-07,3.11E+02,4.38E+02
2.60E+01,2.45E-07,3.13E+02,4.40E+02
2.70E+01,2.87E-07,3.14E+02,4.42E+02
2.80E+01,3.33E-07,3.16E+02,4.44E+02
2.90E+01,3.85E-07,3.18E+02,4.46E+02
3.00E+01,4.43E-07,3.19E+02,4.48E+02
3.10E+01,5.07E-07,3.21E+02,4.50E+02
3.20E+01,5.78E-07,3.23E+02,4.52E+02
3.30E+01,6.56E-07,3.24E+02,4.54E+02
3.40E+01,7.42E-07,3.26E+02,4.56E+02
3.50E+01,8.37E-07,3.28E+02,4.57E+02
3.60E+01,9.41E-07,3.29E+02,4.59E+02
3.70E+01,1.05E-06,3.31E+02,4.61E+02
3.81E+01,1.18E-06,3.33E+02,4.62E+02
3.91E+01,1.32E-06,3.34E+02,4.64E+02
4.01E+01,1.46E-06,3.36E+02,4.66E+02
4.11E+01,1.62E-06,3.38E+02,4.67E+02
4.21E+01,1.79E-06,3.40E+02,4.69E+02
4.31E+01,1.98E-06,3.41E+02,4.70E+02
4.41E+01,2.18E-06,3.43E+02,4.72E+02
4.51E+01,2.39E-06,3.45E+02,4.73E+02
4.61E+01,2.62E-06,3.46E+02,4.75E+02
4.71E+01,2.87E-06,3.48E+02,4.76E+02
4.81E+01,3.14E-06,3.49E+02,4.77E+02
4.91E+01,3.42E-06,3.51E+02,4.79E+02
5.01E+01,3.73E-06,3.53E+02,4.80E+02
5.11E+01,4.05E-06,3.54E+02,4.81E+02
5.21E+01,4.39E-06,3.56E+02,4.83E+02
5.31E+01,4.76E-06,3.58E+02,4.84E+02
5.41E+01,5.15E-06,3.59E+02,4.85E+02
5.51E+01,5.57E-06,3.61E+02,4.87E+02
5.61E+01,6.01E-06,3.62E+02,4.88E+02
5.71E+01,6.48E-06,3.64E+02,4.89E+02
5.81E+01,6.97E-06,3.65E+02,4.90E+02
5.91E+01,7.50E-06,3.67E+02,4.91E+02
6.01E+01,8.05E-06,3.69E+02,4.93E+02
6.11E+01,8.64E-06,3.70E+02,4.94E+02
6.21E+01,9.25E-06,3.72E+02,4.95E+02
6.31E+01,9.90E-06,3.73E+02,4.96E+02
6.41E+01,1.06E-05,3.75E+02,4.97E+02
6.51E+01,1.13E-05,3.76E+02,4.98E+02
6.61E+01,1.21E-05,3.78E+02,4.99E+02
6.71E+01,1.29E-05,3.79E+02,5.00E+02
6.81E+01,1.37E-05,3.80E+02,5.01E+02
6.91E+01,1.46E-05,3.82E+02,5.03E+02
7.01E+01,1.55E-05,3.83E+02,5.04E+02
7.11E+01,1.65E-05,3.85E+02,5.05E+02
7.21E+01,1.75E-05,3.86E+02,5.06E+02
7.31E+01,1.85E-05,3.88E+02,5.07E+02
7.41E+01,1.96E-05,3.89E+02,5.08E+02
7.51E+01,2.08E-05,3.90E+02,5.09E+02
7.61E+01,2.20E-05,3.92E+02,5.10E+02
7.71E+01,2.33E-05,3.93E+02,5.11E+02
7.81E+01,2.46E-05,3.95E+02,5.12E+02
7.91E+01,2.59E-05,3.96E+02,5.13E+02
8.01E+01,2.74E-05,3.97E+02,5.13E+02
8.11E+01,2.88E-05,3.99E+02,5.14E+02
8.21E+01,3.04E-05,4.00E+02,5.15E+02
8.31E+01,3.20E-05,4.01E+02,5.16E+02
8.41E+01,3.36E-05,4.03E+02,5.17E+02
8.51E+01,3.54E-05,4.04E+02,5.18E+02
8.61E+01,3.72E-05,4.05E+02,5.19E+02
8.71E+01,3.90E-05,4.07E+02,5.20E+02
8.81E+01,4.09E-05,4.08E+02,5.21E+02
8.91E+01,4.29E-05,4.09E+02,5.22E+02
9.01E+01,4.50E-05,4.10E+02,5.22E+02
9.11E+01,4.71E-05,4.12E+02,5.23E+02
9.21E+01,4.93E-05,4.13E+02,5.24E+02
9.31E+01,5.16E-05,4.14E+02,5.25E+02
9.41E+01,5.40E-05,4.15E+02,5.26E+02
9.51E+01,5.64E-05,4.17E+02,5.27E+02
9.61E+01,5.89E-05,4.18E+02,5.27E+02
9.71E+01,6.15E-05,4.19E+02,5.28E+02
9.81E+01,6.42E-05,4.20E+02,5.29E+02
9.91E+01,6.69E-05,4.21E+02,5.30E+02
1.00E+02,6.97E-05,4.23E+02,5.31E+02
1.01E+02,7.27E-05,4.24E+02,5.31E+02
1.02E+02,7.57E-05,4.25E+02,5.32E+02
1.03E+02,7.87E-05,4.26E+02,5.33E+02
1.04E+02,8.19E-05,4.27E+02,5.34E+02
1.05E+02,8.52E-05,4.28E+02,5.35E+02
1.06E+02,8.85E-05,4.29E+02,5.35E+02
1.07E+02,9.19E-05,4.31E+02,5.36E+02
1.08E+02,9.54E-05,4.32E+02,5.37E+02
1.09E+02,9.90E-05,4.33E+02,5.37E+02
1.10E+02,1.03E-04,4.34E+02,5.38E+02
1.11E+02,1.07E-04,4.35E+02,5.39E+02
1.12E+02,1.10E-04,4.36E+02,5.40E+02
1.13E+02,1.14E-04,4.37E+02,5.40E+02
1.14E+02,1.18E-04,4.38E+02,5.41E+02
1.15E+02,1.23E-04,4.39E+02,5.42E+02
1.16E+02,1.27E-04,4.40E+02,5.42E+02
1.17E+02,1.31E-04,4.42E+02,5.43E+02
1.18E+02,1.36E-04,4.43E+02,5.44E+02
1.19E+02,1.40E-04,4.44E+02,5.44E+02
1.20E+02,1.45E-04,4.45E+02,5.45E+02
1.21E+02,1.49E-04,4.46E+02,5.46E+02
1.22E+02,1.54E-04,4.47E+02,5.47E+02
1.23E+02,1.59E-04,4.48E+02,5.47E+02
1.24E+02,1.64E-04,4.49E+02,5.48E+02
1.25E+02,1.69E-04,4.50E+02,5.48E+02
1.26E+02,1.74E-04,4.51E+02,5.49E+02
1.27E+02,1.80E-04,4.52E+02,5.50E+02
1.28E+02,1.85E-04,4.53E+02,5.50E+02
1.29E+02,1.90E-04,4.54E+02,5.51E+02
1.30E+02,1.96E-04,4.55E+02,5.52E+02
1.31E+02,2.01E-04,4.56E+02,5.52E+02
1.32E+02,2.07E-04,4.57E+02,5.53E+02
1.33E+02,2.13E-04,4.58E+02,5.54E+02
1.34E+02,2.19E-04,4.59E+02,5.54E+02
1.35E+02,2.25E-04,4.59E+02,5.55E+02
1.36E+02,2.31E-04,4.60E+02,5.55E+02
1.37E+02,2.37E-04,4.61E+02,5.56E+02
1.38E+02,2.43E-04,4.62E+02,5.57E+02
1.39E+02,2.49E-04,4.63E+02,5.57E+02
1.40E+02,2.56E-04,4.64E+02,5.58E+02
1.41E+02,2.62E-04,4.65E+02,5.58E+02
1.42E+02,2.69E-04,4.66E+02,5.59E+02
1.43E+02,2.75E-04,4.67E+02,5.59E+02
1.44E+02,2.82E-04,4.68E+02,5.60E+02
1.45E+02,2.88E-04,4.69E+02,5.61E+02
1.46E+02,2.95E-04,4.69E+02,5.61E+02
1.47E+02,3.02E-04,4.70E+02,5.62E+02
1.48E+02,3.09E-04,4.71E+02,5.62E+02
1.49E+02,3.16E-04,4.72E+02,5.63E+02
1.50E+02,3.23E-04,4.73E+02,5.63E+02
1.51E+02,3.30E-04,473.65135,563.95021
1.52E+02,3.37E-04,474.46834,564.48279
1.53E+02,3.44E-04,475.30059,565.02584
1.54E+02,3.52E-04,476.12704,565.56522
1.55E+02,3.59E-04,476.94778,566.10152
1.56E+02,3.66E-04,477.76273,566.63419
1.57E+02,3.74E-04,478.57202,567.16377
1.58E+02,3.81E-04,479.37567,567.68974
1.59E+02,3.89E-04,480.17366,568.21272
1.60E+02,3.97E-04,480.96603,568.73208
1.61E+02,4.04E-04,481.75272,569.24843
1.62E+02,4.12E-04,482.53386,569.76119
1.63E+02,4.20E-04,483.30951,570.27096
1.64E+02,4.28E-04,484.07962,570.77721
1.65E+02,4.35E-04,484.84425,571.28045
1.66E+02,4.43E-04,485.6033,571.78012
1.67E+02,4.51E-04,486.35695,572.27686
1.68E+02,4.59E-04,487.10524,572.77005
1.69E+02,4.67E-04,487.84806,573.26024
1.70E+02,4.75E-04,488.58552,573.74689
1.71E+02,4.83E-04,489.31763,574.2306
1.72E+02,4.92E-04,490.04444,574.71067
1.73E+02,5.00E-04,490.76597,575.1879
1.74E+02,5.08E-04,491.48213,575.66151
1.75E+02,5.16E-04,492.1931,576.13225
1.76E+02,5.25E-04,492.8988,576.59928
1.77E+02,5.33E-04,493.59932,577.06355
1.78E+02,5.41E-04,494.29468,577.52404
1.79E+02,5.50E-04,494.98496,577.98183
1.80E+02,5.58E-04,495.67011,578.43581
1.81E+02,5.66E-04,496.35018,578.88699
1.82E+02,5.75E-04,497.02523,579.33454
1.83E+02,5.83E-04,497.69524,579.77918
1.84E+02,5.92E-04,498.36021,580.22027
1.85E+02,6.00E-04,499.02031,580.65815
1.86E+02,6.09E-04,499.67543,581.09295
1.87E+02,6.18E-04,500.32563,581.52416
1.88E+02,6.26E-04,500.97104,581.95256
1.89E+02,6.35E-04,501.61152,582.37716
1.90E+02,6.43E-04,502.24721,582.79903
1.91E+02,6.52E-04,502.87817,583.21719
1.92E+02,6.61E-04,503.50428,583.63249
1.93E+02,6.70E-04,504.12579,584.04433
1.94E+02,6.78E-04,504.74252,584.45285
1.95E+02,6.87E-04,505.35455,584.85844
1.96E+02,6.96E-04,505.96212,585.26035
1.97E+02,7.05E-04,506.56489,585.65956
1.98E+02,7.14E-04,507.16327,586.05512
1.99E+02,7.23E-04,507.7571,586.44768
2.00E+02,7.31E-04,508.3463,586.83711
2.01E+02,7.40E-04,508.9312,587.22313
2.02E+02,7.49E-04,509.51153,587.60634
2.03E+02,7.58E-04,510.08763,587.98602
2.04E+02,7.67E-04,510.65922,588.36277
2.05E+02,7.76E-04,511.22649,588.73641
2.06E+02,7.85E-04,511.78954,589.10675
2.07E+02,7.94E-04,512.34827,589.4743
2.08E+02,8.03E-04,512.90296,589.8385
2.09E+02,8.12E-04,513.45323,590.19969
2.10E+02,8.21E-04,513.99959,590.55799
2.11E+02,8.30E-04,514.54168,590.91298
2.12E+02,8.39E-04,515.07985,591.26521
2.13E+02,8.48E-04,515.61385,591.61442
2.14E+02,8.58E-04,516.14399,591.96043
2.15E+02,8.67E-04,516.67013,592.30376
2.16E+02,8.76E-04,517.19235,592.64403
2.17E+02,8.85E-04,517.71068,592.98126
2.18E+02,8.94E-04,518.22515,593.31591
2.19E+02,9.03E-04,518.73591,593.64746
2.20E+02,9.12E-04,519.24277,593.97613
2.21E+02,9.21E-04,519.74605,594.30227
2.22E+02,9.31E-04,520.24553,594.62528
2.23E+02,9.40E-04,520.74151,594.94557
2.24E+02,9.49E-04,521.2337,595.2634
2.25E+02,9.58E-04,521.72246,595.5781
2.26E+02,9.67E-04,522.20762,595.89025
2.27E+02,9.76E-04,522.68937,596.19994
2.28E+02,9.85E-04,523.16762,596.50653
2.29E+02,9.94E-04,523.64243,596.81071
2.30E+02,1.00E-03,524.11395,597.11246
2.31E+02,1.01E-03,524.58206,597.41122
2.32E+02,1.02E-03,525.04702,597.70763
2.33E+02,1.03E-03,525.50847,598.00166
2.34E+02,1.04E-03,525.967,598.29281
2.35E+02,1.05E-03,526.42208,598.58161
2.36E+02,1.06E-03,526.87437,598.86808
2.37E+02,1.07E-03,527.32319,599.15191
2.38E+02,1.08E-03,527.76926,599.43329
2.39E+02,1.08E-03,528.21211,599.71243
2.40E+02,1.09E-03,528.65211,599.98913
2.41E+02,1.10E-03,529.08919,600.2633
2.42E+02,1.11E-03,529.52319,600.53524
2.43E+02,1.12E-03,529.9546,600.805
2.44E+02,1.13E-03,530.38281,601.07227
