# Time (s),Mass (g),T Back (K),T Front (K)
0,68.400,293.000,293.000
1,68.400,293.000,319.829
2,68.400,293.000,330.716
3,68.400,293.000,338.887
4,68.400,293.000,345.725
5,68.400,293.000,351.668
6,68.400,293.000,357.014
7,68.400,293.000,361.864
8,68.400,293.000,366.337
9,68.400,293.000,370.489
10,68.400,293.000,374.387
11,68.400,293.000,378.054
12,68.400,293.000,381.534
13,68.400,293.000,384.836
14,68.400,293.000,387.994
15,68.400,293.000,391.009
16,68.400,293.000,393.907
17,68.400,293.000,396.686
18,68.400,293.000,399.370
19,68.400,293.000,401.950
20,68.400,293.000,404.452
21,68.400,293.000,406.864
22,68.400,293.000,409.208
23,68.400,293.000,411.473
24,68.400,293.000,413.680
25,68.400,293.000,415.816
26,68.400,293.000,417.900
27,68.400,293.000,419.922
28,68.400,293.000,421.898
29,68.400,293.000,423.816
30,68.400,293.000,425.689
31,68.400,293.000,427.517
32,68.400,293.000,429.297
33,68.400,293.001,431.035
34,68.400,293.001,432.734
35,68.400,293.001,434.392
36,68.400,293.001,436.015
37,68.399,293.002,437.603
38,68.399,293.003,439.156
39,68.399,293.003,440.676
40,68.399,293.004,442.164
41,68.399,293.005,443.621
42,68.399,293.006,445.048
43,68.399,293.008,446.447
44,68.399,293.009,447.818
45,68.399,293.012,449.161
46,68.398,293.014,450.478
47,68.398,293.017,451.770
48,68.398,293.020,453.036
49,68.398,293.024,454.279
50,68.398,293.028,455.497
51,68.397,293.032,456.692
52,68.397,293.038,457.865
53,68.397,293.044,459.016
54,68.397,293.050,460.146
55,68.396,293.058,461.255
56,68.396,293.066,462.343
57,68.396,293.075,463.411
58,68.395,293.084,464.461
59,68.395,293.095,465.491
60,68.394,293.107,466.503
61,68.394,293.119,467.498
62,68.393,293.134,468.473
63,68.393,293.149,469.433
64,68.392,293.164,470.376
65,68.392,293.182,471.303
66,68.391,293.200,472.214
67,68.390,293.220,473.109
68,68.390,293.241,473.990
69,68.389,293.264,474.856
70,68.388,293.288,475.708
71,68.388,293.314,476.546
72,68.387,293.341,477.370
73,68.386,293.369,478.182
74,68.385,293.400,478.981
75,68.384,293.432,479.767
76,68.383,293.465,480.541
77,68.383,293.501,481.304
78,68.382,293.538,482.056
79,68.381,293.576,482.795
80,68.380,293.617,483.525
81,68.379,293.660,484.244
82,68.377,293.704,484.953
83,68.376,293.750,485.652
84,68.375,293.799,486.342
85,68.374,293.850,487.022
86,68.373,293.902,487.693
87,68.372,293.957,488.356
88,68.370,294.013,489.009
89,68.369,294.072,489.656
90,68.368,294.132,490.294
91,68.366,294.195,490.923
92,68.365,294.260,491.545
93,68.363,294.327,492.160
94,68.362,294.397,492.767
95,68.360,294.468,493.368
96,68.359,294.542,493.962
97,68.357,294.617,494.549
98,68.356,294.696,495.129
99,68.354,294.775,495.704
100,68.353,294.858,496.272
101,68.351,294.943,496.834
102,68.349,295.030,497.390
103,68.348,295.120,497.942
104,68.346,295.212,498.487
105,68.344,295.306,499.026
106,68.342,295.402,499.560
107,68.340,295.500,500.090
108,68.339,295.601,500.614
109,68.337,295.704,501.134
110,68.335,295.810,501.649
111,68.333,295.918,502.159
