# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,322.498
2,22.800,293.000,334.421
3,22.800,293.000,343.352
4,22.800,293.000,350.809
5,22.800,293.003,357.284
6,22.800,293.009,363.091
7,22.800,293.026,368.359
8,22.800,293.057,373.203
9,22.800,293.111,377.699
10,22.800,293.195,381.907
11,22.800,293.318,385.866
12,22.800,293.486,389.611
13,22.800,293.705,393.166
14,22.800,293.978,396.552
15,22.800,294.309,399.788
16,22.800,294.700,402.887
17,22.800,295.151,405.862
18,22.800,295.662,408.722
19,22.800,296.232,411.477
20,22.800,296.861,414.135
21,22.800,297.545,416.703
22,22.800,298.284,419.187
23,22.800,299.074,421.592
24,22.800,299.915,423.923
25,22.800,300.803,426.186
26,22.800,301.736,428.383
27,22.800,302.711,430.520
28,22.800,303.727,432.598
29,22.800,304.781,434.621
30,22.800,305.870,436.592
31,22.800,306.993,438.513
32,22.800,308.148,440.388
33,22.800,309.332,442.217
34,22.799,310.544,444.005
35,22.799,311.781,445.751
36,22.799,313.043,447.457
37,22.799,314.326,449.127
38,22.799,315.631,450.761
39,22.799,316.955,452.361
40,22.799,318.297,453.928
41,22.799,319.655,455.462
42,22.798,321.029,456.967
43,22.798,322.417,458.442
44,22.798,323.817,459.889
45,22.798,325.229,461.308
46,22.797,326.652,462.702
47,22.797,328.084,464.069
48,22.797,329.526,465.411
49,22.796,330.975,466.730
50,22.796,332.432,468.025
51,22.796,333.894,469.298
52,22.795,335.363,470.549
53,22.795,336.836,471.779
54,22.794,338.313,472.989
55,22.794,339.794,474.178
56,22.793,341.278,475.348
57,22.792,342.764,476.500
58,22.792,344.252,477.633
59,22.791,345.741,478.748
60,22.790,347.231,479.847
61,22.790,348.721,480.929
62,22.789,350.211,481.994
63,22.788,351.700,483.044
64,22.787,353.188,484.078
65,22.786,354.675,485.098
66,22.785,356.160,486.103
67,22.784,357.643,487.095
68,22.783,359.123,488.073
69,22.782,360.600,489.038
70,22.781,362.074,489.991
71,22.779,363.545,490.931
72,22.778,365.012,491.860
73,22.777,366.475,492.777
74,22.775,367.934,493.683
75,22.774,369.388,494.577
76,22.772,370.838,495.462
77,22.771,372.281,496.336
78,22.769,373.720,497.201
79,22.767,375.154,498.055
80,22.766,376.582,498.901
81,22.764,378.004,499.738
82,22.762,379.419,500.566
83,22.760,380.829,501.385
84,22.758,382.232,502.196
85,22.756,383.628,502.999
86,22.754,385.017,503.795
87,22.752,386.400,504.583
88,22.749,387.775,505.363
89,22.747,389.143,506.136
90,22.745,390.503,506.902
91,22.742,391.856,507.661
92,22.740,393.201,508.413
93,22.737,394.538,509.159
94,22.735,395.867,509.899
95,22.732,397.188,510.631
96,22.729,398.500,511.359
97,22.726,399.804,512.079
98,22.724,401.099,512.794
99,22.721,402.385,513.503
100,22.718,403.663,514.207
101,22.715,404.931,514.904
102,22.711,406.190,515.596
103,22.708,407.440,516.283
104,22.705,408.680,516.964
105,22.701,409.911,517.640
106,22.698,411.131,518.311
107,22.694,412.343,518.976
108,22.691,413.543,519.637
