# Time (s),Mass (g),T Back (K),T Front (K)
0,68.400,293.000,293.000
1,68.400,293.000,335.839
2,68.400,293.000,346.994
3,68.400,293.000,355.355
4,68.400,293.000,362.257
5,68.400,293.000,368.417
6,68.400,293.000,373.774
7,68.400,293.000,378.795
8,68.400,293.000,383.270
9,68.400,293.000,387.534
10,68.400,293.000,391.407
11,68.400,293.000,395.135
12,68.400,293.000,398.564
13,68.400,293.000,401.888
14,68.400,293.000,404.973
15,68.400,293.000,407.978
16,68.400,293.000,410.787
17,68.400,293.000,413.532
18,68.400,293.000,416.112
19,68.400,293.000,418.641
20,68.400,293.001,421.028
21,68.400,293.001,423.374
22,68.400,293.002,425.597
23,68.400,293.003,427.784
24,68.400,293.005,429.863
25,68.400,293.007,431.913
26,68.400,293.009,433.866
27,68.400,293.012,435.793
28,68.400,293.015,437.635
29,68.400,293.021,439.454
30,68.400,293.027,441.196
31,68.400,293.034,442.919
32,68.400,293.043,444.571
33,68.400,293.053,446.206
34,68.400,293.066,447.777
35,68.400,293.080,449.333
36,68.400,293.097,450.831
37,68.400,293.115,452.314
38,68.400,293.137,453.744
39,68.400,293.161,455.162
40,68.400,293.187,456.530
41,68.400,293.217,457.886
42,68.400,293.251,459.196
43,68.400,293.287,460.497
44,68.400,293.327,461.755
45,68.400,293.371,463.003
46,68.400,293.418,464.212
47,68.400,293.469,465.412
48,68.400,293.524,466.574
49,68.400,293.584,467.730
50,68.400,293.647,468.849
51,68.400,293.714,469.962
52,68.399,293.786,471.042
53,68.399,293.862,472.116
54,68.399,293.943,473.158
55,68.399,294.028,474.195
56,68.399,294.118,475.201
57,68.399,294.213,476.203
58,68.399,294.312,477.177
59,68.399,294.415,478.145
60,68.399,294.523,479.087
61,68.399,294.636,480.025
62,68.399,294.754,480.938
63,68.399,294.877,481.846
64,68.399,295.004,482.731
65,68.398,295.135,483.611
66,68.398,295.271,484.469
67,68.398,295.412,485.323
68,68.398,295.558,486.155
69,68.398,295.709,486.984
70,68.398,295.864,487.792
71,68.398,296.023,488.597
72,68.397,296.187,489.382
73,68.397,296.356,490.165
74,68.397,296.529,490.928
75,68.397,296.706,491.688
76,68.397,296.887,492.431
77,68.397,297.074,493.171
78,68.396,297.264,493.894
79,68.396,297.459,494.614
80,68.396,297.658,495.317
81,68.396,297.861,496.018
82,68.395,298.068,496.702
83,68.395,298.279,497.386
84,68.395,298.493,498.053
85,68.395,298.712,498.718
86,68.394,298.934,499.369
87,68.394,299.161,500.018
88,68.394,299.391,500.652
89,68.393,299.625,501.285
90,68.393,299.862,501.904
91,68.393,300.103,502.521
92,68.392,300.348,503.125
93,68.392,300.596,503.727
94,68.391,300.847,504.317
95,68.391,301.101,504.905
96,68.391,301.359,505.481
97,68.390,301.620,506.056
98,68.390,301.884,506.618
99,68.389,302.151,507.179
100,68.389,302.421,507.729
101,68.388,302.694,508.278
102,68.388,302.971,508.815
103,68.387,303.249,509.351
104,68.387,303.531,509.877
105,68.386,303.815,510.402
106,68.386,304.102,510.916
107,68.385,304.392,511.429
108,68.384,304.683,511.933
109,68.384,304.978,512.435
110,68.383,305.276,512.927
111,68.382,305.575,513.419
112,68.382,305.877,513.901
113,68.381,306.180,514.383
114,68.380,306.487,514.855
115,68.380,306.796,515.327
116,68.379,307.106,515.789
117,68.378,307.419,516.251
118,68.378,307.734,516.705
119,68.377,308.050,517.158
120,68.376,308.369,517.603
121,68.375,308.689,518.047
122,68.374,309.012,518.483
123,68.373,309.336,518.919
124,68.373,309.662,519.346
125,68.372,309.989,519.774
126,68.371,310.319,520.193
127,68.370,310.650,520.613
128,68.369,310.982,521.024
129,68.368,311.316,521.436
130,68.367,311.652,521.840
131,68.366,311.988,522.244
132,68.365,312.327,522.641
133,68.364,312.666,523.038
134,68.363,313.008,523.428
135,68.362,313.350,523.818
136,68.361,313.693,524.201
137,68.360,314.038,524.584
138,68.359,314.384,524.961
139,68.358,314.731,525.337
140,68.357,315.079,525.708
141,68.356,315.428,526.078
142,68.354,315.779,526.442
143,68.353,316.130,526.806
144,68.352,316.482,527.164
145,68.351,316.836,527.523
146,68.350,317.190,527.875
147,68.348,317.545,528.227
148,68.347,317.901,528.574
149,68.346,318.257,528.921
150,68.345,318.614,529.262
151,68.343,318.973,529.604
152,68.342,319.332,529.939
153,68.341,319.692,530.275
154,68.339,320.052,530.606
155,68.338,320.413,530.937
156,68.337,320.774,531.263
157,68.335,321.137,531.589
158,68.334,321.500,531.911
159,68.333,321.863,532.232
160,68.331,322.227,532.549
161,68.330,322.591,532.865
162,68.328,322.956,533.177
163,68.327,323.322,533.489
164,68.325,323.688,533.797
165,68.324,324.053,534.105
166,68.322,324.420,534.407
167,68.321,324.787,534.711
168,68.319,325.154,535.010
169,68.318,325.522,535.309
170,68.316,325.890,535.604
171,68.315,326.258,535.899
172,68.313,326.626,536.190
173,68.311,326.995,536.482
174,68.310,327.364,536.769
175,68.308,327.733,537.057
176,68.306,328.102,537.340
177,68.305,328.471,537.624
178,68.303,328.841,537.904
179,68.301,329.212,538.184
180,68.300,329.582,538.460
181,68.298,329.952,538.737
182,68.296,330.322,539.010
183,68.294,330.692,539.283
184,68.293,331.062,539.552
185,68.291,331.432,539.822
186,68.289,331.803,540.088
187,68.287,332.173,540.355
188,68.285,332.543,540.618
189,68.284,332.913,540.881
190,68.282,333.284,541.140
191,68.280,333.654,541.401
192,68.278,334.024,541.658
193,68.276,334.394,541.915
194,68.274,334.764,542.169
195,68.272,335.135,542.423
196,68.271,335.504,542.674
197,68.269,335.874,542.925
198,68.267,336.244,543.173
199,68.265,336.613,543.422
200,68.263,336.982,543.667
201,68.261,337.351,543.913
202,68.259,337.721,544.155
203,68.257,338.089,544.398
204,68.255,338.458,544.638
205,68.253,338.827,544.878
206,68.251,339.195,545.116
207,68.249,339.563,545.353
208,68.247,339.931,545.588
209,68.245,340.299,545.823
210,68.242,340.666,546.055
211,68.240,341.033,546.288
212,68.238,341.400,546.518
213,68.236,341.767,546.748
214,68.234,342.132,546.975
215,68.232,342.498,547.203
216,68.230,342.865,547.428
217,68.227,343.230,547.654
218,68.225,343.595,547.877
219,68.223,343.960,548.100
220,68.221,344.325,548.321
221,68.219,344.689,548.542
222,68.216,345.053,548.760
223,68.214,345.416,548.978
224,68.212,345.779,549.194
225,68.210,346.142,549.410
226,68.207,346.505,549.625
227,68.205,346.866,549.839
228,68.203,347.228,550.051
229,68.200,347.589,550.264
230,68.198,347.950,550.474
231,68.196,348.311,550.684
232,68.193,348.671,550.892
233,68.191,349.031,551.100
234,68.189,349.390,551.306
235,68.186,349.749,551.512
236,68.184,350.107,551.716
237,68.182,350.465,551.920
238,68.179,350.823,552.123
239,68.177,351.180,552.325
240,68.174,351.537,552.525
241,68.172,351.894,552.726
242,68.169,352.250,552.924
243,68.167,352.605,553.123
244,68.164,352.961,553.319
245,68.162,353.315,553.516
246,68.159,353.669,553.711
247,68.157,354.023,553.906
248,68.154,354.376,554.100
249,68.152,354.728,554.293
250,68.149,355.081,554.484
251,68.147,355.433,554.676
252,68.144,355.784,554.865
253,68.141,356.135,555.055
254,68.139,356.485,555.243
255,68.136,356.834,555.432
256,68.133,357.184,555.618
257,68.131,357.533,555.804
258,68.128,357.881,555.990
259,68.125,358.229,556.175
260,68.123,358.577,556.357
261,68.120,358.923,556.541
262,68.117,359.269,556.723
263,68.115,359.615,556.904
264,68.112,359.961,557.084
265,68.109,360.306,557.264
266,68.106,360.650,557.443
267,68.104,360.994,557.622
268,68.101,361.337,557.799
269,68.098,361.680,557.977
270,68.095,362.022,558.152
271,68.092,362.364,558.327
272,68.090,362.705,558.502
273,68.087,363.046,558.676
274,68.084,363.386,558.848
275,68.081,363.725,559.022
276,68.078,364.065,559.193
