# Time (s),Mass (g),T Back (K),T Front (K)
0,68.400,293.000,293.000
1,68.400,293.000,358.167
2,68.400,293.000,371.515
3,68.400,293.000,381.408
4,68.400,293.000,389.513
5,68.400,293.000,396.687
6,68.400,293.000,402.883
7,68.400,293.000,408.616
8,68.400,293.000,413.704
9,68.400,293.000,418.486
10,68.400,293.000,422.824
11,68.400,293.000,426.941
12,68.400,293.000,430.731
13,68.400,293.000,434.350
14,68.400,293.000,437.717
15,68.400,293.000,440.947
16,68.400,293.000,443.976
17,68.400,293.000,446.892
18,68.400,293.000,449.644
19,68.400,293.000,452.302
20,68.400,293.000,454.822
21,68.400,293.000,457.260
22,68.400,293.000,459.583
23,68.400,293.000,461.837
24,68.400,293.000,463.995
25,68.400,293.000,466.083
26,68.400,293.000,468.095
27,68.400,293.000,470.040
28,68.400,293.000,471.920
29,68.400,293.000,473.741
30,68.400,293.000,475.502
31,68.400,293.000,477.211
32,68.400,293.000,478.869
33,68.400,293.000,480.477
34,68.400,293.000,482.040
35,68.400,293.000,483.559
36,68.399,293.000,485.037
37,68.399,293.000,486.475
38,68.399,293.000,487.876
39,68.399,293.000,489.240
40,68.399,293.000,490.569
41,68.399,293.000,491.865
42,68.399,293.000,493.131
43,68.399,293.001,494.365
44,68.399,293.001,495.571
45,68.399,293.001,496.748
46,68.398,293.001,497.897
47,68.398,293.002,499.022
48,68.398,293.002,500.121
49,68.398,293.002,501.196
50,68.398,293.003,502.247
51,68.397,293.004,503.276
52,68.397,293.004,504.283
53,68.397,293.005,505.269
54,68.397,293.006,506.234
55,68.396,293.007,507.181
56,68.396,293.009,508.108
57,68.396,293.010,509.016
58,68.396,293.012,509.906
59,68.395,293.014,510.779
60,68.395,293.016,511.636
61,68.394,293.019,512.475
62,68.394,293.021,513.299
63,68.394,293.025,514.108
64,68.393,293.028,514.901
65,68.393,293.032,515.681
66,68.392,293.037,516.446
67,68.392,293.042,517.197
68,68.391,293.046,517.935
69,68.391,293.052,518.660
70,68.390,293.059,519.372
71,68.390,293.065,520.072
72,68.389,293.072,520.760
73,68.388,293.080,521.437
74,68.388,293.088,522.102
75,68.387,293.098,522.756
76,68.387,293.107,523.400
77,68.386,293.118,524.032
78,68.385,293.129,524.655
79,68.384,293.141,525.268
80,68.384,293.155,525.872
81,68.383,293.168,526.466
82,68.382,293.183,527.050
83,68.381,293.198,527.626
84,68.380,293.215,528.193
85,68.379,293.231,528.751
86,68.379,293.250,529.301
87,68.378,293.269,529.843
88,68.377,293.289,530.378
89,68.376,293.311,530.904
90,68.375,293.333,531.423
91,68.374,293.357,531.934
92,68.373,293.382,532.439
93,68.372,293.407,532.936
94,68.371,293.434,533.427
95,68.370,293.463,533.911
96,68.368,293.493,534.389
97,68.367,293.523,534.860
98,68.366,293.555,535.325
99,68.365,293.588,535.784
100,68.364,293.623,536.237
101,68.363,293.659,536.684
102,68.361,293.696,537.126
103,68.360,293.735,537.562
104,68.359,293.775,537.992
105,68.358,293.817,538.418
106,68.356,293.860,538.838
107,68.355,293.904,539.253
108,68.354,293.950,539.664
109,68.352,293.997,540.069
110,68.351,294.046,540.470
111,68.349,294.097,540.866
112,68.348,294.149,541.257
113,68.347,294.202,541.644
114,68.345,294.257,542.027
115,68.344,294.314,542.405
116,68.342,294.372,542.780
117,68.341,294.432,543.150
118,68.339,294.493,543.516
119,68.338,294.556,543.878
120,68.336,294.620,544.237
121,68.334,294.687,544.591
122,68.333,294.755,544.942
123,68.331,294.824,545.290
124,68.330,294.895,545.634
125,68.328,294.969,545.974
126,68.326,295.042,546.310
127,68.325,295.119,546.644
128,68.323,295.197,546.973
129,68.321,295.276,547.301
130,68.319,295.357,547.625
131,68.318,295.440,547.945
132,68.316,295.525,548.262
133,68.314,295.611,548.577
134,68.312,295.698,548.889
135,68.310,295.788,549.197
136,68.309,295.879,549.503
137,68.307,295.972,549.806
138,68.305,296.067,550.106
139,68.303,296.163,550.403
140,68.301,296.261,550.698
141,68.299,296.360,550.990
142,68.297,296.461,551.279
143,68.295,296.564,551.566
144,68.293,296.669,551.851
145,68.291,296.775,552.132
146,68.289,296.883,552.412
147,68.287,296.992,552.688
148,68.285,297.103,552.964
149,68.283,297.216,553.236
150,68.281,297.330,553.506
151,68.279,297.447,553.774
152,68.277,297.564,554.039
153,68.275,297.684,554.302
154,68.273,297.804,554.564
155,68.271,297.927,554.823
156,68.269,298.051,555.080
157,68.267,298.176,555.335
158,68.264,298.305,555.588
159,68.262,298.433,555.839
160,68.260,298.563,556.087
161,68.258,298.696,556.334
162,68.256,298.829,556.580
163,68.253,298.964,556.823
164,68.251,299.101,557.064
165,68.249,299.239,557.303
166,68.247,299.379,557.542
167,68.244,299.520,557.777
168,68.242,299.662,558.011
169,68.240,299.807,558.243
170,68.237,299.952,558.473
171,68.235,300.099,558.702
172,68.233,300.248,558.929
173,68.230,300.398,559.155
174,68.228,300.549,559.378
175,68.226,300.703,559.600
176,68.223,300.857,559.821
177,68.221,301.013,560.040
178,68.218,301.170,560.256
179,68.216,301.328,560.473
180,68.213,301.489,560.687
181,68.211,301.650,560.899
182,68.208,301.812,561.111
183,68.206,301.976,561.320
184,68.203,302.141,561.529
185,68.201,302.308,561.736
186,68.198,302.476,561.941
187,68.196,302.646,562.144
188,68.193,302.816,562.347
189,68.190,302.987,562.549
190,68.188,303.160,562.748
191,68.185,303.334,562.947
192,68.183,303.510,563.144
193,68.180,303.687,563.339
194,68.177,303.865,563.534
195,68.175,304.044,563.727
196,68.172,304.224,563.918
197,68.169,304.406,564.109
198,68.167,304.588,564.298
199,68.164,304.772,564.486
200,68.161,304.958,564.673
201,68.158,305.143,564.858
202,68.155,305.331,565.043
203,68.153,305.520,565.226
204,68.150,305.709,565.408
205,68.147,305.899,565.590
206,68.144,306.091,565.768
207,68.141,306.283,565.947
208,68.139,306.477,566.125
209,68.136,306.671,566.300
210,68.133,306.868,566.476
211,68.130,307.064,566.649
212,68.127,307.262,566.823
213,68.124,307.461,566.995
214,68.121,307.661,567.165
215,68.118,307.861,567.335
216,68.115,308.063,567.503
217,68.112,308.266,567.671
218,68.109,308.469,567.838
219,68.106,308.674,568.003
220,68.103,308.880,568.168
221,68.100,309.086,568.330
222,68.097,309.292,568.494
223,68.094,309.501,568.655
224,68.091,309.710,568.815
225,68.088,309.919,568.974
226,68.085,310.130,569.133
227,68.082,310.342,569.291
228,68.078,310.554,569.447
229,68.075,310.767,569.603
230,68.072,310.981,569.757
231,68.069,311.196,569.912
232,68.066,311.411,570.064
233,68.063,311.628,570.216
234,68.059,311.845,570.368
235,68.056,312.063,570.518
236,68.053,312.281,570.667
237,68.050,312.501,570.815
238,68.046,312.720,570.964
239,68.043,312.941,571.110
240,68.040,313.162,571.256
241,68.036,313.385,571.401
242,68.033,313.607,571.545
243,68.030,313.831,571.688
244,68.026,314.055,571.831
245,68.023,314.279,571.972
246,68.019,314.505,572.113
247,68.016,314.731,572.253
248,68.013,314.958,572.392
249,68.009,315.185,572.531
250,68.006,315.413,572.668
251,68.002,315.641,572.805
252,67.999,315.870,572.941
253,67.995,316.100,573.077
254,67.992,316.331,573.211
255,67.988,316.561,573.345
256,67.985,316.793,573.477
257,67.981,317.024,573.611
258,67.978,317.256,573.741
259,67.974,317.489,573.873
260,67.970,317.723,574.002
261,67.967,317.956,574.133
262,67.963,318.191,574.261
263,67.960,318.426,574.390
264,67.956,318.662,574.515
265,67.952,318.897,574.643
266,67.949,319.133,574.768
267,67.945,319.370,574.894
268,67.941,319.607,575.017
269,67.937,319.845,575.142
270,67.934,320.083,575.264
271,67.930,320.322,575.387
272,67.926,320.561,575.508
273,67.922,320.801,575.630
274,67.919,321.040,575.750
275,67.915,321.281,575.870
276,67.911,321.521,575.989
277,67.907,321.762,576.108
278,67.903,322.003,576.225
279,67.899,322.245,576.343
280,67.896,322.487,576.459
281,67.892,322.729,576.575
282,67.888,322.972,576.690
283,67.884,323.215,576.805
284,67.880,323.458,576.918
285,67.876,323.702,577.032
286,67.872,323.946,577.144
287,67.868,324.190,577.257
288,67.864,324.435,577.368
289,67.860,324.680,577.480
290,67.856,324.925,577.590
291,67.852,325.170,577.701
292,67.848,325.416,577.809
293,67.844,325.662,577.919
294,67.840,325.908,578.026
295,67.836,326.155,578.135
296,67.831,326.402,578.241
297,67.827,326.649,578.349
298,67.823,326.896,578.454
299,67.819,327.144,578.560
300,67.815,327.391,578.664
301,67.811,327.639,578.769
302,67.807,327.887,578.872
303,67.802,328.136,578.976
304,67.798,328.384,579.078
305,67.794,328.633,579.181
306,67.790,328.882,579.282
307,67.785,329.131,579.383
308,67.781,329.381,579.484
309,67.777,329.630,579.584
310,67.772,329.880,579.683
311,67.768,330.130,579.783
312,67.764,330.380,579.881
313,67.759,330.630,579.980
314,67.755,330.880,580.077
315,67.751,331.131,580.175
316,67.746,331.381,580.271
317,67.742,331.632,580.368
318,67.738,331.883,580.463
319,67.733,332.134,580.559
320,67.729,332.385,580.653
321,67.724,332.637,580.748
322,67.720,332.888,580.841
323,67.715,333.139,580.936
324,67.711,333.391,581.028
325,67.706,333.643,581.121
326,67.702,333.894,581.212
327,67.697,334.146,581.305
328,67.693,334.398,581.395
329,67.688,334.650,581.487
330,67.683,334.902,581.576
331,67.679,335.155,581.667
332,67.674,335.407,581.756
333,67.670,335.659,581.845
334,67.665,335.911,581.933
335,67.660,336.164,582.022
336,67.656,336.416,582.109
337,67.651,336.669,582.197
338,67.646,336.921,582.283
339,67.642,337.174,582.371
340,67.637,337.427,582.456
341,67.632,337.679,582.542
342,67.627,337.932,582.627
343,67.623,338.185,582.712
344,67.618,338.438,582.796
345,67.613,338.690,582.880
346,67.608,338.943,582.963
347,67.604,339.196,583.047
348,67.599,339.449,583.129
349,67.594,339.702,583.213
350,67.589,339.954,583.294
351,67.584,340.207,583.377
352,67.579,340.460,583.457
353,67.574,340.713,583.539
354,67.570,340.966,583.619
355,67.565,341.218,583.700
356,67.560,341.471,583.779
357,67.555,341.724,583.860
358,67.550,341.977,583.938
359,67.545,342.229,584.018
360,67.540,342.482,584.095
361,67.535,342.735,584.174
362,67.530,342.987,584.251
363,67.525,343.240,584.330
364,67.520,343.492,584.406
365,67.515,343.745,584.483
366,67.510,343.997,584.559
367,67.505,344.249,584.636
368,67.500,344.502,584.711
369,67.495,344.754,584.787
370,67.489,345.006,584.861
371,67.484,345.258,584.937
372,67.479,345.510,585.011
373,67.474,345.762,585.086
374,67.469,346.014,585.159
375,67.464,346.266,585.233
376,67.459,346.518,585.305
377,67.453,346.770,585.379
378,67.448,347.021,585.451
379,67.443,347.273,585.524
380,67.438,347.524,585.595
381,67.432,347.776,585.667
382,67.427,348.027,585.738
383,67.422,348.278,585.809
384,67.417,348.529,585.879
385,67.411,348.780,585.950
386,67.406,349.031,586.020
387,67.401,349.282,586.089
388,67.395,349.533,586.159
389,67.390,349.783,586.228
390,67.385,350.034,586.297
391,67.379,350.284,586.366
392,67.374,350.535,586.433
393,67.369,350.785,586.502
394,67.363,351.035,586.569
395,67.358,351.285,586.637
396,67.352,351.535,586.704
397,67.347,351.785,586.772
398,67.341,352.034,586.838
399,67.336,352.284,586.905
400,67.331,352.533,586.970
401,67.325,352.782,587.037
402,67.320,353.031,587.102
403,67.314,353.280,587.168
404,67.309,353.529,587.232
405,67.303,353.778,587.298
406,67.297,354.027,587.362
407,67.292,354.275,587.427
408,67.286,354.523,587.490
409,67.281,354.771,587.555
410,67.275,355.020,587.617
411,67.270,355.267,587.682
412,67.264,355.515,587.744
413,67.258,355.763,587.807
414,67.253,356.010,587.869
415,67.247,356.258,587.932
416,67.241,356.505,587.994
417,67.236,356.752,588.056
418,67.230,356.999,588.117
419,67.224,357.245,588.179
420,67.219,357.492,588.240
421,67.213,357.738,588.301
422,67.207,357.985,588.361
423,67.201,358.231,588.422
424,67.196,358.477,588.482
425,67.190,358.722,588.543
426,67.184,358.968,588.602
427,67.178,359.213,588.662
428,67.172,359.459,588.720
429,67.167,359.704,588.780
430,67.161,359.949,588.838
431,67.155,360.193,588.898
432,67.149,360.438,588.955
433,67.143,360.682,589.014
434,67.137,360.927,589.071
435,67.131,361.171,589.130
436,67.126,361.415,589.187
437,67.120,361.658,589.245
438,67.114,361.902,589.301
439,67.108,362.145,589.359
440,67.102,362.389,589.415
441,67.096,362.632,589.472
442,67.090,362.875,589.528
443,67.084,363.117,589.584
444,67.078,363.360,589.640
445,67.072,363.602,589.696
446,67.066,363.844,589.751
447,67.060,364.086,589.807
448,67.054,364.328,589.861
449,67.048,364.569,589.917
450,67.042,364.811,589.971
451,67.036,365.052,590.026
452,67.030,365.293,590.080
453,67.024,365.534,590.134
454,67.018,365.774,590.188
455,67.011,366.015,590.241
456,67.005,366.255,590.295
457,66.999,366.495,590.348
458,66.993,366.735,590.401
459,66.987,366.975,590.454
460,66.981,367.214,590.507
461,66.975,367.453,590.560
462,66.968,367.692,590.611
463,66.962,367.931,590.664
464,66.956,368.170,590.716
465,66.950,368.408,590.768
466,66.944,368.646,590.819
467,66.937,368.884,590.872
468,66.931,369.122,590.922
469,66.925,369.360,590.974
470,66.919,369.597,591.025
471,66.912,369.834,591.076
472,66.906,370.071,591.126
473,66.900,370.308,591.177
474,66.893,370.545,591.227
475,66.887,370.782,591.278
476,66.881,371.018,591.327
477,66.874,371.254,591.378
478,66.868,371.490,591.427
479,66.862,371.725,591.477
480,66.855,371.961,591.525
481,66.849,372.196,591.575
482,66.842,372.431,591.624
483,66.836,372.666,591.673
484,66.830,372.901,591.721
485,66.823,373.135,591.770
486,66.817,373.369,591.818
487,66.810,373.603,591.867
488,66.804,373.837,591.914
489,66.797,374.070,591.963
490,66.791,374.304,592.010
491,66.784,374.537,592.058
492,66.778,374.770,592.105
493,66.771,375.003,592.153
494,66.765,375.235,592.200
495,66.758,375.467,592.247
496,66.752,375.700,592.293
497,66.745,375.931,592.341
498,66.739,376.163,592.387
499,66.732,376.395,592.434
500,66.725,376.626,592.479
501,66.719,376.857,592.526
502,66.712,377.088,592.571
503,66.706,377.318,592.618
504,66.699,377.548,592.663
505,66.692,377.779,592.709
506,66.686,378.009,592.754
507,66.679,378.238,592.800
508,66.672,378.468,592.844
509,66.666,378.697,592.890
510,66.659,378.926,592.934
511,66.652,379.155,592.979
512,66.645,379.384,593.023
513,66.639,379.612,593.068
514,66.632,379.840,593.112
515,66.625,380.068,593.157
516,66.618,380.296,593.200
517,66.612,380.524,593.245
518,66.605,380.751,593.288
519,66.598,380.978,593.332
520,66.591,381.205,593.375
521,66.585,381.431,593.419
522,66.578,381.658,593.462
523,66.571,381.884,593.506
524,66.564,382.110,593.548
525,66.557,382.336,593.591
526,66.550,382.561,593.634
527,66.543,382.787,593.677
