Time,Mass (g),T Back (K),T Top (K)
0,21.6,293.0,293.0
1,21.6,293.0,354.1
2,21.6,293.0,418.0
3,21.6,293.0,459.8
4,21.6,293.0,493.2
5,21.6,293.0,522.0
6,21.6,293.0,547.1
7,21.6,293.0,568.7
8,21.6,293.0,587.7
9,21.6,293.0,604.6
10,21.6,293.1,619.9
11,21.6,293.2,633.6
12,21.6,293.4,645.8
13,21.6,293.6,656.5
14,21.6,294.0,665.7
15,21.5,294.5,673.4
16,21.5,295.1,679.6
17,21.5,295.8,684.3
18,21.5,296.6,687.8
19,21.4,297.6,690.4
20,21.4,298.7,692.5
21,21.3,300.0,694.2
22,21.3,301.4,695.6
23,21.3,302.9,697.0
24,21.2,304.5,698.3
25,21.2,306.2,699.6
26,21.1,308.0,700.7
27,21.1,309.9,702.0
28,21.0,311.9,703.4
29,21.0,313.9,704.8
30,20.9,316.0,706.0
31,20.9,318.1,707.4
32,20.8,320.3,708.9
33,20.8,322.5,710.2
34,20.7,324.8,711.6
35,20.7,327.1,713.1
36,20.6,329.5,714.5
37,20.6,331.8,715.9
38,20.5,334.2,717.4
39,20.4,336.6,718.8
40,20.4,339.0,720.1
41,20.3,341.5,721.6
42,20.3,343.9,723.0
43,20.2,346.3,724.3
44,20.2,348.8,725.7
45,20.1,351.2,727.0
46,20.1,353.7,728.3
47,20.0,356.1,729.6
48,20.0,358.5,730.8
49,19.9,361.0,732.0
50,19.9,363.4,733.3
51,19.8,365.8,734.5
52,19.7,368.2,735.6
53,19.7,370.6,736.8
54,19.6,373.0,737.9
55,19.6,375.4,739.0
56,19.5,377.8,740.1
57,19.5,380.2,741.2
58,19.4,382.6,742.2
59,19.4,384.9,743.2
60,19.3,387.3,744.2
61,19.3,389.6,745.3
62,19.2,391.9,746.2
63,19.2,394.3,747.2
64,19.1,396.6,748.1
65,19.0,398.9,749.1
66,19.0,401.1,750.0
67,18.9,403.4,750.9
68,18.9,405.7,751.8
69,18.8,407.9,752.7
70,18.8,410.1,753.5
71,18.7,412.3,754.4
72,18.7,414.5,755.2
73,18.6,416.7,756.0
74,18.6,418.8,756.9
75,18.5,420.9,757.7
76,18.5,423.0,758.5
77,18.4,425.1,759.2
78,18.3,427.2,760.0
79,18.3,429.2,760.8
80,18.2,431.2,761.5
81,18.2,433.1,762.3
82,18.1,435.1,763.0
83,18.1,437.0,763.7
84,18.0,438.9,764.4
85,18.0,440.7,765.1
86,17.9,442.6,765.8
87,17.8,444.4,766.5
88,17.8,446.2,767.2
89,17.7,448.1,767.9
90,17.7,449.9,768.5
91,17.6,451.6,769.2
92,17.6,453.4,769.8
93,17.5,455.2,770.5
94,17.4,456.9,771.1
95,17.4,458.7,771.7
96,17.3,460.5,772.3
97,17.3,462.2,772.9
98,17.2,464.0,773.5
99,17.2,465.7,774.1
100,17.1,467.5,774.7
101,17.0,469.2,775.3
102,17.0,471.0,775.9
103,16.9,472.8,776.4
104,16.9,474.5,777.0
105,16.8,476.3,777.5
106,16.7,478.1,778.1
107,16.7,479.8,778.6
108,16.6,481.6,779.1
109,16.6,483.3,779.7
110,16.5,485.1,780.2
111,16.4,486.9,780.7
112,16.4,488.6,781.2
113,16.3,490.4,781.7
114,16.3,492.1,782.2
115,16.2,493.9,782.7
116,16.1,495.7,783.2
117,16.1,497.4,783.7
118,16.0,499.2,784.2
119,15.9,500.9,784.6
120,15.9,502.7,785.1
121,15.8,504.5,785.6
122,15.8,506.2,786.0
123,15.7,508.0,786.5
124,15.6,509.7,786.9
125,15.6,511.5,787.4
126,15.5,513.3,787.8
127,15.4,515.0,788.2
128,15.4,516.8,788.7
129,15.3,518.6,789.1
130,15.2,520.3,789.5
131,15.2,522.1,790.0
132,15.1,523.9,790.4
133,15.0,525.7,790.8
134,15.0,527.5,791.2
135,14.9,529.3,791.6
136,14.8,531.1,792.0
137,14.7,532.9,792.4
138,14.7,534.7,792.8
139,14.6,536.5,793.2
140,14.5,538.3,793.6
141,14.5,540.2,794.0
142,14.4,542.0,794.4
143,14.3,543.8,794.8
144,14.2,545.6,795.1
145,14.2,547.4,795.5
146,14.1,549.2,795.9
147,14.0,551.0,796.2
148,13.9,552.8,796.6
149,13.9,554.5,797.0
150,13.8,556.3,797.3
151,13.7,558.1,797.7
152,13.6,559.9,798.1
153,13.6,561.7,798.4
154,13.5,563.5,798.8
155,13.4,565.2,799.1
156,13.3,567.0,799.5
157,13.2,568.8,799.8
158,13.2,570.5,800.2
159,13.1,572.3,800.5
160,13.0,574.1,800.8
161,12.9,575.8,801.2
162,12.8,577.5,801.5
163,12.8,579.3,801.9
164,12.7,581.0,802.2
165,12.6,582.7,802.5
166,12.5,584.5,802.8
167,12.4,586.2,803.2
168,12.3,587.9,803.5
169,12.2,589.6,803.8
170,12.1,591.3,804.1
171,12.1,593.0,804.5
172,12.0,594.7,804.8
173,11.9,596.4,805.1
174,11.8,598.1,805.4
175,11.7,599.8,805.7
176,11.6,601.5,806.0
177,11.5,603.1,806.3
178,11.4,604.8,806.6
179,11.3,606.5,806.9
180,11.2,608.1,807.2
181,11.1,609.8,807.5
182,11.0,611.4,807.8
183,10.9,613.0,808.1
184,10.8,614.7,808.4
185,10.7,616.3,808.7
186,10.6,617.9,809.0
187,10.5,619.4,809.3
188,10.4,621.0,809.6
189,10.3,622.5,809.9
190,10.2,624.1,810.2
191,10.1,625.6,810.5
192,10.0,627.1,810.8
193,9.9,628.6,811.0
194,9.8,630.0,811.3
195,9.7,631.4,811.6
196,9.6,632.8,811.9
197,9.5,634.2,812.2
198,9.4,635.5,812.4
199,9.3,636.8,812.7
200,9.1,638.1,813.0
201,9.0,639.4,813.3
202,8.9,640.6,813.5
203,8.8,641.8,813.8
204,8.7,642.9,814.1
205,8.6,644.1,814.3
206,8.5,645.2,814.6
207,8.4,646.2,814.8
208,8.3,647.3,815.1
209,8.2,648.4,815.4
210,8.1,649.4,815.6
211,8.1,650.4,815.9
212,8.0,651.5,816.1
213,7.9,652.5,816.4
214,7.8,653.5,816.6
215,7.7,654.6,816.9
216,7.6,655.6,817.2
217,7.5,656.7,817.4
218,7.4,657.8,817.7
219,7.3,658.9,817.9
220,7.3,660.0,818.2
221,7.2,661.2,818.4
222,7.1,662.4,818.7
223,7.0,663.7,818.9
224,6.9,665.0,819.2
225,6.8,666.3,819.4
226,6.8,667.7,819.7
227,6.7,669.2,819.9
228,6.6,670.7,820.2
229,6.5,672.3,820.5
230,6.5,674.0,820.7
231,6.4,675.8,821.0
232,6.3,677.6,821.3
233,6.2,679.6,821.6
234,6.2,681.6,821.8
235,6.1,683.8,822.1
236,6.0,686.1,822.4
237,6.0,688.5,822.8
238,5.9,691.1,823.1
239,5.9,693.9,823.4
240,5.8,696.9,823.8
241,5.7,700.2,824.2
242,5.7,703.7,824.5
243,5.6,707.6,825.0
244,5.6,711.9,825.4
245,5.5,716.6,825.9
246,5.5,721.8,826.4
247,5.5,727.5,826.9
248,5.4,733.8,827.5
249,5.4,740.4,828.1
250,5.4,747.2,828.8
251,5.4,753.8,829.6
252,5.4,760.1,830.4
253,5.4,766.0,831.3
254,5.4,771.5,832.3
255,5.4,776.7,833.3
256,5.3,781.7,834.3
257,5.3,786.4,835.3
258,5.3,791.0,836.3
259,5.3,795.5,837.3
260,5.3,799.7,838.3
261,5.3,803.9,839.3
262,5.3,807.9,840.3
263,5.3,811.8,841.2
264,5.2,815.5,842.2
265,5.2,819.2,843.1
266,5.2,822.7,843.9
267,5.2,826.0,844.8
268,5.2,829.3,845.6
269,5.2,832.4,846.4
270,5.2,835.4,847.2
271,5.2,838.3,847.9
272,5.1,841.1,848.7
273,5.1,843.7,849.4
274,5.1,846.2,850.0
275,5.1,848.6,850.7
276,5.1,850.9,851.3
277,5.1,853.1,851.9
278,5.1,855.1,852.4
279,5.0,857.0,853.0
280,5.0,858.8,853.5
281,5.0,860.5,854.0
282,5.0,862.1,854.4
283,5.0,863.5,854.8
284,5.0,864.9,855.2
285,5.0,866.1,855.6
286,5.0,867.3,855.9
287,4.9,868.3,856.3
288,4.9,869.3,856.5
289,4.9,870.1,856.8
290,4.9,870.9,857.1
291,4.9,871.6,857.3
292,4.9,872.2,857.5
293,4.9,872.8,857.7
294,4.9,873.2,857.8
295,4.9,873.6,858.0
296,4.9,874.0,858.1
297,4.8,874.2,858.2
298,4.8,874.4,858.3
299,4.8,874.6,858.3
300,4.8,874.7,858.4
301,4.8,874.8,858.4
302,4.8,874.8,858.5
303,4.8,874.7,858.5
304,4.8,874.7,858.5
305,4.8,874.6,858.5
306,4.8,874.5,858.5
307,4.8,874.3,858.5
308,4.8,874.1,858.4
309,4.8,873.9,858.4
310,4.8,873.7,858.3
311,4.7,873.4,858.3
312,4.7,873.2,858.2
313,4.7,872.9,858.2
314,4.7,872.6,858.1
315,4.7,872.3,858.0
316,4.7,871.9,857.9
317,4.7,871.6,857.9
318,4.7,871.3,857.8
319,4.7,870.9,857.7
320,4.7,870.6,857.6
321,4.7,870.3,857.5
322,4.7,869.9,857.4
323,4.7,869.6,857.4
324,4.7,869.2,857.3
325,4.7,868.9,857.2
326,4.7,868.5,857.1
327,4.7,868.2,857.0
328,4.7,867.8,856.9
329,4.7,867.5,856.8
330,4.7,867.1,856.7
331,4.7,866.8,856.6
332,4.7,866.5,856.6
333,4.7,866.1,856.5
334,4.7,865.8,856.4
335,4.6,865.5,856.3
336,4.6,865.2,856.2
337,4.6,864.9,856.1
338,4.6,864.5,856.0
339,4.6,864.2,856.0
340,4.6,864.0,855.9
341,4.6,863.7,855.8
342,4.6,863.4,855.7
343,4.6,863.1,855.7
344,4.6,862.8,855.6
345,4.6,862.6,855.5
346,4.6,862.3,855.5
347,4.6,862.1,855.4
348,4.6,861.8,855.3
349,4.6,861.6,855.3
350,4.6,861.4,855.2
351,4.6,861.1,855.1
352,4.6,860.9,855.1
353,4.6,860.7,855.0
354,4.6,860.5,855.0
355,4.6,860.3,854.9
356,4.6,860.1,854.8
357,4.6,859.9,854.8
358,4.6,859.7,854.7
359,4.6,859.5,854.7
360,4.6,859.3,854.6
361,4.6,859.2,854.6
362,4.6,859.0,854.6
363,4.6,858.8,854.5
364,4.6,858.7,854.5
365,4.6,858.5,854.4
366,4.6,858.4,854.4
367,4.6,858.2,854.3
368,4.6,858.1,854.3
369,4.6,857.9,854.3
370,4.6,857.8,854.2
371,4.6,857.7,854.2
372,4.6,857.5,854.2
373,4.6,857.4,854.1
374,4.6,857.3,854.1
375,4.6,857.2,854.1
376,4.6,857.1,854.0
377,4.6,857.0,854.0
378,4.6,856.9,854.0
379,4.6,856.8,854.0
380,4.6,856.7,853.9
381,4.6,856.6,853.9
382,4.5,856.5,853.9
383,4.5,856.4,853.9
384,4.5,856.3,853.8
385,4.5,856.2,853.8
386,4.5,856.1,853.8
387,4.5,856.1,853.8
388,4.5,856.0,853.7
389,4.5,855.9,853.7
390,4.5,855.8,853.7
391,4.5,855.8,853.7
392,4.5,855.7,853.7
393,4.5,855.6,853.7
394,4.5,855.6,853.6
395,4.5,855.5,853.6
396,4.5,855.5,853.6
397,4.5,855.4,853.6
398,4.5,855.4,853.6
399,4.5,855.3,853.6
400,4.5,855.3,853.5
401,4.5,855.2,853.5
402,4.5,855.2,853.5
403,4.5,855.1,853.5
404,4.5,855.1,853.5
405,4.5,855.0,853.5
406,4.5,855.0,853.5
407,4.5,854.9,853.5
408,4.5,854.9,853.4
409,4.5,854.9,853.4
410,4.5,854.8,853.4
411,4.5,854.8,853.4
412,4.5,854.8,853.4
413,4.5,854.7,853.4
414,4.5,854.7,853.4
415,4.5,854.7,853.4
416,4.5,854.6,853.4
417,4.5,854.6,853.4
418,4.5,854.6,853.4
419,4.5,854.5,853.4
420,4.5,854.5,853.3
421,4.5,854.5,853.3
422,4.5,854.5,853.3
423,4.5,854.4,853.3
424,4.5,854.4,853.3
425,4.5,854.4,853.3
426,4.5,854.4,853.3
427,4.5,854.3,853.3
428,4.5,854.3,853.3
429,4.5,854.3,853.3
430,4.5,854.3,853.3
431,4.5,854.3,853.3
432,4.5,854.3,853.3
433,4.5,854.2,853.3
434,4.5,854.2,853.3
435,4.5,854.2,853.3
436,4.5,854.2,853.3
437,4.5,854.2,853.3
438,4.5,854.2,853.2
439,4.5,854.1,853.2
440,4.5,854.1,853.2
441,4.5,854.1,853.2
442,4.5,854.1,853.2
443,4.5,854.1,853.2
444,4.5,854.1,853.2
445,4.5,854.1,853.2
446,4.5,854.1,853.2
447,4.5,854.0,853.2
448,4.5,854.0,853.2
449,4.5,854.0,853.2
450,4.5,854.0,853.2
451,4.5,854.0,853.2
452,4.5,854.0,853.2
453,4.5,854.0,853.2
454,4.4,854.0,853.2
455,4.4,854.0,853.2
456,4.4,854.0,853.2
457,4.4,854.0,853.2
458,4.4,853.9,853.2
459,4.4,853.9,853.2
460,4.4,853.9,853.2
461,4.4,853.9,853.2
462,4.4,853.9,853.2
463,4.4,853.9,853.2
464,4.4,853.9,853.2
465,4.4,853.9,853.2
466,4.4,853.9,853.2
467,4.4,853.9,853.2
468,4.4,853.9,853.2
