Time (s),Mass (g),T Top (K),T Back (K)
0,21.4,302.1,293.0
1,21.4,476.7,293.0
2,21.4,572.0,293.0
3,21.4,621.1,293.0
4,21.4,656.9,293.0
5,21.4,683.4,293.0
6,21.4,706.1,293.0
7,21.4,725.2,293.1
8,21.3,740.7,293.2
9,21.2,751.2,293.5
10,21.1,760.1,293.9
11,21.0,768.1,294.4
12,20.9,775.6,295.1
13,20.8,782.6,296.2
14,20.7,789.1,297.4
15,20.5,795.2,298.8
16,20.4,801.0,300.4
17,20.3,806.3,302.3
18,20.2,811.3,304.3
19,20.1,816.0,306.5
20,19.9,820.4,308.9
21,19.8,824.5,311.5
22,19.7,828.4,314.3
23,19.6,832.1,317.1
24,19.5,835.6,320.1
25,19.4,838.8,323.3
26,19.2,842.0,326.6
27,19.1,844.9,330.1
28,19.0,847.7,333.6
29,18.9,850.4,337.3
30,18.8,852.9,341.1
31,18.7,855.4,344.9
32,18.6,857.7,348.8
33,18.5,860.0,352.8
34,18.4,862.1,356.9
35,18.3,864.1,361.0
36,18.1,866.1,365.2
37,18.0,868.0,369.4
38,17.9,869.8,373.7
39,17.8,871.6,377.9
40,17.7,873.3,382.2
41,17.6,875.0,386.6
42,17.5,876.6,390.9
43,17.4,878.1,395.3
44,17.3,879.6,399.7
45,17.2,881.0,404.0
46,17.1,882.4,408.4
47,17.0,883.8,412.7
48,16.9,885.1,417.1
49,16.8,886.4,421.4
50,16.7,887.7,425.7
51,16.6,888.9,429.8
52,16.5,890.1,434.0
53,16.4,891.3,438.0
54,16.3,892.4,441.9
55,16.2,893.5,445.9
56,16.1,894.6,449.7
57,16.0,895.6,453.5
58,15.9,896.7,457.3
59,15.8,897.7,461.1
60,15.7,898.6,464.8
61,15.6,899.6,468.4
62,15.5,900.6,472.1
63,15.4,901.5,475.7
64,15.3,902.4,479.3
65,15.2,903.3,482.8
66,15.1,904.1,486.3
67,15.0,905.0,489.8
68,14.9,905.8,493.3
69,14.8,906.6,496.8
70,14.6,907.4,500.2
71,14.5,908.2,503.6
72,14.4,909.0,507.0
73,14.3,909.8,510.4
74,14.2,910.5,513.8
75,14.1,911.2,517.1
76,14.0,912.0,520.4
77,13.9,912.7,523.7
78,13.8,913.3,527.0
79,13.7,914.0,530.3
80,13.6,914.7,533.6
81,13.5,915.3,536.8
82,13.3,916.0,540.1
83,13.2,916.6,543.3
84,13.1,917.2,546.5
85,13.0,917.9,549.7
86,12.9,918.5,552.9
87,12.8,919.0,556.1
88,12.6,919.6,559.3
89,12.5,920.2,562.5
90,12.4,920.7,565.6
91,12.3,921.3,568.8
92,12.2,921.8,572.0
93,12.0,922.3,575.1
94,11.9,922.8,578.2
95,11.8,923.4,581.4
96,11.7,923.8,584.5
97,11.5,924.3,587.6
98,11.4,924.8,590.7
99,11.3,925.3,593.8
100,11.2,925.7,596.9
101,11.0,926.1,600.0
102,10.9,926.6,603.1
103,10.8,927.0,606.2
104,10.6,927.4,609.2
105,10.5,927.8,612.3
106,10.3,928.1,615.3
107,10.2,928.5,618.3
108,10.0,928.9,621.4
109,9.9,929.2,624.3
110,9.8,929.6,627.3
111,9.6,929.9,630.3
112,9.5,930.3,633.2
113,9.3,930.6,636.1
114,9.1,931.0,639.0
115,9.0,931.3,641.9
116,8.8,931.7,644.7
117,8.7,932.1,647.5
118,8.5,932.5,650.2
119,8.4,932.9,652.9
120,8.2,933.4,655.6
121,8.0,933.9,658.2
122,7.9,934.4,660.8
123,7.7,935.0,663.4
124,7.6,935.6,665.9
125,7.4,936.3,668.4
126,7.2,937.0,671.0
127,7.1,937.7,673.6
128,6.9,938.5,676.3
129,6.8,939.4,679.2
130,6.6,940.2,682.2
131,6.5,941.1,685.5
132,6.3,942.1,689.0
133,6.2,943.1,693.0
134,6.1,944.2,697.5
135,5.9,945.3,702.5
136,5.8,946.5,708.2
137,5.7,947.9,715.3
138,5.6,949.5,724.0
139,5.5,951.4,734.6
140,5.4,953.5,747.8
141,5.3,956.3,765.7
142,5.3,959.3,783.9
143,5.3,962.5,801.5
144,5.3,965.7,817.4
145,5.2,968.9,831.9
146,5.2,972.0,845.7
147,5.2,975.0,859.0
148,5.2,977.9,871.7
149,5.2,980.8,883.7
150,5.1,983.5,895.3
151,5.1,986.1,906.4
152,5.1,988.6,917.0
153,5.0,990.9,926.9
154,5.0,993.2,936.3
155,5.0,995.4,945.2
156,5.0,997.4,953.5
157,4.9,999.3,961.0
158,4.9,1001.1,968.0
159,4.9,1002.8,974.5
160,4.8,1004.4,980.4
161,4.8,1005.8,985.5
162,4.8,1007.2,990.1
163,4.8,1008.4,994.3
164,4.8,1009.5,998.0
165,4.7,1010.5,1001.1
166,4.7,1011.3,1003.8
167,4.7,1012.1,1006.2
168,4.7,1012.8,1008.3
169,4.7,1013.4,1010.0
170,4.7,1013.9,1011.4
171,4.7,1014.3,1012.7
172,4.7,1014.7,1013.8
173,4.7,1015.0,1014.6
174,4.6,1015.3,1015.3
175,4.6,1015.5,1015.9
176,4.6,1015.7,1016.4
177,4.6,1015.9,1016.7
178,4.6,1016.0,1017.0
179,4.6,1016.1,1017.2
180,4.6,1016.2,1017.4
181,4.6,1016.3,1017.5
182,4.6,1016.3,1017.6
183,4.6,1016.3,1017.7
184,4.6,1016.4,1017.7
185,4.6,1016.4,1017.7
186,4.6,1016.4,1017.6
187,4.6,1016.4,1017.6
188,4.6,1016.4,1017.5
189,4.6,1016.4,1017.5
190,4.6,1016.4,1017.4
191,4.6,1016.4,1017.4
192,4.6,1016.3,1017.3
