Temperature (K),Time,Mass (mg),Heat Flow Rate (W/g)
300,0,5,0
300.5,0.5,5,0.1342
301,1,5,0.2453
301.5,1.5,5,0.2459
302,2,5,0.2464
302.5,2.5,5,0.247
303,3,5,0.2475
303.5,3.5,5,0.248
304,4,5,0.2486
304.5,4.5,5,0.2491
305,5,5,0.2496
305.5,5.5,5,0.2501
306,6,5,0.2507
306.5,6.5,5,0.2512
307,7,5,0.2517
307.5,7.5,5,0.2523
308,8,5,0.2528
308.5,8.5,5,0.2533
309,9,5,0.2539
309.5,9.5,5,0.2544
310,10,5,0.2549
310.5,10.5,5,0.2555
311,11,5,0.256
311.5,11.5,5,0.2565
312,12,5,0.2571
312.5,12.5,5,0.2576
313,13,5,0.2581
313.5,13.5,5,0.2586
314,14,5,0.2592
314.5,14.5,5,0.2597
315,15,5,0.2603
315.5,15.5,5,0.2608
316,16,5,0.2613
316.5,16.5,5,0.2619
317,17,5,0.2624
317.5,17.5,5,0.2629
318,18,5,0.2635
318.5,18.5,5,0.264
319,19,5,0.2645
319.5,19.5,5,0.2646
320,20,5,0.2647
320.5,20.5,5,0.2648
321,21,5,0.2648
321.5,21.5,5,0.2649
322,22,5,0.2649
322.5,22.5,5,0.2649
323,23,5,0.265
323.5,23.5,5,0.265
324,24,5,0.265
324.5,24.5,5,0.2651
325,25,5,0.2651
325.5,25.5,5,0.2652
326,26,5,0.2652
326.5,26.5,5,0.2652
327,27,5,0.2653
327.5,27.5,5,0.2653
328,28,5,0.2654
328.5,28.5,5,0.2654
329,29,5,0.2654
329.5,29.5,5,0.2655
330,30,5,0.2655
330.5,30.5,5,0.2655
331,31,5,0.2656
331.5,31.5,5,0.2656
332,32,5,0.2657
332.5,32.5,5,0.2657
333,33,5,0.2657
333.5,33.5,5,0.2658
334,34,5,0.2658
334.5,34.5,5,0.2659
335,35,5,0.2659
335.5,35.5,5,0.2659
336,36,5,0.266
336.5,36.5,5,0.266
337,37,5,0.266
337.5,37.5,5,0.2661
338,38,5,0.2661
338.5,38.5,5,0.2662
339,39,5,0.2662
339.5,39.5,5,0.2662
340,40,5,0.2663
340.5,40.5,5,0.2663
341,41,5,0.2664
341.5,41.5,5,0.2664
342,42,5,0.2664
342.5,42.5,5,0.2665
343,43,5,0.2665
343.5,43.5,5,0.2665
344,44,5,0.2666
344.5,44.5,5,0.2666
345,45,5,0.2667
345.5,45.5,5,0.2667
346,46,5,0.2667
346.5,46.5,5,0.2668
347,47,5,0.2668
347.5,47.5,5,0.2669
348,48,5,0.2669
348.5,48.5,5,0.2669
349,49,5,0.267
349.5,49.5,5,0.267
350,50,5,0.267
350.5,50.5,5,0.2671
351,51,5,0.2671
351.5,51.5,5,0.2672
352,52,5,0.2672
352.5,52.5,5,0.2672
353,53,5,0.2673
353.5,53.5,5,0.2673
354,54,5,0.2674
354.5,54.5,5,0.2674
355,55,5,0.2674
355.5,55.5,5,0.2675
356,56,5,0.2675
356.5,56.5,5,0.2675
357,57,5,0.2676
357.5,57.5,5,0.2676
358,58,5,0.2677
358.5,58.5,5,0.2677
359,59,5,0.2677
359.5,59.5,5,0.2678
360,60,5,0.2678
360.5,60.5,5,0.2679
361,61,5,0.2679
361.5,61.5,5,0.2679
362,62,5,0.268
362.5,62.5,5,0.268
363,63,5,0.268
363.5,63.5,5,0.2681
364,64,5,0.2681
364.5,64.5,5,0.2682
365,65,5,0.2682
365.5,65.5,5,0.2682
366,66,5,0.2683
366.5,66.5,5,0.2683
367,67,5,0.2684
367.5,67.5,5,0.2684
368,68,5,0.2684
368.5,68.5,5,0.2685
369,69,5,0.2685
369.5,69.5,5,0.2685
370,70,5,0.2686
370.5,70.5,5,0.2686
371,71,5,0.2687
371.5,71.5,5,0.2687
372,72,5,0.2687
372.5,72.5,5,0.2688
373,73,5,0.2688
373.5,73.5,5,0.2688
374,74,5,0.2689
374.5,74.5,5,0.2689
375,75,5,0.269
375.5,75.5,5,0.269
376,76,5,0.269
376.5,76.5,5,0.2691
377,77,5,0.2691
377.5,77.5,5,0.2691
378,78,5,0.2692
378.5,78.5,5,0.2692
379,79,5,0.2693
379.5,79.5,5,0.2693
380,80,5,0.2693
380.5,80.5,5,0.2694
381,81,5,0.2694
381.5,81.5,5,0.2694
382,82,5,0.2695
382.5,82.5,5,0.2695
383,83,5,0.2696
383.5,83.5,5,0.2696
384,84,5,0.2696
384.5,84.5,5,0.2697
385,85,5,0.2697
385.5,85.5,5,0.2697
386,86,5,0.2698
386.5,86.5,5,0.2698
387,87,5,0.2699
387.5,87.5,5,0.2699
388,88,5,0.2699
388.5,88.5,5,0.27
389,89,5,0.27
389.5,89.5,5,0.27
390,90,5,0.2701
390.5,90.5,5,0.2701
391,91,5,0.2702
391.5,91.5,5,0.2702
392,92,5,0.2702
392.5,92.5,5,0.2703
393,93,5,0.2703
393.5,93.5,5,0.2703
394,94,5,0.2704
394.5,94.5,5,0.2704
395,95,5,0.2704
395.5,95.5,5,0.2705
396,96,5,0.2705
396.5,96.5,5,0.2706
397,97,5,0.2706
397.5,97.5,5,0.2706
398,98,5,0.2707
398.5,98.5,5,0.2707
399,99,5,0.2707
399.5,99.5,5,0.2708
400,100,5,0.2708
400.5,100.5,5,0.2708
401,101,5,0.2709
401.5,101.5,5,0.2709
402,102,5,0.2709
402.5,102.5,5,0.271
403,103,5,0.271
403.5,103.5,5,0.271
404,104,5,0.2711
404.5,104.5,5,0.2711
405,105,5,0.2712
405.5,105.5,5,0.2712
406,106,5,0.2712
406.5,106.5,5,0.2713
407,107,5,0.2713
407.5,107.5,5,0.2713
408,108,5,0.2714
408.5,108.5,5,0.2714
409,109,5,0.2714
409.5,109.5,5,0.2715
410,110,5,0.2715
410.5,110.5,5,0.2715
411,111,5,0.2716
411.5,111.5,5,0.2716
412,112,5,0.2716
412.5,112.5,5,0.2717
413,113,5,0.2717
413.5,113.5,5,0.2717
414,114,5,0.2718
414.5,114.5,5,0.2718
415,115,5,0.2718
415.5,115.5,5,0.2718
416,116,5,0.2719
416.5,116.5,5,0.2719
417,117,5,0.2719
417.5,117.5,5,0.272
418,118,5,0.272
418.5,118.5,5,0.272
419,119,5,0.2721
419.5,119.5,5,0.2721
420,120,5,0.2721
420.5,120.5,5,0.2722
421,121,5,0.2722
421.5,121.5,5,0.2722
422,122,5,0.2722
422.5,122.5,5,0.2723
423,123,5,0.2723
423.5,123.5,5,0.2723
424,124,5,0.2724
424.5,124.5,5,0.2724
425,125,5,0.2724
425.5,125.5,5,0.2724
426,126,5,0.2725
426.5,126.5,5,0.273
427,127,5,0.2735
427.5,127.5,5,0.2741
428,128,5,0.2747
428.5,128.5,5,0.2753
429,129,5,0.2758
429.5,129.5,5,0.2764
430,130,5,0.277
430.5,130.5,5,0.2776
431,131,5,0.2782
431.5,131.5,4.99,0.2788
432,132,4.99,0.2793
432.5,132.5,4.99,0.2799
433,133,4.99,0.2805
433.5,133.5,4.99,0.2811
434,134,4.99,0.2817
434.5,134.5,4.99,0.2823
435,135,4.99,0.2829
435.5,135.5,4.99,0.2835
436,136,4.99,0.284
436.5,136.5,4.99,0.2846
437,137,4.99,0.2852
437.5,137.5,4.99,0.2858
438,138,4.99,0.2863
438.5,138.5,4.99,0.2869
439,139,4.99,0.2875
439.5,139.5,4.99,0.2881
440,140,4.99,0.2887
440.5,140.5,4.99,0.2892
441,141,4.99,0.2898
441.5,141.5,4.99,0.2904
442,142,4.99,0.291
442.5,142.5,4.99,0.2916
443,143,4.99,0.2921
443.5,143.5,4.99,0.2927
444,144,4.99,0.2933
444.5,144.5,4.99,0.2939
445,145,4.99,0.2945
445.5,145.5,4.99,0.295
446,146,4.99,0.2956
446.5,146.5,4.99,0.2961
447,147,4.99,0.2967
447.5,147.5,4.99,0.2973
448,148,4.99,0.2979
448.5,148.5,4.99,0.2984
449,149,4.99,0.299
449.5,149.5,4.99,0.2996
450,150,4.99,0.3001
450.5,150.5,4.99,0.3007
451,151,4.99,0.3013
451.5,151.5,4.99,0.3018
452,152,4.99,0.3024
452.5,152.5,4.99,0.3029
453,153,4.99,0.3035
